name,ra,dec,objid,distance,specobjid,Column1,sigma_balmer,sigma_balmer_err,sigma_forbidden,sigma_forbidden_err,v_off_balmer,v_off_balmer_err,v_off_forbidden,v_off_forbidden_err,oii_3726_cont,oii_3726_cont_err,oii_3726_reqw,oii_3726_reqw_err,oii_3726_eqw,oii_3726_eqw_err,oii_3726_flux,oii_3726_flux_err,oii_3726_inst_res,oii_3726_chisq,oii_3729_cont,oii_3729_cont_err,oii_3729_reqw,oii_3729_reqw_err,oii_3729_eqw,oii_3729_eqw_err,oii_3729_flux,oii_3729_flux_err,oii_3729_inst_res,oii_3729_chisq,neiii_3869_cont,neiii_3869_cont_err,neiii_3869_reqw,neiii_3869_reqw_err,neiii_3869_eqw,neiii_3869_eqw_err,neiii_3869_flux,neiii_3869_flux_err,neiii_3869_inst_res,neiii_3869_chisq,h_delta_cont,h_delta_cont_err,h_delta_reqw,h_delta_reqw_err,h_delta_eqw,h_delta_eqw_err,h_delta_flux,h_delta_flux_err,h_delta_inst_res,h_delta_chisq,h_gamma_cont,h_gamma_cont_err,h_gamma_reqw,h_gamma_reqw_err,h_gamma_eqw,h_gamma_eqw_err,h_gamma_flux,h_gamma_flux_err,h_gamma_inst_res,h_gamma_chisq,oiii_4363_cont,oiii_4363_cont_err,oiii_4363_reqw,oiii_4363_reqw_err,oiii_4363_eqw,oiii_4363_eqw_err,oiii_4363_flux,oiii_4363_flux_err,oiii_4363_inst_res,oiii_4363_chisq,h_beta_cont,h_beta_cont_err,h_beta_reqw,h_beta_reqw_err,h_beta_eqw,h_beta_eqw_err,h_beta_flux,h_beta_flux_err,h_beta_inst_res,h_beta_chisq,oiii_4959_cont,oiii_4959_cont_err,oiii_4959_reqw,oiii_4959_reqw_err,oiii_4959_eqw,oiii_4959_eqw_err,oiii_4959_flux,oiii_4959_flux_err,oiii_4959_inst_res,oiii_4959_chisq,oiii_5007_cont,oiii_5007_cont_err,oiii_5007_reqw,oiii_5007_reqw_err,oiii_5007_eqw,oiii_5007_eqw_err,oiii_5007_flux,oiii_5007_flux_err,oiii_5007_inst_res,oiii_5007_chisq,hei_5876_cont,hei_5876_cont_err,hei_5876_reqw,hei_5876_reqw_err,hei_5876_eqw,hei_5876_eqw_err,hei_5876_flux,hei_5876_flux_err,hei_5876_inst_res,hei_5876_chisq,oi_6300_cont,oi_6300_cont_err,oi_6300_reqw,oi_6300_reqw_err,oi_6300_eqw,oi_6300_eqw_err,oi_6300_flux,oi_6300_flux_err,oi_6300_inst_res,oi_6300_chisq,nii_6548_cont,nii_6548_cont_err,nii_6548_reqw,nii_6548_reqw_err,nii_6548_eqw,nii_6548_eqw_err,nii_6548_flux,nii_6548_flux_err,nii_6548_inst_res,nii_6548_chisq,h_alpha_cont,h_alpha_cont_err,h_alpha_reqw,h_alpha_reqw_err,h_alpha_eqw,h_alpha_eqw_err,h_alpha_flux,h_alpha_flux_err,h_alpha_inst_res,h_alpha_chisq,nii_6584_cont,nii_6584_cont_err,nii_6584_reqw,nii_6584_reqw_err,nii_6584_eqw,nii_6584_eqw_err,nii_6584_flux,nii_6584_flux_err,nii_6584_inst_res,nii_6584_chisq,sii_6717_cont,sii_6717_cont_err,sii_6717_reqw,sii_6717_reqw_err,sii_6717_eqw,sii_6717_eqw_err,sii_6717_flux,sii_6717_flux_err,sii_6717_inst_res,sii_6717_chisq,sii_6731_cont,sii_6731_cont_err,sii_6731_reqw,sii_6731_reqw_err,sii_6731_eqw,sii_6731_eqw_err,sii_6731_flux,sii_6731_flux_err,sii_6731_inst_res,sii_6731_chisq,ariii7135_cont,ariii7135_cont_err,ariii7135_reqw,ariii7135_reqw_err,ariii7135_eqw,ariii7135_eqw_err,ariii7135_flux,ariii7135_flux_err,ariii7135_inst_res,ariii7135_chisq,oii_sigma,oii_flux,oii_flux_err,oii_voff,oii_chi2,oiii_sigma,oiii_flux,oiii_flux_err,oiii_voff,oiii_chi2,spectofiber
2MASXJ07595347+2323241,119.9729,23.39,1237660958106059157,0.00473986431454198,1423288710513846272,1423288710513846272,171.9878,3.047491,147.3807,1.480817,-13.72424,2.959258,-43.21262,1.482953,36.21894,3.845168,-10.03813,0.439441,-10.81209,0.439441,171.8905,13.5694,73.07513,0.6695351,34.87687,3.845181,-10.03813,0.439441,-10.81209,0.439441,204.6019,13.53124,73.00005,0.634221,36.90194,3.303592,-3.247701,0.3090795,-2.29293,0.3090795,79.88494,7.467981,70.06649,3.393976,55.20296,2.419699,0.9500113,0.189972,-1.01157,0.189972,54.88357,7.159359,65.73749,0.2443224,59.79808,2.280143,-0.9704714,0.1724025,-1.800023,0.1724025,106.5032,7.097414,62.00271,1.150133,61.74123,2.114617,-1.609381,0.2000464,-0.3892108,0.2000464,11.65687,6.900605,61.67639,0.9280567,77.69555,1.995956,-0.4833098,0.1451633,-2.930207,0.1451633,220.2809,9.063679,56.01114,3.15327,79.67912,2.901056,-5.35581,0.1592834,-5.018913,0.1592834,379.4092,10.02096,55.19419,2.769915,78.2317,2.617096,-14.38681,0.2050146,-15.31998,0.2050146,1120.032,14.50709,54.82129,21.067,92.60064,2.660784,-0.118173,0.107191,-0.2592545,0.107191,42.7075,8.110359,60.63794,1.170663,91.13935,1.61405,-1.05629,0.1237192,-0.9247247,0.1237192,96.02005,9.04178,62.14531,1.125224,98.28264,18.60114,-4.872033,0.1409048,-4.924883,0.1409048,428.7856,5.304692,59.20318,5.499356,98.57351,18.43022,-8.920702,0.1620918,-10.94962,0.1620918,1041.479,16.04382,59.01113,6.842799,98.47353,18.55626,-13.12027,0.1863316,-13.39159,0.1863316,1293.316,16.00016,58.75944,14.68522,95.68127,3.328925,-2.712342,0.1337192,-2.832155,0.1337192,267.5748,10.95126,57.02687,1.89441,95.57453,3.513342,-2.155991,0.1312145,-2.123778,0.1312145,208.0795,10.70218,56.82361,1.614357,92.74303,1.29415,-0.1961564,0.09656031,-0.3231601,0.09656031,36.16647,10.3505,51.67372,1.350885,169.1874,381.9377,191.4846,-99.90059,0.8113196,149.3085,1132.387,14.70958,-61.71375,16.55951,0.7837183
2MASXJ08032736+0841523,120.8642,8.697778,1237671262266917178,0.00671766246283961,2723574758959507456,2723574758959507456,500,0,244.0948,1.241146,-76.68378,4.392995,26.05127,1.399853,29.18182,2.429458,-30.92878,0.4322237,-32.12466,0.4322237,275.5096,18.18822,85.39619,5.047829,29.20561,2.396535,-30.92878,0.4322237,-32.12466,0.4322237,621.3203,19.11798,85.33508,3.833528,26.80824,3.09762,-8.788452,0.2875234,-8.326707,0.2875234,224.1348,6.483119,82.06084,1.229316,34.46121,2.380604,-2.904294,0.1711211,-3.807583,0.1711211,156.8826,6.75081,77.04436,2.176188,40.38355,2.949595,-5.804505,0.1620247,-5.856669,0.1620247,286.0074,7.481931,72.38676,4.115582,41.4216,3.594311,-4.218717,0.1741345,-2.966149,0.1741345,89.09077,5.219807,71.96498,1.00026,61.74053,3.364535,-7.680662,0.1395074,-9.121418,0.1395074,710.2639,10.34725,63.98676,8.761881,55.38857,5.988223,-14.33916,0.1684864,-12.226,0.1684864,695.1002,9.124893,62.671,15.24047,51.04772,24.12469,-50.48584,0.3218886,-50.97555,0.3218886,2583.488,16.29741,62.04707,63.25625,59.32053,1.602205,-0.8832307,0.1049322,-1.176667,0.1049322,74.25787,8.178072,66.98203,27.83322,57.78534,1.785619,-3.948949,0.1183058,-3.892712,0.1183058,238.2653,6.854655,63.9062,1.216149,132.6687,46.78065,-10.24765,0.1348685,-10.08968,0.1348685,321.2982,6.382765,61.81302,58.55175,137.6926,43.20744,-17.54569,0.1675493,-18.82526,0.1675493,3760.006,33.15712,61.69823,47.9575,138.9443,43.02092,-9.194618,0.1339334,-9.970992,0.1339334,969.1097,19.25187,61.51943,22.58682,65.70705,11.53235,-3.915908,0.1182134,-3.037225,0.1182134,224.6152,8.329591,60.40432,11.07803,63.97598,9.759874,-4.160973,0.120424,-3.759723,0.120424,251.6304,8.184905,60.28898,2.884637,56.68803,0.9266698,-0.4813431,0.08001929,-0.6041335,0.08001929,57.39693,6.587862,57.12919,0.4423902,288.4576,935.1793,1049.779,0.8405473,2.963312,241.0495,2582.931,16.29664,20.67559,65.39597,0.596741
2MASXJ09043699+5536025,136.1537,55.60083,1237651252024836118,0.00871411558050631,506783907828492288,506783907828492288,500,0,124.4752,0.5633539,-10.19622,2.090779,-18.11048,0.5846654,94.977,3.909622,-12.9186,0.1657487,-12.60824,0.1657487,624.3654,13.06807,72.60014,4.042356,94.76495,3.917863,-12.9186,0.1657487,-12.60824,0.1657487,593.2598,12.64646,72.48039,4.171067,84.80327,6.035166,-3.610348,0.116382,-2.761966,0.116382,224.3918,6.338914,69.744,6.982611,76.30247,3.599056,-1.763811,0.1001175,-4.678932,0.1001175,440.0345,8.715909,65.67582,7.293523,75.00014,5.20626,-5.309551,0.1004895,-7.25652,0.1004895,668.1587,8.664702,62.14448,22.94826,74.6192,6.437758,-4.509325,0.1131603,-3.129451,0.1131603,87.31031,4.411736,61.86587,13.04958,92.92781,9.390678,-8.563469,0.09429486,-11.25788,0.09429486,1278.131,10.40641,56.51398,77.55287,72.4547,5.994619,-8.828127,0.1036832,-7.274461,0.1036832,585.5388,6.276441,55.76252,51.52977,67.13805,3.315439,-31.94748,0.1802293,-32.27915,0.1802293,2016.003,11.26075,55.42292,126.6354,62.19974,1.730726,-1.783978,0.0769807,-2.058503,0.0769807,193.7429,6.314647,63.58161,4.617524,57.63607,1.190006,-2.630384,0.0829517,-2.584106,0.0829517,143.6651,3.740736,61.68224,3.990813,127.5704,61.46873,-14.5311,0.1013275,-14.56432,0.1013275,456.8252,4.281076,59.61968,212.5261,132.3782,57.63084,-31.75552,0.1500122,-33.64894,0.1500122,6031.465,25.46268,59.49053,310.8382,130.0151,61.14678,-19.45824,0.1180108,-20.24321,0.1180108,1377.89,12.9127,59.30997,194.4484,61.797,17.9789,-6.378334,0.09192123,-5.527236,0.09192123,377.8297,5.019532,58.15373,46.83482,60.17646,15.55077,-5.921825,0.09181697,-5.418341,0.09181697,343.902,4.851501,58.01678,14.70318,53.91536,1.363943,-0.9765795,0.06601078,-1.096563,0.06601078,69.21593,3.915052,54.62791,1.845885,106.9744,1196.137,35.37019,-31.71273,2.425475,118.6885,2019.153,11.2671,-26.90071,107.992,0.794312
2MASXJ12005792+0648226,180.2413,6.806389,1237671140947591227,0.00877616150342979,1826211080079173632,1826211080079173632,124.8139,1.8196,141.2939,1.533941,18.419,1.774184,-24.28244,1.573935,33.36309,3.582247,-13.35117,0.471837,-14.12298,0.471837,309.0795,14.52931,84.03245,1.340984,33.59747,3.526931,-13.35117,0.471837,-14.12298,0.471837,171.9401,14.07671,83.98219,1.638203,37.08195,3.521725,-2.914419,0.2887283,-2.016565,0.2887283,72.38719,6.937745,81.26498,0.9956623,53.72511,2.5558,1.269052,0.1815079,-0.5162222,0.1815079,49.0209,5.938304,76.94439,0.7250941,57.17857,1.938066,-0.6291676,0.1670844,-1.319159,0.1670844,96.67161,6.042656,72.73939,1.507208,59.00745,1.96812,-1.412111,0.1963108,-0.2418475,0.1963108,16.47097,6.5611,72.34804,0.3933991,72.87262,1.718466,-0.9921594,0.1368989,-3.204004,0.1368989,259.4523,7.390687,64.53352,2.802936,75.3378,1.857847,-4.781024,0.1524415,-4.587745,0.1524415,335.8123,9.001836,63.13403,2.171088,73.83427,2.008266,-12.67033,0.1948601,-13.48895,0.1948601,958.5685,13.06782,62.48168,9.723159,83.4096,2.518785,0.06018185,0.1170676,-0.08107453,0.1170676,15.41973,6.939358,63.5711,0.7265875,80.28167,1.700868,-1.589885,0.1294208,-1.324025,0.1294208,118.0977,8.265088,61.20338,1.039922,84.81261,10.93093,-3.451036,0.1384457,-3.332073,0.1384457,291.9277,4.25727,59.12386,2.557413,84.96424,10.90609,-13.52046,0.1977992,-15.34962,0.1977992,1267.776,15.78411,58.99997,1.544276,84.91774,10.99668,-10.22067,0.1750717,-10.33009,0.1750717,880.5215,12.8409,58.83918,4.597713,83.56482,1.314177,-3.804221,0.14214,-3.891762,0.14214,328.2935,10.23915,57.77135,3.909741,83.54858,3.087737,-3.285122,0.1402816,-3.267966,0.1402816,284.1282,10.11369,57.66211,2.665958,79.1116,1.862764,-0.3613128,0.09468254,-0.5110199,0.09468254,47.11092,8.528024,54.75093,0.4680659,192.6432,468.2321,57.94221,86.05359,0.6052773,150.5651,982.8768,13.41771,-47.35281,2.572581,0.7969252
2MASXJ14530794+2554327,223.2829,25.90917,1237665178987921464,0.00638963210894797,2415105398622152704,2415105398622152704,500,0,305.5547,5.26746,-60.24449,7.267326,45.63065,5.197691,83.04994,4.545358,-1.517566,0.1686951,-1.761254,0.1686951,36.09752,25.01588,80.48917,1.163024,82.82189,4.602928,-1.517566,0.1686951,-1.761254,0.1686951,108.9941,25.03898,80.27832,1.164341,74.3125,6.372645,-1.607072,0.1460491,-1.133487,0.1460491,90.90746,9.365863,78.47285,0.9026564,65.86709,2.621102,-0.8645959,0.1295366,-3.154016,0.1295366,254.9144,9.751867,76.20784,1.249679,67.08464,4.24141,-2.57583,0.1248815,-4.031052,0.1248815,330.1282,9.504161,72.6227,3.810539,67.76984,4.629469,-3.73839,0.1471802,-2.784149,0.1471802,115.5674,7.80247,72.35188,3.977442,83.04218,7.071141,-2.120191,0.10772,-4.373595,0.10772,485.7091,10.77745,66.63935,3.460719,76.01218,4.925506,-1.374377,0.106787,-0.5817756,0.106787,64.09103,7.99699,65.71733,10.60825,63.02563,6.450846,-8.657663,0.1405283,-8.061514,0.1405283,543.4232,9.558685,65.22765,8.555614,55.43316,1.051852,-0.4272099,0.1085524,-0.5533267,0.1085524,50.75064,7.948999,66.85718,0.5203855,52.50828,1.305517,-1.320123,0.1113215,-1.153893,0.1113215,70.90522,6.383468,61.55519,1.051889,135.1897,20.79149,-6.802533,0.1216133,-6.50192,0.1216133,258.6376,6.783636,58.71068,35.159,136.1695,19.22982,-8.606889,0.132826,-9.274548,0.132826,1883.119,27.78216,58.54023,23.87813,135.2567,21.4825,-6.609231,0.1208766,-6.5007,0.1208766,780.1107,20.46099,58.32495,11.20454,68.88416,2.142504,0.374198,0.09969763,0.7665511,0.09969763,-46.40448,8.203664,56.95404,5.401609,63.47584,1.932976,-0.08865903,0.1039392,0.1317483,0.1039392,7.982625,7.831851,56.82515,2.741052,45.76399,0.593758,0.0921149,0.08252695,-0.04228071,0.08252695,7.262897,6.084949,53.05612,0.3294964,261.3579,137.2992,1046.264,155.0126,1.189486,221.0034,497.9872,8.869794,49.01963,3.894761,0.4561858
2MASXJ23272195+1524375,351.8417,15.41028,1237652944245620778,0.0101433618486428,840033793115973632,840033793115973632,412.6976,7.251653,194.5951,1.305944,-43.20295,6.218901,18.89315,1.349127,86.12544,4.363862,-6.126411,0.1563418,-6.643341,0.1563418,188.3014,14.74493,72.7831,3.580953,86.00737,4.396848,-6.126411,0.1563418,-6.643341,0.1563418,407.3795,15.1839,72.73679,3.848879,79.02173,8.665498,-4.79145,0.1417283,-4.975453,0.1417283,345.7524,8.480468,70.29564,5.339235,91.82441,5.153386,-0.2882855,0.09886705,-2.028651,0.09886705,213.1171,9.535524,66.59258,1.468271,94.01254,7.722111,-2.605639,0.1034616,-3.182064,0.1034616,332.2708,10.44819,63.26011,5.192885,96.01635,7.607756,-4.220129,0.1230486,-2.868845,0.1230486,143.0587,7.533116,62.97594,10.20937,122.201,6.770439,-1.29698,0.08678325,-3.536707,0.08678325,515.837,12.44116,57.53461,4.2672,120.4577,6.036649,-6.173661,0.1030717,-5.436124,0.1030717,633.5839,10.90334,56.68119,13.84257,115.0554,2.410476,-18.96212,0.1520667,-19.60766,0.1520667,2075.185,16.55618,56.2818,71.11614,123.1081,2.057203,-0.01144931,0.08072738,-0.2739862,0.08072738,31.8813,11.99195,69.35683,2.049234,121.4116,3.245989,-2.825922,0.09278359,-2.876864,0.09278359,335.7245,10.31745,66.56613,6.212296,165.9623,43.35878,-5.47971,0.101586,-5.418253,0.101586,588.3802,7.457507,64.42744,10.48088,165.5583,40.98399,-6.952466,0.1076746,-8.096522,0.1076746,1669.988,29.07524,64.29534,21.93343,163.489,34.03563,-11.85713,0.1274396,-11.87703,0.1274396,1774.69,22.49354,64.10971,44.4734,131.4694,5.522698,-2.237823,0.09180029,-1.981958,0.09180029,276.726,11.53292,62.93877,13.57067,128.9161,4.909445,-2.925748,0.09483052,-2.528617,0.09483052,341.4094,11.71851,62.81602,12.48789,114.8254,1.035628,-0.3131002,0.06353421,-0.3546731,0.06353421,53.11117,9.572421,59.25025,0.9240975,142.6742,562.6932,55.98619,56.63594,1.25156,208.1797,2110.788,16.78104,-6.108122,67.94978,0.7240533
ARK347,181.1237,20.31611,1237667915955634219,0.0136920123867364,2936499589345208320,2936499589345208320,185.5983,1.144746,162.7834,0.4385427,34.70639,1.142891,25.59017,0.4830772,275.1313,9.17934,0,-1,0,-1,0,-0.7453353,0,0,256.8337,9.134025,0,-1,0,-1,0,-0.7453353,76.91805,0,41.4709,4.658512,-22.38157,0.2638186,-22.86563,0.2638186,894.7411,9.493617,72.68436,30.97643,69.31822,2.136764,-2.323472,0.1207961,-3.367135,0.1207961,229.7502,6.396055,67.23608,1.476075,79.24355,3.013224,-5.833486,0.1220375,-5.558089,0.1220375,413.0977,7.683226,62.6923,4.982354,82.31922,3.626319,-3.579434,0.130823,-2.236218,0.130823,184.6694,6.939008,62.32056,1.221369,110.8118,2.295738,-7.264314,0.114743,-9.362485,0.114743,1014.214,11.53345,55.8623,9.984015,115.5664,6.901894,-30.88636,0.2098179,-30.58082,0.2098179,3349.806,22.95309,55.00908,35.95291,111.3373,5.030023,-95.81821,0.4972014,-96.94025,0.4972014,10052.32,50.72537,54.62689,137.9276,130.5267,6.434628,-1.052827,0.07311194,-1.174697,0.07311194,172.1084,8.217002,60.32592,2.152061,127.9285,3.143959,-3.606513,0.09761149,-3.674141,0.09761149,460.9247,10.94317,62.94896,2.175748,140.0449,123.0269,-12.01981,0.1334337,-12.08495,0.1334337,1660.428,9.272427,60.17838,21.71121,140.8203,122.2022,-31.10325,0.209272,-32.94265,0.209272,4444.403,29.36961,60.00461,33.04287,140.2671,123.1159,-35.17516,0.2303149,-35.46287,0.2303149,5008.233,27.96775,59.75528,30.63123,131.6416,2.919044,-9.367875,0.1254018,-9.417518,0.1254018,1239.606,15.94647,58.18187,5.188511,131.2062,2.247065,-9.364933,0.1270085,-9.289693,0.1270085,1215.843,15.95778,58.01623,4.403331,124.6086,1.99642,-2.633952,0.07834349,-2.695348,0.07834349,440.4581,11.88159,53.28806,2.906376,183.8472,0,1.054063,34.37894,-3.301333,161.5753,10083.88,51.5121,25.84572,146.6019,0.7453353
ARP151,171.4008,54.3825,1237658802034573341,0.00703201176559252,1141745564082268160,1141745564082268160,500,0,116.678,0.9034445,-17.97982,3.560183,-26.21181,0.8795277,76.61361,5.346485,0,-1,0,-1,0,-0.6530922,0,0,76.61361,5.313229,0,-1,0,-1,0,-0.6530922,0,0,70.94115,8.360026,-3.966372,0.23679,-4.179052,0.23679,293.8052,11.31614,85.47844,6.320098,73.95048,8.032829,-3.555533,0.174374,-5.298346,0.174374,487.5317,14.67398,79.46674,3.836855,80.10662,11.57948,-7.683671,0.1741443,-8.420492,0.1741443,854.2413,15.89095,74.16575,9.033789,81.24777,11.43043,-6.994098,0.1907596,-5.787373,0.1907596,156.4015,8.319675,73.7193,13.58998,104.3968,20.63906,-10.55469,0.1650935,-12.64455,0.1650935,1769.881,20.66735,65.38883,23.90746,93.01289,4.918325,-9.386745,0.1704077,-8.000148,0.1704077,826.205,13.63575,64.132,14.61137,84.53028,6.985122,-34.88895,0.3275158,-35.65955,0.3275158,2806.885,25.84142,63.55022,30.0165,86.1567,3.317352,-1.419437,0.1082314,-1.568218,0.1082314,212.0842,12.28617,66.17617,2.172875,81.4639,1.68792,-5.300562,0.1438677,-5.26129,0.1438677,419.732,9.891416,66.07255,1.639728,123.2994,82.38465,-17.75831,0.1970918,-17.35006,0.1970918,514.0759,7.731577,62.76761,37.12478,129.0589,74.94296,-29.83777,0.2557257,-31.65291,0.2557257,6355.921,45.31674,62.57679,91.96542,129.0663,78.08169,-22.71575,0.2215938,-23.30836,0.2215938,1550.572,23.3202,62.31108,100.2307,86.1683,7.297048,-4.866023,0.1424362,-4.349775,0.1424362,404.1599,10.50887,60.69869,5.197874,84.18745,4.915045,-4.689049,0.1470727,-4.114802,0.1470727,379.0612,10.73187,60.53582,5.743001,76.43304,1.644379,-0.5309059,0.09467886,-0.5942845,0.09467886,52.15385,7.637684,56.27706,1.008352,500,0,0.9236118,-17.1921,2.171668,109.2924,2822.97,25.9689,-28.44224,32.02837,0.6530922
CGCG102-048,206.0654,19.56667,1237668272973676598,0.00875676157862765,2974786504309630976,2974786504309630976,161.2775,4.421649,168.3644,2.650766,-0.7874662,4.102971,1.263289,2.897249,21.51737,2.491418,-17.81137,0.6070393,-16.51838,0.6070393,165.9952,13.20179,73.03186,1.335207,20.90891,3.797178,-17.81137,0.6070393,-16.51838,0.6070393,218.5542,13.68976,72.97899,1.338501,20.49394,2.36846,-1.3925,0.3674331,-1.84092,0.3674331,43.54726,5.159482,70.208,0.6502153,36.51291,1.842229,0.2473551,0.1976985,-0.4884744,0.1976985,20.67754,4.75852,66.14011,0.3554566,42.25696,1.786406,-1.185791,0.1781142,-0.8562888,0.1781142,47.42674,4.935972,62.57715,0.4621561,43.67823,1.870083,-1.3603,0.2055675,0.08922458,0.2055675,1.042214,5.299588,62.26569,0.8411278,61.85288,1.748657,0.04220153,0.1371446,-1.900977,0.1371446,113.1451,6.232724,56.81098,0.505204,64.10835,1.497934,-1.84599,0.1421271,-1.346402,0.1421271,82.82472,6.757382,56.00788,0.2721797,62.92674,1.88093,-3.761476,0.1515582,-4.700368,0.1515582,274.5522,7.884575,55.63919,1.696508,81.07281,1.435759,0.03044299,0.104271,-0.05713271,0.104271,13.36456,6.673292,60.77557,0.8461853,81.76179,1.284991,-1.983792,0.1273122,-1.914793,0.1273122,160.8635,8.977696,62.61637,0.5557989,87.39302,17.7854,-2.345392,0.1271463,-2.250825,0.1271463,215.1661,4.002154,59.65837,0.4503749,87.40296,17.73744,-4.624294,0.1385994,-6.351707,0.1385994,524.8807,11.97945,59.49035,1.640738,87.27762,17.96148,-7.446248,0.1531323,-7.493895,0.1531323,648.9906,12.07141,59.22745,2.358777,85.85924,5.601766,-4.095345,0.1413064,-4.276082,0.1413064,366.7477,11.17553,57.55966,1.01016,85.79943,8.362187,-3.564123,0.1380598,-3.563239,0.1380598,304.6301,10.83209,57.38449,0.7668613,84.06997,1.941806,0.08717638,0.09000648,-0.08114983,0.09000648,5.243525,9.27097,52.40575,0.9177842,141.1615,369.8509,65.11147,47.6499,0.719838,191.5145,289.7108,9.018906,11.85614,1.047082,0.7663603
CGCG122-055,145.52,23.68528,1237667211050680439,0.00258584174485058,2585112428261959680,2585112428261959680,500,0,183.9546,1.427446,-79.30868,4.31983,28.98594,1.460147,99.64424,13.93192,0,-1,0,-1,0,-0.793338,83.4195,0,99.74979,10.48772,0,-1,0,-1,0,-0.793338,83.38021,0,92.38614,7.860271,-4.756423,0.2008394,-3.68228,0.2008394,341.5222,14.07296,81.23273,2.017991,104.0072,5.057927,0.3317641,0.1361031,-1.539584,0.1361031,209.6749,16.13707,77.77553,2.05273,109.9807,6.987421,-2.449774,0.1378746,-2.986192,0.1378746,419.8089,17.22726,74.37605,3.003625,110.192,8.035588,-3.600243,0.1615515,-2.030589,0.1615515,161.1861,11.52399,74.05833,1.52697,132.6985,14.69974,-4.862612,0.1333889,-7.234084,0.1333889,1275.673,21.41277,67.68784,14.92429,124.5403,6.054108,-7.571369,0.1485017,-6.838076,0.1485017,885.9111,16.6671,66.5445,4.328906,121.7923,4.476992,-25.17706,0.2369378,-25.66315,0.2369378,3010.311,27.80466,66.0116,18.89674,125.9777,3.615357,-1.432363,0.09643552,-1.5387,0.09643552,289.1888,16.0447,63.45589,1.906891,118.9987,2.6653,-1.947218,0.1201866,-1.84025,0.1201866,221.2787,12.67819,63.15233,0.9006394,148.7903,89.87435,-15.58865,0.1851084,-15.82474,0.1851084,743.2314,10.16786,60.48451,62.14204,151.6616,86.00124,-26.99159,0.2413453,-29.19499,0.2413453,6264.052,50.79669,60.32861,68.94978,147.7055,93.7203,-21.09564,0.2134587,-21.33405,0.2134587,2241.758,30.66857,60.12657,53.51395,121.5583,2.933002,-2.697312,0.1265787,-2.580008,0.1265787,341.2828,14.52067,58.79414,9.515228,120.2556,1.738992,-2.850644,0.1300599,-2.66538,0.1300599,348.4051,14.83383,58.65845,6.608771,113.7006,3.258247,-0.5144531,0.08734719,-0.5704246,0.08734719,94.75504,12.67363,55.04588,0.9404044,446.895,0,1.121949,-70.8853,0,179.1599,3015.968,27.80703,16.90918,17.02995,0.793338
