BAT_INDEX,log M,log M err,log L/L_Edd [erg/s],low log L/L_Edd err [erg/s],high log L/L_Edd [erg/s],method,log L_bol,low log L_bol err,high log L_bol err
1,7.97,0.3,-1.52,0.33,0.34,sigma,44.54,0.13,0.15
2,-99,99,-99,-99,-99,no BH mass,44.83,0.15,0.17
4,7.85,0.3,-1.35,0.33,0.34,sigma,44.59,0.14,0.16
5,-99,99,-99,-99,-99,no BH mass,45.39,0.11,0.13
6,7.29,0,-1.02,0.09,0.09,hbeta,44.36,0.09,0.09
7,8.91,0.32,-2,0.37,0.39,sigma,45,0.19,0.22
8,8.45,0,-0.83,0.06,0.07,hbeta,45.71,0.06,0.07
10,9.16,0.32,-1.74,0.34,0.34,sigma,45.51,0.1,0.11
13,-99,1000,-99,-99,-99,no BH mass,43.72,0.1,0.11
14,-99,99,-99,-99,-99,no BH mass,45.05,0.12,0.13
16,7.93,0,-0.29,0.12,0.14,hbeta,45.73,0.12,0.14
18,8.84,0,-1.43,0.11,0.12,halpha,45.5,0.11,0.12
20,-99,99,-99,-99,-99,no BH mass,46.25,0.11,0.12
24,-99,1000,-99,-99,-99,no BH mass,44.36,0.09,0.1
28,8.6,0.3,-2.06,0.3,0.3,sigma,44.63,0.04,0.04
29,-99,99,-99,-99,-99,no BH mass,44.61,0,0
31,-99,1000,-99,-99,-99,no BH mass,43.79,0.17,0.21
32,-99,99,-99,-99,-99,no BH mass,46.09,0.12,0.13
33,7.61,0.64,-0.89,0.64,0.64,sigma,44.81,0.01,0.01
36,7.82,0,-0.59,0.06,0.06,hbeta,45.32,0.06,0.06
39,8.64,0,-0.83,0.12,0.14,hbeta,45.9,0.12,0.14
43,7.21,0,-1.2,0.06,0.06,hbeta,44.1,0.06,0.06
44,8.42,0.36,-1.64,0.37,0.37,sigma,44.87,0.1,0.1
45,-99,99,-99,-99,-99,no BH mass,45,0.17,0.2
49,8.56,0.31,-2.34,0.34,0.35,sigma,44.31,0.14,0.16
50,7.5,1,-1.9,1.02,1.02,sigma,43.69,0.18,0.22
51,-99,99,-99,-99,-99,no BH mass,45.06,0.12,0.14
53,-99,1000,-99,-99,-99,no BH mass,44.69,0.12,0.14
55,8.08,0.36,-1.51,0.36,0.36,sigma,44.66,0,0
58,5.81,0,-0.25,0.08,0.08,halpha,43.65,0.08,0.08
60,7.22,0,-0.43,0.11,0.13,hbeta,44.88,0.11,0.13
61,7.74,0,-0.65,0.07,0.07,hbeta,45.17,0.07,0.07
62,7.3,0.46,-1.81,0.48,0.48,sigma,43.58,0.13,0.15
63,8.52,0.45,-2.93,0.46,0.46,sigma,43.68,0.1,0.1
64,-99,99,-99,-99,-99,no BH mass,43.84,0.13,0.15
70,8.41,0.38,-2.5,0.4,0.4,sigma,44,0.11,0.12
72,8.17,0.41,-1.64,0.41,0.41,sigma,44.62,0.03,0.03
73,8.05,0,-0.84,0.03,0.03,hbeta,45.3,0.03,0.03
74,7.89,0.34,-1.84,0.35,0.35,sigma,44.14,0.09,0.09
77,7.03,0.72,-1.29,0.73,0.73,sigma,43.83,0.11,0.13
79,-99,1000,-99,-99,-99,no BH mass,44.62,0.12,0.14
80,7.54,0,0.33,0.14,0.16,halpha,45.96,0.14,0.16
81,7.39,0.32,-1.47,0.35,0.36,sigma,44.01,0.14,0.17
82,-99,99,-99,-99,-99,no BH mass,45.25,0.24,0.29
83,7.69,0.35,-1.93,0.37,0.37,sigma,43.85,0.12,0.13
84,8.99,0.33,-2.12,0.33,0.33,sigma,44.96,0.03,0.04
85,-99,99,-99,-99,-99,no BH mass,45.46,0.09,0.09
87,8.45,0.31,-1.63,0.31,0.31,sigma,44.91,0.03,0.03
88,7.52,0,-0.79,0.22,0.31,halpha,44.82,0.22,0.31
89,-99,1000,-99,-99,-99,no BH mass,45.11,0.11,0.12
90,8.87,0,-1.72,0.13,0.15,hbeta,45.24,0.13,0.15
94,7.87,0,-1.64,0.14,0.16,hbeta,44.32,0.14,0.16
95,8.46,0.33,-2.32,0.37,0.39,sigma,44.23,0.17,0.2
96,-99,99,-99,-99,-99,no BH mass,44.09,0.08,0.08
99,7.54,0,-0.78,0.11,0.12,hbeta,44.85,0.11,0.12
102,8.21,0.34,-1.86,0.34,0.34,sigma,44.44,0.02,0.02
106,8.03,0,-1.05,0.06,0.06,hbeta,45.07,0.06,0.06
111,9.23,0,-1.8,0.17,0.19,hbeta,45.52,0.17,0.19
113,8.08,0,-0.79,0.03,0.03,hbeta,45.38,0.03,0.03
114,-99,99,-99,-99,-99,no BH mass,44.58,0.17,0.2
116,8.54,0.3,-2.29,0.32,0.33,sigma,44.34,0.12,0.13
118,8.43,0.31,-0.69,0.34,0.35,sigma,45.83,0.14,0.16
119,-99,99,-99,-99,-99,no BH mass,0,0,0
120,9.69,0,1.32,0.06,0.06,high z,49.1,0.06,0.06
123,-99,1000,-99,-99,-99,no BH mass,45.03,0.12,0.14
124,-99,99,-99,-99,-99,no BH mass,46.13,0.15,0.17
126,-99,99,-99,-99,-99,no BH mass,44.97,0.11,0.12
127,7.92,0,-1.04,0.13,0.15,hbeta,44.96,0.13,0.15
129,7.29,0,-0.91,0.03,0.03,hbeta,44.47,0.03,0.03
130,6.44,0,-0.75,0.14,0.16,hbeta,43.78,0.14,0.16
131,-99,1000,-99,-99,-99,no BH mass,43.99,0.09,0.1
133,8.86,0.43,-2.79,0.44,0.44,sigma,44.16,0.07,0.07
134,7.92,0,-0.96,0.05,0.05,hbeta,45.05,0.05,0.05
135,-99,99,-99,-99,-99,no BH mass,45.21,0.08,0.09
136,-99,99,-99,-99,-99,no BH mass,45.07,0.05,0.06
137,-99,1000,-99,-99,-99,no BH mass,44.85,0.13,0.14
138,-99,99,-99,-99,-99,no BH mass,44.99,0.11,0.12
140,8.96,0.29,-4.02,0.3,0.3,sigma,43.03,0.07,0.07
142,9.23,0.29,-2.26,0.29,0.29,sigma,45.06,0,0
144,6.52,0,-1.88,0.05,0.05,halpha,42.73,0.05,0.05
145,-99,99,-99,-99,-99,no BH mass,44.32,0.16,0.19
147,8.09,0,-0.55,0.02,0.02,hbeta,45.63,0.02,0.02
149,9.15,0.33,-1.89,0.34,0.34,sigma,45.35,0.07,0.07
150,6.01,0,0.13,0.09,0.1,halpha,44.23,0.09,0.1
151,-99,1000,-99,-99,-99,no BH mass,44.06,0.08,0.08
153,7.34,0.9,-1.82,0.91,0.91,sigma,43.61,0.1,0.11
156,7.79,0.3,-1.75,0.31,0.31,sigma,44.13,0.07,0.07
157,9.25,0.3,-2.2,0.3,0.3,sigma,45.14,0.02,0.02
159,-99,1000,-99,-99,-99,no BH mass,44.21,0.05,0.06
162,8.71,0,-2.25,0.1,0.11,hbeta,44.55,0.1,0.11
163,8.12,0.29,-2.12,0.3,0.3,sigma,44.09,0.06,0.06
164,-99,99,-99,-99,-99,no BH mass,44.25,0.12,0.13
165,8.27,0.34,-1.94,0.37,0.38,sigma,44.42,0.15,0.17
167,8,0,-0.77,0.08,0.08,hbeta,45.32,0.08,0.08
169,8.02,0,-1.21,0.16,0.18,hbeta,44.9,0.16,0.18
170,9.16,0,-1.41,0.13,0.14,hbeta,45.84,0.13,0.14
171,7.82,0.32,-1.77,0.35,0.35,sigma,44.14,0.13,0.15
172,-99,1000,-99,-99,-99,no BH mass,45.46,0.1,0.11
173,6.48,0,0.13,0.01,0.02,hbeta,44.7,0.01,0.02
178,9.1,0.31,-2.4,0.35,0.37,sigma,44.79,0.17,0.2
179,-99,99,-99,-99,-99,no BH mass,45.52,0.12,0.14
180,7.28,0,-0.72,0.14,0.16,halpha,44.65,0.14,0.16
182,7.07,0.75,-1.55,0.76,0.77,sigma,43.61,0.14,0.16
183,8.05,0,-0.99,0.08,0.09,hbeta,45.15,0.08,0.09
184,-99,1000,-99,-99,-99,no BH mass,43.31,0.02,0.02
185,-99,99,-99,-99,-99,no BH mass,44.46,0.13,0.15
188,9.04,0,1.4,0.05,0.06,high z,48.53,0.05,0.06
189,-99,99,-99,-99,-99,no BH mass,44.23,0.04,0.04
190,7.8,0,-1.39,0.12,0.14,hbeta,44.5,0.12,0.14
192,-99,99,-99,-99,-99,no BH mass,44.51,0.1,0.11
193,-99,1000,-99,-99,-99,no BH mass,44.72,0.08,0.09
194,-99,99,-99,-99,-99,no BH mass,44.91,0.11,0.13
195,-99,99,-99,-99,-99,no BH mass,45.38,0.09,0.09
196,8.54,0.33,-2.64,0.35,0.36,sigma,43.99,0.13,0.15
197,7.19,0,-0.79,0.13,0.15,hbeta,44.49,0.13,0.15
199,-99,99,-99,-99,-99,no BH mass,45.48,0.11,0.12
200,-99,99,-99,-99,-99,no BH mass,45.34,0.09,0.1
202,-99,99,-99,-99,-99,no BH mass,45.22,0,0
203,-99,1000,-99,-99,-99,no BH mass,45.3,0,0
205,8.07,0.41,-1.65,0.42,0.42,sigma,44.51,0.08,0.08
206,-99,99,-99,-99,-99,no BH mass,48.07,0.13,0.15
207,-99,99,-99,-99,-99,no BH mass,44.81,0.16,0.19
208,9.04,0,-0.1,0.17,0.2,hbeta,47.03,0.17,0.2
209,-99,1000,-99,-99,-99,no BH mass,45.64,0.07,0.08
213,7.85,0,-1.14,0.07,0.08,hbeta,44.8,0.07,0.08
214,8.27,0,-0.62,0.02,0.02,hbeta,45.74,0.02,0.02
216,7.74,0.33,-3.34,0.34,0.34,sigma,42.49,0.07,0.08
217,-99,99,-99,-99,-99,no BH mass,44.89,0.08,0.08
218,-99,1000,-99,-99,-99,no BH mass,44.99,0.08,0.09
220,8.07,0,-0.41,0.05,0.05,hbeta,45.75,0.05,0.05
223,7.94,0,-1.6,0,0,hbeta,44.43,0,0
224,8.82,0,-1.84,0.15,0.17,hbeta,45.07,0.15,0.17
226,7.11,0,0.09,0.02,0.02,hbeta,45.29,0.02,0.02
227,8.5,0.4,-1.21,0.43,0.43,sigma,45.38,0.15,0.17
228,7.5,0,-0.99,0.1,0.11,hbeta,44.6,0.1,0.11
230,8.33,0,-1.75,0.09,0.1,hbeta,44.67,0.09,0.1
232,8.07,0,-1.4,0.1,0.11,hbeta,44.76,0.1,0.11
237,8.17,0.36,-2.24,0.36,0.36,sigma,44.02,0.05,0.05
239,8.04,0.39,-2.32,0.41,0.42,sigma,43.81,0.14,0.16
242,7.25,0,-1.2,0.07,0.07,hbeta,44.14,0.07,0.07
243,7.92,0,-0.46,0.08,0.08,halpha,45.55,0.08,0.08
244,8.12,0,-1.22,0.03,0.03,hbeta,44.99,0.03,0.03
245,8.31,0.32,-1.74,0.33,0.33,sigma,44.66,0.08,0.08
246,-99,99,-99,-99,-99,no BH mass,45.23,0.13,0.15
247,-99,1000,-99,-99,-99,no BH mass,44.11,0.07,0.08
249,-99,99,-99,-99,-99,no BH mass,45.26,0.09,0.09
250,7.67,0.4,-45.76,0.4,0.4,sigma,0,0,0
254,7.97,0,-0.94,0.1,0.11,hbeta,45.12,0.1,0.11
256,-99,99,-99,-99,-99,no BH mass,44.52,0.19,0.24
258,-99,1000,-99,-99,-99,no BH mass,45.18,0.03,0.03
260,8.59,0.31,-2.52,0.32,0.32,sigma,44.16,0.08,0.09
261,7.29,0,-0.68,0.02,0.03,hbeta,44.7,0.02,0.03
262,8.28,0.34,-1.7,0.37,0.38,sigma,44.67,0.14,0.16
265,9.09,0.35,-2.7,0.36,0.36,sigma,44.48,0.08,0.09
266,8.72,0,-1.67,0.03,0.03,hbeta,45.14,0.03,0.03
268,-99,99,-99,-99,-99,no BH mass,44.32,0.12,0.13
269,7.42,0,-1.36,0.03,0.04,hbeta,44.15,0.03,0.04
270,-99,99,-99,-99,-99,no BH mass,44.95,0.04,0.04
273,-99,99,-99,-99,-99,no BH mass,45.33,0.05,0.05
274,8.76,0,-1.92,0.1,0.11,hbeta,44.93,0.1,0.11
279,8.05,0.4,-1.84,0.42,0.42,sigma,44.3,0.13,0.14
285,8.04,0,-1.87,0.15,0.16,hbeta,44.26,0.15,0.16
291,7.06,0,-1.03,0.13,0.15,hbeta,44.12,0.13,0.15
301,6.98,0,-1.58,0.08,0.09,hbeta,43.49,0.08,0.09
302,-99,1000,-99,-99,-99,no BH mass,44.44,0.16,0.2
303,-99,1000,-99,-99,-99,no BH mass,45.37,0.08,0.09
304,-99,99,-99,-99,-99,no BH mass,44.77,0.08,0.08
306,-99,99,-99,-99,-99,no BH mass,45.18,0,0
308,9.25,0.31,-2.75,0.31,0.31,sigma,44.59,0.01,0.01
310,7.62,0,-0.71,0.02,0.02,hbeta,45,0.02,0.02
311,8.74,0,1.98,0.14,0.16,high z,48.81,0.14,0.16
313,6.87,0,-0.14,0.05,0.05,hbeta,44.82,0.05,0.05
314,7.33,0,0.53,0.07,0.08,hbeta,45.95,0.07,0.08
316,7.79,0,-0.76,0.03,0.03,hbeta,45.12,0.03,0.03
317,8.94,0.42,-3.02,0.43,0.43,sigma,44.01,0.1,0.11
318,8.12,0,-0.92,0.12,0.13,hbeta,45.29,0.12,0.13
319,-99,1000,-99,-99,-99,no BH mass,43.21,0.06,0.06
320,-99,99,-99,-99,-99,no BH mass,0,0,0
325,6.8,0,-0.22,0.01,0.01,halpha,44.67,0.01,0.01
329,-99,1000,-99,-99,-99,no BH mass,44.94,0.06,0.06
330,-99,1000,-99,-99,-99,no BH mass,44.36,0.08,0.08
334,-99,99,-99,-99,-99,no BH mass,44.52,0.13,0.15
337,7.61,0.66,-1.16,0.66,0.66,sigma,44.54,0,0
338,8.22,0,-0.85,0.14,0.16,hbeta,45.46,0.14,0.16
342,-99,99,-99,-99,-99,no BH mass,44.63,0.05,0.05
344,-99,1000,-99,-99,-99,no BH mass,45.12,0.1,0.11
345,8.12,0.35,-1.01,0.36,0.36,sigma,45.2,0.07,0.07
347,8.2,0,-1.68,0.03,0.03,hbeta,44.61,0.03,0.03
348,6.68,0,-0.49,0.12,0.13,halpha,44.28,0.12,0.13
349,6.9,0,-0.94,0.09,0.1,halpha,44.05,0.09,0.1
350,8.61,0.32,-2.11,0.35,0.35,sigma,44.59,0.14,0.15
