Name,J_2MASS,J_2MASS_err,H_2MASS,H_2MASS_err,K_2MASS,K_2MASS_err,2MASS_cat
1RXSJ044154.5-082639,14.128,0.05,13.36,0.057,12.7,0.07,XSC
1RXSJ045205.0+493248,12.54,0.031,11.563,0.033,10.782,0.03,XSC
2E1739.1-1210,13.416,0.05,12.363,0.05,11.287,0.037,PSC
2MASSJ07594181-3843560,13.56,0.039,12.465,0.04,11.345,0.024,PSC
2MASSJ17485512-3254521,,13.644,,12.646,12.438,0.063,PSC
2MASXiJ1802473-145454,13.179,0.071,12.019,0.085,10.939,0.041,PSC
2MASXJ00253292+6821442,11.412,0.027,10.447,0.028,10.045,0.034,XSC
2MASXJ01064523+0638015,13.221,0.036,12.477,0.039,12.306,0.072,XSC
2MASXJ01073963-1139117,12.94,0.029,12.146,0.034,11.761,0.051,XSC
2MASXJ03305218+0538253,13.914,0.069,13.181,0.073,12.477,0.076,XSC
2MASXJ03342453-1513402,13.126,0.027,12.352,0.035,11.933,0.045,XSC
2MASXJ03502377-5018354,13.51,0.05,12.681,0.059,12.448,0.082,XSC
2MASXJ03534246+3714077,12.499,0.027,11.617,0.037,11.259,0.038,XSC
2MASXj03540948+0249307,13.894,0.057,12.95,0.051,12.191,0.056,XSC
2MASXJ04234080+0408017,14.064,0.077,13.352,0.082,12.408,0.085,XSC
2MASXJ04440903+2813003,10.969,0.023,10.004,0.025,9.577,0.028,XSC
2MASXJ05020903+0331499,12.616,0.045,11.855,0.051,11.592,0.073,XSC
2MASXJ05054575-2351139,14.168,0.059,13.309,0.056,12.5,0.067,XSC
2MASXJ05580206-3820043,11.992,0.022,10.995,0.022,9.928,0.015,XSC
2MASXJ06411806+3249313,14.405,0.066,13.587,0.072,12.98,0.077,XSC
2MASXJ06561197-4919499,12.621,0.028,11.899,0.034,11.561,0.052,XSC
2MASXJ07262635-3554214,11.205,0.028,10.383,0.034,9.999,0.045,XSC
2MASXJ07595347+2323241,11.562,0.017,10.764,0.024,10.329,0.026,XSC
2MASXJ08032736+0841523,13.286,0.04,12.578,0.058,12.13,0.057,XSC
2MASXJ09023729-4813339,15.052,0.208,12.988,0.084,12.053,0.085,XSC
2MASXJ09043699+5536025,13.998,0.05,13.097,0.055,12.597,0.063,XSC
2MASXJ09235371-3141305,13.072,0.059,12.282,0.06,11.853,0.08,XSC
2MASXJ09254750+6927532,13.453,0.044,12.561,0.052,11.939,0.055,XSC
2MASXJ09360622-6548336,13.756,0.052,13.067,0.052,12.59,0.079,XSC
2MASXJ09594263-3112581,12.74,0.047,11.863,0.054,11.105,0.056,XSC
2MASXJ10402231-4625264,11.611,0.024,10.844,0.028,10.44,0.037,XSC
2MASXJ11454045-1827149,12.869,0.033,12.154,0.04,11.648,0.059,XSC
2MASXJ12005792+0648226,12.329,0.035,11.61,0.043,11.217,0.064,XSC
2MASXJ12313717-4758019,12.36,0.036,11.586,0.044,11.148,0.06,XSC
2MASXJ12335145-2103448,13.626,0.037,12.876,0.04,12.425,0.062,XSC
2MASXJ12475784-5829599,12.967,0.059,12.138,0.055,11.724,0.068,XSC
2MASXJ13411287-1438407,12.25,0.029,11.463,0.037,10.771,0.048,XSC
2MASXJ13512953-1813468,12.89,0.025,12.138,0.039,11.663,0.045,XSC
2MASXJ14080674-3023537,13.879,0.05,13.107,0.055,12.5,0.069,XSC
2MASXJ14530794+2554327,13.823,0.047,12.988,0.049,12.457,0.061,XSC
2MASXJ15064412+0351444,13.412,0.042,12.689,0.042,12.428,0.09,XSC
2MASXJ15115979-2119015,12.271,0.023,11.434,0.026,10.678,0.026,XSC
2MASXJ15462424+6929102,12.775,0.027,12.022,0.032,11.739,0.053,XSC
2MASXJ16481523-3035037,12.656,0.05,11.879,0.051,11.398,0.059,XSC
2MASXJ18570768-7828212,12.397,0.038,11.536,0.052,10.896,0.05,XSC
2MASXJ19373299-0613046,11.014,0.02,10.23,0.025,9.74,0.026,XSC
2MASXJ19380437-5109497,13.271,0.063,12.563,0.085,12.023,0.086,XSC
2MASXJ20005575-1810274,12.302,0.024,11.243,0.024,10.272,0.022,XSC
2MASXJ20101740+4800214,12.762,0.043,11.993,0.053,11.477,0.06,XSC
2MASXJ20183871+4041003,13.004,0.108,11.492,0.076,10.709,0.074,XSC
2MASXJ21090996-0940147,12.14,0.036,11.346,0.045,10.583,0.04,XSC
2MASXJ21355399+4728217,12.873,0.046,11.987,0.05,11.458,0.053,XSC
2MASXJ23272195+1524375,12.334,0.028,11.594,0.033,11.096,0.054,XSC
2MFGC02280,12.021,0.029,11.036,0.032,10.595,0.035,XSC
3C111.0,13.805,0.069,12.573,0.061,11.65,0.05,XSC
3C120,11.93,0.029,11.087,0.03,10.241,0.029,XSC
4U1344-60,14.027,0.075,12.348,0.061,11.14,0.043,PSC
6dFJ0626586-370559,14.488,0.073,13.553,0.064,12.82,0.052,PSC
6dFJ2132022-334254,13.136,0.035,12.387,0.042,11.707,0.05,XSC
Ark120,11.449,0.017,10.669,0.027,9.918,0.021,XSC
ARK241,12.539,0.038,11.847,0.051,11.46,0.075,XSC
ARK347,11.905,0.019,11.112,0.024,10.66,0.031,XSC
ARP102B,12.048,0.021,11.366,0.027,10.915,0.043,XSC
ARP151,13.215,0.033,12.517,0.046,12.112,0.05,XSC
AXJ1737.4-2907,13.633,0.093,12.257,0.092,11.187,0.052,PSC
CenA,5.031,0.015,4.312,0.016,3.989,0.015,LGA
CGCG102-048,12.298,0.026,11.605,0.04,11.316,0.049,XSC
CGCG122-055,12.555,0.026,11.799,0.038,11.373,0.041,XSC
CGCG229-015,12.991,0.036,12.287,0.048,11.774,0.055,XSC
CGCG300-062,13.337,0.043,12.563,0.047,12.154,0.073,XSC
