Name,BAT_flux,BAT_flux_90_low,BAT_flux_90_high
1RXSJ044154.5-082639,10.21,6.51,14.58
1RXSJ045205.0+493248,63.16,58.27,68.17
2E1739.1-1210,44.5,39.13,50.14
2MASSJ07594181-3843560,50.64,46.76,54.63
2MASSJ17485512-3254521,36.66,31.6,41.96
2MASXiJ1802473-145454,40.33,34.84,46.11
2MASXJ00253292+6821442,18.24,13.89,22.94
2MASXJ01064523+0638015,15.45,11.16,20.26
2MASXJ01073963-1139117,10.48,0,0
2MASXJ03305218+0538253,11.02,7.47,15.1
2MASXJ03342453-1513402,12.46,8.62,16.78
2MASXJ03502377-5018354,20.89,17.03,24.98
2MASXJ03534246+3714077,15.33,10.71,20.56
2MASXJ03540948+0249307,12.85,9.05,17.17
2MASXJ04234080+0408017,23.88,19.5,28.58
2MASXJ04440903+2813003,52.95,47.39,58.7
2MASXJ05020903+0331499,15.31,10.59,20.66
2MASXJ05054575-2351139,60.85,56.38,65.43
2MASXJ05580206-3820043,29.27,26.21,32.48
2MASXJ06411806+3249313,35.08,29.33,41.13
2MASXJ06561197-4919499,12.17,8.33,16.49
2MASXJ07262635-3554214,23.35,18.82,28.13
2MASXJ07595347+2323241,34.54,29.31,40.03
2MASXJ08032736+0841523,17.32,13.27,21.74
2MASXJ09023729-4813339,29.41,25.37,33.66
2MASXJ09043699+5536025,15.2,11.47,19.33
2MASXJ09235371-3141305,19.16,15.77,22.86
2MASXJ09254750+6927532,9.23,6.18,12.84
2MASXJ09360622-6548336,12.97,9.22,17.14
2MASXJ09594263-3112581,17.24,13.12,21.77
2MASXJ10402231-4625264,24.93,20.7,29.44
2MASXJ11454045-1827149,53.26,48.37,58.32
2MASXJ12005792+0648226,21.18,17.08,25.59
2MASXJ12313717-4758019,15.52,10.56,21.08
2MASXJ12335145-2103448,9.89,4.64,17.04
2MASXJ12475784-5829599,9.56,5.61,14.35
2MASXJ13411287-1438407,24.07,19.52,29
2MASXJ13512953-1813468,17.88,13.25,23.03
2MASXJ14080674-3023537,17.19,12.82,22.09
2MASXJ14530794+2554327,24.01,20.09,28.17
2MASXJ15064412+0351444,15.67,0,0
2MASXJ15115979-2119015,31.3,25.57,37.43
2MASXJ15462424+6929102,13.94,10.23,18.01
2MASXJ16481523-3035037,45.69,40.53,51.07
2MASXJ18570768-7828212,24.22,20.08,28.61
2MASXJ19373299-0613046,23.21,19.05,27.7
2MASXJ19380437-5109497,15.05,11.12,19.44
2MASXJ20005575-1810274,20.9,15.94,26.34
2MASXJ20101740+4800214,13.26,9.09,17.87
2MASXJ20183871+4041003,28.47,24.39,32.76
2MASXJ21090996-0940147,19.75,15.73,24.17
2MASXJ21355399+4728217,22.24,18.71,25.98
2MASXJ23272195+1524375,10.52,7.21,14.38
2MFGC02280,27.07,22.28,32.14
3C111.0,116.8,111.84,121.83
3C120,94.36,89.44,99.38
4U1344-60,107.52,102.89,112.21
6dFJ0626586-370559,11.69,8.09,15.74
6dFJ2132022-334254,42.69,37.31,48.33
Ark120,69.95,65.22,74.8
ARK241,20.41,15.35,25.93
ARK347,29.48,25.24,33.93
ARP102B,18.2,14.55,22.16
ARP151,19.57,16.37,22.99
AXJ1737.4-2907,115.86,111.06,120.74
CenA,1388.99,1383.6,1394.4
CGCG102-048,19.51,15.02,24.35
CGCG122-055,13.76,9.33,18.6
CGCG229-015,11.14,7.52,15.2
CGCG300-062,10.08,6.61,14.05
CGCG312-012,9.04,5.9,12.67
CGCG319-007,13.23,9.78,17.02
CGCG341-006,11.54,8.33,15.16
CGCG367-009,22.71,18.86,26.79
CGCG420-015,28.14,23.25,33.35
CGCG468-002NED01,26.03,21.13,31.3
CGCG493-002,17.92,14.04,22.14
CGCG535-012,15.58,11.71,19.83
ESO005-G004,33.6,29.22,38.16
ESO031-G008,12.43,9.06,16.15
ESO033-G002,21.26,17.73,25.03
ESO103-035,111.73,107.55,115.98
ESO121-IG028,28.12,24.39,32.03
ESO137-34,28.19,22.73,34.03
ESO139-G012,22.55,17.77,27.69
ESO141-G055,54.42,50.04,58.92
ESO157-G023,21.2,17.47,25.14
ESO195-IG021NED03,16.3,12.68,20.24
ESO197-G027,7.88,4.86,11.42
ESO198-024,29.56,25.84,33.46
ESO209-G012,21.27,17.66,25.12
ESO244-IG030,8.86,6,12.23
ESO263-G013,35.35,30.72,40.19
ESO297-018,68.66,64.61,72.8
ESO323-077,33.06,0,0
ESO362-18,49.31,45.42,53.31
ESO374-G044,20.07,14.98,25.59
ESO383-18,18.87,15.25,22.84
ESO399-20,17.93,13.58,22.72
ESO417-G006,30.66,26.85,34.64
ESO426-G002,24.36,20.11,28.83
ESO439-G009,15.64,9.79,22.52
ESO464-G016,14.1,8.81,20.51
ESO479-G031,9.05,5.4,13.42
ESO490-IG026,37.42,33.35,41.66
ESO499-G041,14.63,9.94,19.9
ESO506-G027,93.94,88.28,99.72
ESO509-G038,14.24,8.44,21.35
ESO509-IG066NED01,18.18,13.2,23.73
ESO511-G030,39.88,34.71,45.29
ESO533-G050,13.55,0,0
ESO548-G081,44.46,40.43,48.64
ESO549-G049,25.16,20.59,30
ESO553-G022,13.72,9.26,18.72
ESO553-G043,13.85,9.75,18.43
ESO565-G019,20.68,15.1,26.73
ESO578-G009,16.9,12.28,22.07
Fairall1146,28.91,25.16,32.88
Fairall272,46.43,41.25,51.81
Fairall49,14.16,10.63,18.1
Fairall51,40.36,36.16,44.74
Fairall9,49.46,45.98,53.03
HB890241+622,90.54,86.44,94.72
IC0486,32.16,27.24,37.34
IC1657,14.32,9.95,19.18
