Name,E(B-V)_galactic,E(B-V)_calzetti
1RXSJ044154.5-082639,0.1017,
1RXSJ045205.0+493248,0.6297,0
2E1739.1-1210,0.5076,
2MASSJ07594181-3843560,0.699,
2MASSJ17485512-3254521,1.3915,
2MASXiJ1802473-145454,1.0814,
2MASXJ00253292+6821442,0.8966,0.0256
2MASXJ01064523+0638015,0.0323,0.12
2MASXJ01073963-1139117,0.0254,
2MASXJ03305218+0538253,0.2184,0
2MASXJ03342453-1513402,0.0659,
2MASXJ03502377-5018354,0.0129,
2MASXJ03534246+3714077,0.4492,0.18
2MASXj03540948+0249307,0.2695,
2MASXJ04234080+0408017,0.2619,
2MASXJ04440903+2813003,0.7386,0.205
2MASXJ05020903+0331499,0.0498,
2MASXJ05054575-2351139,0.0341,0.0256
2MASXJ05580206-3820043,0.0375,
2MASXJ06411806+3249313,0.1295,0.265
2MASXJ06561197-4919499,0.0573,
2MASXJ07262635-3554214,0.3373,
2MASXJ07595347+2323241,0.0512,0.29
2MASXJ08032736+0841523,0.0178,
2MASXJ09023729-4813339,1.3701,
2MASXJ09043699+5536025,0.0186,0.376
2MASXJ09235371-3141305,0.1278,
2MASXJ09254750+6927532,0.2547,
2MASXJ09360622-6548336,0.1979,
2MASXJ09594263-3112581,0.0658,
2MASXJ10402231-4625264,0.1345,
2MASXJ11454045-1827149,0.0338,0
2MASXJ12005792+0648226,0.0148,0.145
2MASXJ12313717-4758019,0.0876,
2MASXJ12335145-2103448,0.0527,
2MASXJ12475784-5829599,0.5252,
2MASXJ13411287-1438407,0.053,
2MASXJ13512953-1813468,0.0624,
2MASXJ14080674-3023537,0.0509,
2MASXJ14530794+2554327,0.0325,
2MASXJ15064412+0351444,0.0412,
2MASXJ15115979-2119015,0.1014,
2MASXJ15462424+6929102,0.0355,
2MASXJ16481523-3035037,0.2927,
2MASXJ18570768-7828212,0.1362,
2MASXJ19373299-0613046,0.25,
2MASXJ19380437-5109497,0.053,
2MASXJ20005575-1810274,0.1283,
2MASXJ20101740+4800214,0.3364,
2MASXJ20183871+4041003,2.7194,
2MASXJ21090996-0940147,0.1868,
2MASXJ21355399+4728217,0.546,0
2MASXJ23272195+1524375,0.0467,
2MFGC02280,0.6674,0.231
3C111.0,1.4261,0
3C120,0.2558,0
4U1344-60,2.4818,
6dFJ0626586-370559,0.0722,
6dFJ2132022-334254,0.0476,
Ark120,0.1094,0
ARK241,0.0385,
ARK347,0.032,0.29
ARP102B,0.02,0.12
ARP151,0.0121,0.179
AXJ1737.4-2907,1.9546,
CenA,0.0988,
CGCG102-048,0.0212,0.325
CGCG122-055,0.0216,0.35
CGCG229-015,0.0625,
CGCG300-062,0.0352,0
CGCG312-012,0.0277,0.0598
CGCG319-007,0.0251,0.88
CGCG341-006,0.0524,
CGCG367-009,0.0427,
