Name,GALEX_FUV,GALEX_FUV_err,GALEX_NUV,GALEX_NUV_err
1RXSJ044154.5-082639,,,,
1RXSJ045205.0+493248,,,,
2E1739.1-1210,,,,
2MASSJ07594181-3843560,,,20.39404,0.2641078
2MASSJ17485512-3254521,,,,
2MASXiJ1802473-145454,,,,
2MASXJ00253292+6821442,,,,
2MASXJ01064523+0638015,19.50030708,0.120992318,19.18173027,0.062698632
2MASXJ01073963-1139117,19.76487732,0.136242911,19.37403107,0.076568276
2MASXJ03305218+0538253,18.93780899,0.126532927,18.4725914,0.058856882
2MASXJ03342453-1513402,17.35208893,0.046844501,17.06654358,0.023173412
2MASXJ03502377-5018354,18.70393181,0.080814339,18.3996582,0.042369939
2MASXJ03534246+3714077,,,,
2MASXj03540948+0249307,,,20.60249138,0.199535787
2MASXJ04234080+0408017,20.44820786,0.302912652,19.91465569,0.119375311
2MASXJ04440903+2813003,,,,
2MASXJ05020903+0331499,,,,
2MASXJ05054575-2351139,,,,
2MASXJ05580206-3820043,19.62276649,0.194229931,18.87553978,0.078719124
2MASXJ06411806+3249313,,,21.32846832,0.280902743
2MASXJ06561197-4919499,,,,
2MASXJ07262635-3554214,,,,
2MASXJ07595347+2323241,,,,
2MASXJ08032736+0841523,20.53728485,0.215752691,19.62267303,0.081748202
2MASXJ09023729-4813339,,,,
2MASXJ09043699+5536025,18.85342979,0.03151824,18.20080757,0.014031808
2MASXJ09235371-3141305,,,,
2MASXJ09254750+6927532,,,21.3192749,0.248721138
2MASXJ09360622-6548336,,,,
2MASXJ09594263-3112581,,,,
2MASXJ10402231-4625264,,,19.37672615,0.137273178
2MASXJ11454045-1827149,14.73688316,0.018326361,14.8464241,0.010753488
2MASXJ12005792+0648226,,,,
2MASXJ12313717-4758019,16.76738548,0.045888983,16.40654755,0.022610445
2MASXJ12335145-2103448,19.08957863,0.100810237,18.02923965,0.035207618
2MASXJ12475784-5829599,,,,
2MASXJ13411287-1438407,16.22246552,0.035733681,16.0383873,0.018374333
2MASXJ13512953-1813468,17.29938316,0.060776617,17.15380096,0.032234039
2MASXJ14080674-3023537,16.57492828,0.042542223,16.52864456,0.023760464
2MASXJ14530794+2554327,17.58392715,0.044385042,17.90770912,0.028839892
2MASXJ15064412+0351444,20.39463806,0.075536251,17.56935692,0.009706373
2MASXJ15115979-2119015,20.19189835,0.246054858,18.69686508,0.059128229
2MASXJ15462424+6929102,,,19.55848312,0.131189436
2MASXJ16481523-3035037,,,,
2MASXJ18570768-7828212,,,19.13187,0.06633458
2MASXJ19373299-0613046,,,,
2MASXJ19380437-5109497,16.19285965,0.019364575,16.13874054,0.011318143
2MASXJ20005575-1810274,,,20.1072731,0.171061367
2MASXJ20101740+4800214,,,,
2MASXJ20183871+4041003,,,,
2MASXJ21090996-0940147,15.79965,0.02339966,15.72701,0.01386157
2MASXJ21355399+4728217,,,,
2MASXJ23272195+1524375,19.48287392,0.123924337,19.10272789,0.061052341
2MFGC02280,,,,
3C111.0,,,,
3C120,,,,
4U1344-60,,,,
6dFJ0626586-370559,,,,
6dFJ2132022-334254,,,,
Ark120,,,15.1194,0.01010485
ARK241,,,15.85834,0.01567675
ARK347,19.34819412,0.171318337,18.72163773,0.077280238
ARP102B,19.7186718,0.207979336,18.90320396,0.084338099
ARP151,18.08257,0.07022885,17.50042,0.03082195
AXJ1737.4-2907,,,,
CenA,18.23755,0.00617813,18.5556,0.004238573
CGCG102-048,19.75844383,0.161439449,19.14982033,0.079431847
CGCG122-055,18.77331161,0.087456971,17.90214157,0.033576209
CGCG229-015,17.99775696,0.009879648,17.71974945,0.006311643
CGCG300-062,18.38519478,0.070926502,17.89871788,0.037015919
CGCG312-012,,,,
CGCG319-007,19.6394062,0.215042368,18.81633949,0.081412561
CGCG341-006,19.96404076,0.190303147,19.18012047,0.071845122
CGCG367-009,19.32866859,0.131156504,18.88080597,0.065410398
CGCG420-015,,,,
CGCG468-002NED01,,,20.43575287,0.208914399
CGCG493-002,19.28067207,0.155826658,18.1977005,0.050720315
CGCG535-012,16.22768784,0.017603669,16.08167648,0.009538128
ESO005-G004,17.94760513,0.106891699,17.31089401,0.052639008
ESO031-G008,,,,
ESO033-G002,20.34854126,0.256327987,19.25878143,0.075761326
ESO103-035,,,19.43826,0.1325288
ESO121-IG028,,,19.20369,0.1608435
ESO137-34,,,18.66255,0.1707667
ESO139-G012,,,,
ESO141-G055,14.76990891,0.01947801,14.61116982,0.010065619
ESO157-G023,17.91315651,0.08704561,17.59498787,0.048817307
ESO195-IG021NED03,19.64398193,0.128004119,18.73431015,0.055187348
ESO197-G027,,,,
ESO198-024,,,,
ESO209-G012,,,,
ESO244-IG030,17.3712101,0.042875212,16.78067017,0.019215407
ESO263-G013,,,,
ESO297-018,18.11841393,0.088082656,17.49878311,0.040185455
ESO323-077,19.23415756,0.140287936,17.35779762,0.02437062
ESO362-18,15.24233246,0.003169301,15.28076935,0.001719755
ESO374-G044,19.06377792,0.309333861,18.32520485,0.11950361
ESO383-18,17.42840767,0.074213572,17.05960464,0.036226671
ESO399-20,,,,
ESO417-G006,19.27199364,0.120417051,18.11589813,0.042942051
ESO426-G002,,,,
ESO439-G009,19.6225853,0.236624584,19.05170822,0.118290812
ESO464-G016,20.26173,0.31609,19.12628,0.1152911
ESO479-G031,20.43676949,0.231127053,19.11176491,0.074101716
ESO490-IG026,17.94538689,0.082758054,17.23176956,0.034366254
ESO499-G041,18.04257965,0.062429111,17.27790833,0.026123082
ESO506-G027,18.96290398,0.138438135,18.64219093,0.07365226
ESO509-G038,17.77428818,0.054254182,17.0786953,0.022945967
ESO509-IG066NED01,18.31868553,0.109367996,17.73454475,0.046897274
ESO511-G030,15.00027084,0.004257185,14.91394424,0.002315803
ESO533-G050,17.64716721,0.056511763,17.09208107,0.029778665
ESO548-G081,15.62197113,0.012997839,15.37849426,0.006433434
ESO549-G049,16.83599091,0.032022186,16.16521835,0.013066736
ESO553-G022,18.6451683,0.118792489,18.1606617,0.059265599
ESO553-G043,,,,
ESO565-G019,,,,
ESO578-G009,19.38129044,0.122950137,18.25629807,0.036877587
Fairall1146,,,,
Fairall272,,,,
Fairall49,19.21837807,0.12136136,18.18959808,0.043921676
Fairall51,,,,
Fairall9,14.78117657,0.013974463,14.59502029,0.007200639
HB890241+622,,,,
IC0486,17.98955917,0.066115536,17.38291931,0.028629471
IC1657,15.79119587,0.019349748,15.42660713,0.009575201
IC1816,17.04144478,0.013858014,16.45082283,0.006156124
IC2461,,,,
IC2637,17.4635582,0.068411537,16.76614189,0.028884379
IC2921,20.42990303,0.237402052,20.08579063,0.139575943
IC4329A,19.73842812,0.098772489,18.42847633,0.026521262
IC4518A,,,,
IC4709,,,,
IC5063,17.89663124,0.028368317,16.822052,0.008550793
IGRJ11366-6002,,,,
IGRJ23308+7120,,,,
IISZ010,16.61168861,0.044350337,16.4991169,0.023891203
IIZw083,18.06591225,0.070537016,16.94577026,0.024444113
IRAS03219+4031,,,,
IRAS04124-0803,18.34873962,0.10154666,17.85950661,0.046651922
IRAS05078+1626,19.75437927,0.198711351,18.71460342,0.060836066
IRAS05218-1212,,,15.38401,0.01366782
IRAS05589+2828,,,,
KAZ320,17.39299583,0.042305645,17.21007347,0.021449719
KUG1141+371,17.54720688,0.037667304,17.38668823,0.021780448
KUG1208+386,18.75729561,0.119395837,18.02022934,0.048315886
LCRSB034324.7-394349,16.95319748,0.050118513,16.65190697,0.024689959
LCRSB232242.2-384320,,,,
LEDA138501,,,,
LEDA170194,17.98135567,0.062381301,17.44608307,0.026665438
LEDA214543,20.20061874,0.053015962,19.5500679,0.022052545
LEDA38038,,,16.76111,0.02846415
M106,12.0677,0.004297441,11.5934,0.001206172
MCG-01-05-047,19.00723,0.08684315,17.88183,0.03070551
MCG-01-09-045,,,,
MCG-01-13-025,,,,
MCG-01-24-012,,,,
MCG-01-30-041,17.33246231,0.016377212,16.39807892,0.006148672
MCG-01-33-063,18.3094101,0.061165828,17.79684448,0.030646747
MCG-01-40-001,,,,
MCG-02-02-095,19.65584183,0.133671492,19.47861481,0.088866062
MCG-02-08-014,19.40816689,0.055312879,18.78191376,0.029658031
MCG-02-08-038,19.20512962,0.048367843,18.58381653,0.024567459
MCG-02-12-050,17.56503677,0.068041757,17.05038071,0.030099429
MCG-02-14-009,,,16.21829,0.0186455
