Name,PACS70,PACS70_err,PACS160,PACS160_err,PSW,PSW_err,PSW_flag,PMW,PMW_err,PMW_flag,PLW,PLW_err,PLW_flag
1RXSJ044154.5-082639,0.175836701,0.012375183,0.149144382,0.02416791,0.059032873,0.010293106,A,0,0.096413646,U,0,0.102655384,U
1RXSJ045205.0+493248,0.354012267,0.021067984,0.785290049,0.086103475,0.366700779,0.058370203,A,0,0.281019555,U,0,0.089000765,U
2E1739.1-1210,0.560790044,0.028472565,0.780962759,0.114451571,0,0.590295735,U,0,0.34199633,U,0,0.1141898,U
2MASSJ07594181-3843560,0.04609023,0.007046019,0,0.121242967,0,0.111451917,UC,0,0.125619681,UC,0,0.111328891,UC
2MASSJ17485512-3254521,0,0.140112738,0,0.239512365,0,0.780823841,UC,0,0.706578298,UC,0,0.483899233,UC
2MASXiJ1802473-145454,1.203153282,0.06306373,1.871991156,0.228676761,0,0.953177547,UC,0,0.650836323,UC,0,0.355379912,UC
2MASXJ00253292+6821442,0.290402993,0.015439215,0.30293841,0.023994908,0,0.285551219,UC,0,0.364046751,UC,0,0.262803478,UC
2MASXJ01064523+0638015,0.149982425,0.010705186,0,0.097260099,0.036241002,0.006397075,A,0,0.073681643,U,0,0.081723804,U
2MASXJ01073963-1139117,0.490827689,0.03326225,0.715240255,0.059986978,0.270191286,0.016092435,A,0.12871103,0.010274844,A,0.047221491,0.008882074,A
2MASXJ03305218+0538253,0.222437491,0.015765822,0.130274019,0.019527727,0,0.138478758,UC,0,0.259041509,UC,0,0.192732322,UC
2MASXJ03342453-1513402,0.610137895,0.039179874,0.973836288,0.078898358,0.324568169,0.019043886,Ad,0.144029822,0.01154497,Ad,0.114945087,0.022623495,AD
2MASXJ03502377-5018354,0.395141947,0.027413823,0.470563412,0.0322574,0.263885179,0.022402853,AD,0.186200244,0.026867524,AD,0,0.072408765,UD
2MASXJ03534246+3714077,0.817188614,0.045908287,1.128436792,0.08708848,0.391291829,0.02231882,A,0.158597805,0.011020708,A,0.088757493,0.010913414,A
2MASXj03540948+0249307,0.183111458,0.012087254,0,0.198404346,0,0.208395613,UC,0,0.183421858,UC,0,0.173868204,UC
2MASXJ04234080+0408017,0.574411267,0.038254914,0.501697877,0.02799866,0.195330879,0.012581623,A,0.098479822,0.00886998,A,0,0.093752953,U
2MASXJ04440903+2813003,1.223989617,0.069067439,2.411113543,0.33967879,0,1.688084789,UC,0,1.814756067,UC,0,1.389522707,UC
2MASXJ05020903+0331499,0.084111817,0.010002074,0,0.183101607,0.086066391,0.014688262,A,0,0.088377257,U,0,0.068450141,U
2MASXJ05054575-2351139,0.17858653,0.010894218,0.141917527,0.025388567,0.1088307,0.02106136,A,0,0.137082315,U,0,0.05217842,U
2MASXJ05580206-3820043,0.245650084,0.015637425,0,0.199144054,0,0.46394629,U,0,0.32334353,U,0,0.2506715,U
2MASXJ06411806+3249313,0.087095755,0.009009298,0,0.052829243,0,0.082645084,U,0,0.092533304,U,0,0.07291862,U
2MASXJ06561197-4919499,0.259185275,0.015562386,0.125976378,0.022875059,0.096571772,0.019207271,A,0,0.078365508,U,0,0.103044232,U
2MASXJ07262635-3554214,1.112844657,0.059029122,0,0.699665284,0,0.433336802,UC,0,0.405724123,UC,0,0.260062956,UC
2MASXJ07595347+2323241,2.310934376,0.119616076,4.943354153,0.250313595,2.078027507,0.143091372,A,0.861649179,0.060954359,A,0.329424332,0.030578575,A
2MASXJ08032736+0841523,0,0.079177093,0,0.11232192,0,0.079685096,U,0,0.080689458,U,0,0.060723267,U
2MASXJ09023729-4813339,0.092385964,0.010113543,0,0.800918817,0,2.472682769,UC,0,2.444693202,UC,0,1.655188904,UC
2MASXJ09043699+5536025,0.18113854,0.010170494,0,0.129970076,0.05830115,0.007635033,A,0,0.059734848,U,0,0.078337061,U
2MASXJ09235371-3141305,0.109516743,0.006748633,0,0.163251927,0.032314558,0.006367477,A,0,0.111602591,U,0,0.136584835,U
2MASXJ09254750+6927532,0.085929377,0.008628537,0,0.200130024,0.080152542,0.007629094,A,0,0.206199289,U,0,0.174158445,U
2MASXJ09360622-6548336,0,0.074269746,0,0.118357345,0,0.111597539,U,0,0.085666894,U,0,0.102700246,U
2MASXJ09594263-3112581,0.281769333,0.01802662,0.270397371,0.026960013,0.211540332,0.032417124,A,0,0.07821221,U,0,0.090890924,U
2MASXJ10402231-4625264,1.202330943,0.064471445,1.40689835,0.105353418,0.542036185,0.030450117,A,0.210991745,0.013448299,A,0.076538899,0.010305371,A
2MASXJ11454045-1827149,0.311923945,0.02563625,0.33932609,0.024283003,0.135514944,0.009491655,A,0.060400279,0.006314359,A,0,0.06211773,U
2MASXJ12005792+0648226,0.522450226,0.027144893,0.917067216,0.060493532,0.422588548,0.024103107,A,0.181170882,0.011880271,A,0.059885137,0.009804057,A
2MASXJ12313717-4758019,1.507478782,0.079448359,1.955047747,0.118933224,0.694966392,0.038862933,A,0.293969271,0.017390788,A,0.098228643,0.010232675,A
2MASXJ12335145-2103448,0.348817584,0.018097459,0.285815321,0.027599368,0.1055429,0.008557133,A,0.042234237,0.007823906,A,0,0.05411233,U
2MASXJ12475784-5829599,0,0.093457386,0,0.081327027,0,0.337048798,UC,0,0.298252637,UC,0,0.235889418,UC
2MASXJ13411287-1438407,0.131912586,0.009493167,0.197891902,0.022198222,0.175707586,0.024591822,A,0.086986937,0.015332848,A,0,0.08927678,U
2MASXJ13512953-1813468,0,0.075831263,0,0.079108029,0,0.089466014,U,0,0.087874558,U,0,0.053810208,U
2MASXJ14080674-3023537,0,0.043070871,0,0.133761645,0,0.059657356,U,0,0.076230164,U,0,0.128013258,U
2MASXJ14530794+2554327,0,0.130813538,0,0.129319937,0,0.068418864,U,0,0.078998919,U,0,0.075337013,U
