Name,IF_dist,IF12,IF12_err,IF25,IF25_err,IF60,IF60_err,IF100,IF100_err
1RXSJ044154.5-082639,61.526244,,,,,0.733,0.10995,,
1RXSJ045205.0+493248,,,,,,,,,
2E1739.1-1210,,,,,,,,,
2MASSJ07594181-3843560,,,,,,,,,
2MASSJ17485512-3254521,,,,,,,,,
2MASXiJ1802473-145454,,,,,,,,,
2MASXJ00253292+6821442,,,,,,,,,
2MASXJ01064523+0638015,119.318833,0.423,0.0423,,,,,,
2MASXJ01073963-1139117,39.723135,,,,,0.486,0.05346,,
2MASXJ03305218+0538253,,,,,,,,,
2MASXJ03342453-1513402,12.488739,,,,,0.653,0.07836,,
2MASXJ03502377-5018354,8.370487,,,,,0.421,0.03368,,
2MASXJ03534246+3714077,,,,,,,,,
2MASXj03540948+0249307,,,,,,,,,
2MASXJ04234080+0408017,4.325714,,,0.254,0.0254,0.604,0.0604,,
2MASXJ04440903+2813003,,,,,,,,,
2MASXJ05020903+0331499,,,,,,,,,
2MASXJ05054575-2351139,,,,,,,,,
2MASXJ05580206-3820043,10.6152,0.529,0.03174,0.685,0.03425,0.322,0.03542,,
2MASXJ06411806+3249313,,,,,,,,,
2MASXJ06561197-4919499,9.316752,,,0.336,0.02016,,,,
2MASXJ07262635-3554214,,,,,,,,,
2MASXJ07595347+2323241,4.534678,0.187,0.02805,,,1.49,0.1192,,
2MASXJ08032736+0841523,,,,,,,,,
2MASXJ09023729-4813339,,,,,,,,,
2MASXJ09043699+5536025,,,,,,,,,
2MASXJ09235371-3141305,,,,,,,,,
2MASXJ09254750+6927532,,,,,,,,,
2MASXJ09360622-6548336,,,,,,,,,
2MASXJ09594263-3112581,,,,,,,,,
2MASXJ10402231-4625264,9.246786,,,0.24,0.0456,,,,
2MASXJ11454045-1827149,9.302105,,,,,0.229,0.04809,,
2MASXJ12005792+0648226,22.583836,,,,,0.375,0.04875,,
2MASXJ12313717-4758019,2.778135,,,0.326,0.02608,,,,
2MASXJ12335145-2103448,9.269689,,,,,0.382,0.06876,,
2MASXJ12475784-5829599,,,,,,,,,
2MASXJ13411287-1438407,,,,,,,,,
2MASXJ13512953-1813468,,,,,,,,,
2MASXJ14080674-3023537,,,,,,,,,
2MASXJ14530794+2554327,,,,,,,,,
2MASXJ15064412+0351444,,,,,,,,,
2MASXJ15115979-2119015,3.87914,0.23,0.0552,0.499,0.07984,1.52,0.0912,,
2MASXJ15462424+6929102,22.883688,,,,,0.37,0.037,,
2MASXJ16481523-3035037,,,,,,,,,
2MASXJ18570768-7828212,3.914228,,,0.221,0.02652,0.35,0.0455,,
2MASXJ19373299-0613046,16.711993,0.496,0.03472,1.06,0.0636,,,,
2MASXJ19380437-5109497,,,,,,,,,
2MASXJ20005575-1810274,23.284981,0.32,0.0352,0.591,0.0591,0.85,0.0765,,
2MASXJ20101740+4800214,,,,,,,,,
2MASXJ20183871+4041003,,,,,,,,,
2MASXJ21090996-0940147,7.425803,,,0.362,0.05792,,,,
2MASXJ21355399+4728217,,,,,,,,,
2MASXJ23272195+1524375,,,,,,,,,
2MFGC02280,,,,,,,,,
3C111.0,,,,,,,,,
3C120,7.606118,0.286,0.02574,0.635,0.0381,1.28,0.0768,,
4U1344-60,,,,,,,,,
6dFJ0626586-370559,85.134518,0.427,0.02562,,,,,,
6dFJ2132022-334254,,,,,,,,,
Ark120,21.801351,0.319,0.0319,0.41,0.0369,0.643,0.05787,,
ARK241,,,,,,,,,
ARK347,,,,,,,,,
ARP102B,,,,,,,,,
ARP151,,,,,,,,,
AXJ1737.4-2907,,,,,,,,,
CenA,2.880595,13.3,0.798,17.3,1.038,,,,
CGCG102-048,,,,,,,,,
CGCG122-055,28.190002,,,,,0.622,0.04976,,
CGCG229-015,,,,,,,,,
CGCG300-062,20.127363,,,,,0.157,0.02669,,
CGCG312-012,,,,,,,,,
CGCG319-007,114.150565,,,0.162,0.0162,0.544,0.03808,,
CGCG341-006,0.885598,,,0.254,0.01778,0.852,0.05964,,
CGCG367-009,,,,,,,,,
CGCG420-015,14.639214,0.253,0.03289,0.567,0.03969,0.613,0.04904,,
CGCG468-002NED01,29.646968,0.22,0.0374,1.09,0.0654,,,,
CGCG493-002,,,,,,,,,
CGCG535-012,18.943094,,,0.129,0.02451,,,,
ESO005-G004,4.94189,0.582,0.02328,0.708,0.02124,6.88,0.2752,,
ESO031-G008,,,,,,,,,
ESO033-G002,5.024265,0.208,0.01664,0.447,0.01788,0.678,0.0339,,
ESO103-035,2.643657,0.612,0.04284,2.36,0.118,2.31,0.1155,,
ESO121-IG028,42.423687,,,,,0.159,0.03021,,
ESO137-34,,,,,,,,,
ESO139-G012,3.935596,,,0.174,0.0348,,,,
ESO141-G055,5.08728,0.242,0.0242,0.352,0.02112,0.575,0.046,,
ESO157-G023,5.034255,,,0.0969,0.012597,0.239,0.02868,,
ESO195-IG021NED03,23.640846,,,,,0.393,0.05895,,
ESO197-G027,10.214823,,,0.199,0.0199,0.562,0.03934,,
ESO198-024,,,,,,,,,
ESO209-G012,13.426769,0.202,0.02828,0.493,0.03451,,,,
ESO244-IG030,5.48042,,,0.173,0.02422,1.09,0.0763,,
ESO263-G013,,,,,,,,,
ESO297-018,21.88516,,,,,0.662,0.0662,,
ESO323-077,4.985707,0.683,0.04098,1.22,0.0732,5.66,0.283,,
ESO362-18,10.913577,0.224,0.04256,0.57,0.0342,1.4,0.098,,
ESO374-G044,41.763752,,,0.208,0.0312,,,,
ESO383-18,21.787958,,,0.444,0.03552,0.616,0.05544,,
ESO399-20,12.218757,,,,,0.542,0.0542,,
ESO417-G006,21.60856,,,,,0.184,0.04048,,
ESO426-G002,15.81271,,,0.209,0.02299,,,,
