Name,IP_dist,IP12,IP12_err,IP25,IP25_err,IP60,IP60_err,IP100,IP100_err
1RXSJ044154.5-082639,63.318237,,,,,0.856,0.14552,,
1RXSJ045205.0+493248,,,,,,,,,
2E1739.1-1210,17.080054,,,,,0.529,0.05819,,
2MASSJ07594181-3843560,3.764955,,,0.241,0.0241,,,,
2MASSJ17485512-3254521,,,,,,,,,
2MASXiJ1802473-145454,,,,,,,,,
2MASXJ00253292+6821442,17.324168,,,0.205,0.0328,,,,
2MASXJ01064523+0638015,,,,,,,,,
2MASXJ01073963-1139117,14.227812,,,,,0.53,0.053,,
2MASXJ03305218+0538253,,,,,,,,,
2MASXJ03342453-1513402,38.028415,,,,,0.739,0.08868,,
2MASXJ03502377-5018354,,,,,,,,,
2MASXJ03534246+3714077,,,,,,,,,
2MASXj03540948+0249307,,,,,,,,,
2MASXJ04234080+0408017,19.421586,,,,,0.592,0.03552,,
2MASXJ04440903+2813003,46.474232,,,,,0.911,0.07288,3.75,0.375
2MASXJ05020903+0331499,,,,,,,,,
2MASXJ05054575-2351139,,,,,,,,,
2MASXJ05580206-3820043,17.318742,0.532,0.03192,0.691,0.04837,,,,
2MASXJ06411806+3249313,,,,,,,,,
2MASXJ06561197-4919499,23.316152,,,0.369,0.02952,,,,
2MASXJ07262635-3554214,22.742878,0.297,0.0594,0.87,0.0609,1.54,0.1078,3.03,0.2121
2MASXJ07595347+2323241,31.38355,,,,,1.56,0.1404,3.72,0.372
2MASXJ08032736+0841523,,,,,,,,,
2MASXJ09023729-4813339,,,,,,,,,
2MASXJ09043699+5536025,,,,,,,,,
2MASXJ09235371-3141305,,,,,,,,,
2MASXJ09254750+6927532,,,,,,,,,
2MASXJ09360622-6548336,,,,,,,,,
2MASXJ09594263-3112581,1.36364,,,0.279,0.03627,,,,
2MASXJ10402231-4625264,7.021359,,,0.315,0.19845,,,,
2MASXJ11454045-1827149,,,,,,,,,
2MASXJ12005792+0648226,,,,,,,,,
2MASXJ12313717-4758019,2.270023,,,0.332,0.0332,1.26,0.1008,2.02,0.202
2MASXJ12335145-2103448,,,,,,,,,
2MASXJ12475784-5829599,,,,,,,,,
2MASXJ13411287-1438407,,,,,,,,,
2MASXJ13512953-1813468,,,,,,,,,
2MASXJ14080674-3023537,,,,,,,,,
2MASXJ14530794+2554327,,,,,,,,,
2MASXJ15064412+0351444,,,,,,,,,
2MASXJ15115979-2119015,3.77772,,,0.637,0.09555,1.61,0.1449,1.75,0.1225
2MASXJ15462424+6929102,,,,,,,,,
2MASXJ16481523-3035037,,,,,,,,,
2MASXJ18570768-7828212,,,,,,,,,
2MASXJ19373299-0613046,4.782106,0.474,0.02844,1.11,0.0888,2.98,0.2682,5.05,0.404
2MASXJ19380437-5109497,,,,,,,,,
2MASXJ20005575-1810274,6.904565,,,0.69,0.0621,0.921,0.08289,1.21,0.1573
2MASXJ20101740+4800214,,,,,,,,,
2MASXJ20183871+4041003,,,,,,,,,
2MASXJ21090996-0940147,,,,,,,,,
2MASXJ21355399+4728217,,,,,,,,,
2MASXJ23272195+1524375,,,,,,,,,
2MFGC02280,9.174925,,,,,1.17,0.0936,2.72,0.2992
3C111.0,,,,,,,,,
3C120,1.977056,0.33,0.0528,0.708,0.06372,1.32,0.0924,2.64,0.1848
4U1344-60,28.790727,0.365,0.0365,0.883,0.0883,,,18.2,2.73
6dFJ0626586-370559,81.993807,0.422,0.02532,,,,,,
6dFJ2132022-334254,,,,,,,,,
Ark120,14.527255,,,0.473,0.0473,0.657,0.0657,1.3,0.143
ARK241,,,,,,,,,
ARK347,,,,,,,,,
ARP102B,,,,,,,,,
ARP151,,,,,,,,,
AXJ1737.4-2907,,,,,,,,,
CenA,13.478839,11.1,0.444,15,1.2,172,15.48,338,27.04
CGCG102-048,,,,,,,,,
CGCG122-055,13.487164,,,,,0.632,0.05056,,
CGCG229-015,,,,,,,,,
