Name,Morphology,Stellar_Mass,SDSS_u_Koss,SDSS_g_Koss,SDSS_r_Koss,SDSS_i_Koss,SDSS_z_Koss,griz_cont
1RXSJ044154.5-082639,,,,,,,,
1RXSJ045205.0+493248,,10.1,14.55,14.06,13.69,13.44,13.5,Y
2E1739.1-1210,,,,,,,,
2MASSJ07594181-3843560,,,,,,,,
2MASSJ17485512-3254521,,,,,,,,
2MASXiJ1802473-145454,,,,,,,,
2MASXJ00253292+6821442,M,10.05,0,12.86,12.14,11.85,11.9,
2MASXJ01064523+0638015,S,10.4,16.9,15.54,14.76,14.27,14.15,
2MASXJ01073963-1139117,,,,,,,,
2MASXJ03305218+0538253,,10.02,15.65,15.46,15.44,15.04,15.15,Y
2MASXJ03342453-1513402,,,,,,,,
2MASXJ03502377-5018354,,,,,,,,
2MASXJ03534246+3714077,I,9.9,15.84,13.99,13.5,13.31,13.18,
2MASXJ03540948+0249307,,,,,,,,
2MASXJ04234080+0408017,,,,,,,,
2MASXJ04440903+2813003,I,10.41,0,12.68,11.8,11.4,11.3,
2MASXJ05020903+0331499,,,,,,,,
2MASXJ05054575-2351139,I,9.13,17.31,16.11,15.44,15.12,15.36,
2MASXJ05580206-3820043,,,,,,,,
2MASXJ06411806+3249313,M,9.94,17.9,16.56,15.95,15.56,15.25,
2MASXJ06561197-4919499,,,,,,,,
2MASXJ07262635-3554214,,,,,,,,
2MASXJ07595347+2323241,S,10.57,15.44,14.11,13.41,13.02,12.65,
2MASXJ08032736+0841523,,,,,,,,
2MASXJ09023729-4813339,,,,,,,,
2MASXJ09043699+5536025,M,9.76,17.61,16.25,15.81,15.31,15.16,
2MASXJ09235371-3141305,,,,,,,,
2MASXJ09254750+6927532,,,,,,,,
2MASXJ09360622-6548336,,,,,,,,
2MASXJ09594263-3112581,,,,,,,,
2MASXJ10402231-4625264,,,,,,,,
2MASXJ11454045-1827149,M,10.04,15.43,15,15.28,14.31,14.18,Y
2MASXJ12005792+0648226,I,10.58,15.72,14.68,13.91,13.49,13.34,
2MASXJ12313717-4758019,,,,,,,,
2MASXJ12335145-2103448,,,,,,,,
2MASXJ12475784-5829599,,,,,,,,
2MASXJ13411287-1438407,,,,,,,,
