Name,Optical_Type,MBH,MBH_err,MBH_method
1RXSJ044154.5-082639,,,,
1RXSJ045205.0+493248,Sy 1.5,,,
2E1739.1-1210,,,,
2MASSJ07594181-3843560,,,,
2MASSJ17485512-3254521,,,,
2MASXiJ1802473-145454,,,,
2MASXJ00253292+6821442,Sy 2,,,
2MASXJ01064523+0638015,Sy 2,,,
2MASXJ01073963-1139117,Sy 2,8.08,0.5,VD
2MASXJ03305218+0538253,Sy 1.9,,,
2MASXJ03342453-1513402,Sy 1.5,,,
2MASXJ03502377-5018354,Sy 2,,,
2MASXJ03534246+3714077,Sy 2,8.54,0.45,VD
2MASXJ03540948+0249307,Sy 1.5,7.191,,BL
2MASXJ04234080+0408017,Sy 2,,,
2MASXJ04440903+2813003,Sy 1.9,8.17,0.49,VD
2MASXJ05020903+0331499,,,,
2MASXJ05054575-2351139,Sy 2,,,
2MASXJ05580206-3820043,Sy 1.2,,,
2MASXJ06411806+3249313,Sy 2,8.12,0.49,VD
2MASXJ06561197-4919499,Sy 2,8.61,0.43,VD
2MASXJ07262635-3554214,,,,
2MASXJ07595347+2323241,Sy 1.9,8.4,0.34,VD
2MASXJ08032736+0841523,Sy 1.5,7.694,,BL
2MASXJ09023729-4813339,,,,
2MASXJ09043699+5536025,Sy 1.2,7.09,,BL
2MASXJ09235371-3141305,Sy 2,,,
2MASXJ09254750+6927532,,,,
2MASXJ09360622-6548336,Sy 1.9,,,
2MASXJ09594263-3112581,,,,
2MASXJ10402231-4625264,Sy 2,8.52,0.34,VD
2MASXJ11454045-1827149,Sy 1.5,7.093,,
2MASXJ12005792+0648226,Sy 2,8.31,0.34,VD
2MASXJ12313717-4758019,Sy 1.5,,,
2MASXJ12335145-2103448,,,,
2MASXJ12475784-5829599,,,,
2MASXJ13411287-1438407,Sy 1.5,7.285,,BL
2MASXJ13512953-1813468,Sy 1.5,,,
2MASXJ14080674-3023537,Sy 1.5,,,
2MASXJ14530794+2554327,Sy 1,8.383,,BL
2MASXJ15064412+0351444,Sy 2,7.49,0.35,VD
2MASXJ15115979-2119015,Sy 1.5,7.239,,BL
2MASXJ15462424+6929102,Sy 2,9.18,0.39,VD
2MASXJ16481523-3035037,,,,
2MASXJ18570768-7828212,,,,
2MASXJ19373299-0613046,Sy 1.5,6.509,,BL
2MASXJ19380437-5109497,Sy 1.2,7.226,,BL
2MASXJ20005575-1810274,Sy 1.9,8.07,0.5,VD
2MASXJ20101740+4800214,Sy 2,9.48,0.5,VD
2MASXJ20183871+4041003,,,,
2MASXJ21090996-0940147,Sy 1.2,7.308,,BL
2MASXJ21355399+4728217,,,,
2MASXJ23272195+1524375,Sy 1.5,9.02,0.38,VD
2MFGC02280,Sy 2,,,
3C111.0,Sy 1.2,,,
3C120,Sy 1.5,7.307,,BL
4U1344-60,,,,
6dFJ0626586-370559,Sy 1.5,,,
6dFJ2132022-334254,Sy 1.5,,,
Ark120,Sy 1,8.396,,BL
ARK241,Sy 1.2,,,
ARK347,Sy 1.9,8.18,0.33,VD
ARP102B,Sy 2,8.92,0.47,VD
ARP151,Sy 1.5,8.02,0.44,VD
AXJ1737.4-2907,,,,
CenA,Sy 2,,,
CGCG102-048,Sy 2,8.26,0.35,VD
CGCG122-055,Sy 1.5,7.008,,BL
CGCG229-015,,,,
CGCG300-062,,,,
CGCG312-012,Sy 1.9,8.17,0.33,VD
CGCG319-007,,,,
CGCG341-006,,,,
CGCG367-009,Sy 2,9.82,0.43,VD
CGCG420-015,Sy 2,8.31,0.43,VD
CGCG468-002NED01,Sy 1.9,8.59,0.41,VD
CGCG493-002,,,,
CGCG535-012,,,,
ESO005-G004,Sy 2,,,
ESO031-G008,Sy 1.2,,,
ESO033-G002,Sy 2,,,
ESO103-035,Sy 2,,,
ESO121-IG028,Sy 2,,,
ESO137-34,Sy 2,,,
ESO139-G012,,,,
ESO141-G055,Sy 1.2,7.922,,BL
ESO157-G023,Sy 2,,,
ESO195-IG021NED03,Sy 2,8.42,0.51,VD
ESO197-G027,Sy 2,,,
ESO198-024,,,,
ESO209-G012,,,,
ESO244-IG030,Sy 2,,,
ESO263-G013,Sy 2,,,
ESO297-018,Sy 2,8.45,0.4,VD
ESO323-077,Sy 1.5,,,
ESO362-18,Sy 1.5,,,
