Name,Asmus_12,Asmus_12_err,Asmus_18,Asmus_18_err
1RXSJ044154.5-082639,,,,
1RXSJ045205.0+493248,,,,
2E1739.1-1210,,,,
2MASSJ07594181-3843560,,,,
2MASSJ17485512-3254521,,,,
2MASXiJ1802473-145454,,,,
2MASXJ00253292+6821442,,,,
2MASXJ01064523+0638015,,,,
2MASXJ01073963-1139117,,,,
2MASXJ03305218+0538253,,,,
2MASXJ03342453-1513402,,,,
2MASXJ03502377-5018354,0,0.0116,,
2MASXJ03534246+3714077,,,,
2MASXj03540948+0249307,,,,
2MASXJ04234080+0408017,,,,
2MASXJ04440903+2813003,,,,
2MASXJ05020903+0331499,,,,
2MASXJ05054575-2351139,0.0523,0.0175,,
2MASXJ05580206-3820043,0.4265,0.0426,,
2MASXJ06411806+3249313,,,,
2MASXJ06561197-4919499,,,,
2MASXJ07262635-3554214,,,,
2MASXJ07595347+2323241,,,,
2MASXJ08032736+0841523,,,,
2MASXJ09023729-4813339,,,,
2MASXJ09043699+5536025,,,,
2MASXJ09235371-3141305,,,,
2MASXJ09254750+6927532,,,,
2MASXJ09360622-6548336,,,,
2MASXJ09594263-3112581,,,,
2MASXJ10402231-4625264,,,,
2MASXJ11454045-1827149,,,,
2MASXJ12005792+0648226,0.0293,0.0029,,
2MASXJ12313717-4758019,,,,
2MASXJ12335145-2103448,,,,
2MASXJ12475784-5829599,,,,
2MASXJ13411287-1438407,,,,
2MASXJ13512953-1813468,,,,
2MASXJ14080674-3023537,,,,
2MASXJ14530794+2554327,,,,
2MASXJ15064412+0351444,,,,
2MASXJ15115979-2119015,,,,
2MASXJ15462424+6929102,,,,
2MASXJ16481523-3035037,,,,
2MASXJ18570768-7828212,,,,
2MASXJ19373299-0613046,,,,
2MASXJ19380437-5109497,,,,
2MASXJ20005575-1810274,,,,
2MASXJ20101740+4800214,,,,
2MASXJ20183871+4041003,,,,
2MASXJ21090996-0940147,,,,
2MASXJ21355399+4728217,,,,
2MASXJ23272195+1524375,,,,
2MFGC02280,,,,
3C111.0,,,,
3C120,0.266,0.007,,
4U1344-60,,,,
6dFJ0626586-370559,,,,
6dFJ2132022-334254,,,,
Ark120,0.2465,0.014,,
ARK241,,,,
ARK347,0.0683,0.0192,,
ARP102B,,,,
ARP151,,,,
AXJ1737.4-2907,,,,
CenA,1.5242,0.1524,2.298,0.2938
CGCG102-048,,,,
CGCG122-055,,,,
CGCG229-015,,,,
CGCG300-062,,,,
CGCG312-012,,,,
CGCG319-007,,,,
CGCG341-006,,,,
CGCG367-009,,,,
CGCG420-015,,,,
CGCG468-002NED01,,,,
CGCG493-002,,,,
CGCG535-012,,,,
ESO005-G004,0.0288,0.0035,0.0686,0.0249
ESO031-G008,,,,
ESO033-G002,0.1742,0.0622,,
ESO103-035,0.4844,0.2587,,
ESO121-IG028,0.0147,0.0015,,
ESO137-34,,,,
ESO139-G012,,,,
ESO141-G055,0.1487,0.0359,,
ESO157-G023,,,,
ESO195-IG021NED03,,,,
ESO197-G027,,,,
ESO198-024,0.0333,0.0096,,
ESO209-G012,0.1641,0.0226,,
ESO244-IG030,,,,
ESO263-G013,0.0558,0.0042,,
ESO297-018,0.0313,0.0052,,
ESO323-077,0.3467,0.0794,,
ESO362-18,0.1575,0.0188,,
ESO374-G044,,,,
ESO383-18,,,,
ESO399-20,,,,
ESO417-G006,,,,
ESO426-G002,,,,
ESO439-G009,,,,
ESO464-G016,,,,
ESO479-G031,,,,
ESO490-IG026,,,,
ESO499-G041,,,,
ESO506-G027,0.1795,0.0179,,
ESO509-G038,,,,
ESO509-IG066NED01,,,,
ESO511-G030,0.0522,0.0052,,
ESO533-G050,,,,
ESO548-G081,0.0869,0.0326,,
ESO549-G049,,,,
ESO553-G022,,,,
ESO553-G043,,,,
ESO565-G019,,,,
ESO578-G009,,,,
Fairall1146,,,,
Fairall272,,,,
Fairall49,0.3678,0.2132,,
Fairall51,0.3914,0.0391,0.7125,0.0221
Fairall9,0.2804,0.028,,
HB890241+622,,,,
IC0486,,,,
IC1657,,,,
IC1816,,,,
IC2461,,,,
IC2637,,,,
IC2921,,,,
IC4329A,1.1577,0.0993,2.2198,0.1416
IC4518A,0.1994,0.0317,,
IC4709,,,,
IC5063,0.8206,0.0578,1.8499,0.0373
IGRJ11366-6002,,,,
IGRJ23308+7120,,,,
IISZ010,,,,
IIZw083,,,,
IRAS03219+4031,,,,
IRAS04124-0803,,,,
IRAS05078+1626,,,,
IRAS05218-1212,,,,
IRAS05589+2828,,,,
KAZ320,,,,
KUG1141+371,,,,
KUG1208+386,,,,
LCRSB034324.7-394349,,,,
LCRSB232242.2-384320,,,,
LEDA138501,,,,
LEDA170194,0.0424,0.0082,,
LEDA214543,,,,
LEDA38038,,,,
M106,0.107,0.0139,,
MCG-01-05-047,0.0533,0.0216,,
MCG-01-09-045,,,,
MCG-01-13-025,0.0248,0.0084,,
MCG-01-24-012,0.1106,0.0111,,
MCG-01-30-041,,,,
MCG-01-33-063,,,,
MCG-01-40-001,,,,
MCG-02-02-095,,,,
MCG-02-08-014,0.0436,0.0077,,
MCG-02-08-038,,,,
MCG-02-12-050,,,,
MCG-02-14-009,,,,
MCG-03-04-072,,,,
MCG-03-34-064,0.5306,0.0654,,
MCG-05-23-016,0.7143,0.0714,1.4566,0.0516
MCG-06-30-015,0.3408,0.0629,,
MCG-07-03-007,,,,
MCG+00-09-042,,,,
MCG+01-57-016,,,,
MCG+02-21-013,,,,
MCG+02-57-002,,,,
MCG+04-22-042,,,,
MCG+04-48-002,,,,
MCG+05-03-013,,,,
MCG+05-28-032,,,,
MCG+06-16-028,,,,
MCG+06-24-008,,,,
MCG+06-49-019,,,,
MCG+08-11-011,,,,
MCG+11-11-032,,,,
MCG+12-10-067,,,,
Mrk10,,,,
Mrk1018,0.0529,0.0053,,
Mrk1210,,,,
Mrk1310,,,,
Mrk1392,,,,
Mrk18,,,,
Mrk198,,,,
Mrk202,,,,
Mrk279,,,,
Mrk290,,,,
Mrk3,0.4477,0.1204,,
Mrk335,,,,
Mrk348,,,,
Mrk352,,,,
Mrk359,,,,
Mrk417,,,,
Mrk477,,,,
Mrk50,,,,
Mrk509,0.2564,0.029,0.4627,0.0253
Mrk590,0.0982,0.0098,,
Mrk595,,,,
Mrk6,,,,
Mrk618,,,,
Mrk653,,,,
Mrk704,,,,
Mrk728,,,,
Mrk739E,,,,
Mrk766,,,,
Mrk79,,,,
Mrk817,,,,
Mrk841,0.1633,0.0476,,
Mrk885,,,,
Mrk926,0.1072,0.0268,,
Mrk975,,,,
NGC1052,0.1376,0.0219,0.3545,0.0298
NGC1106,,,,
NGC1125,,,,
NGC1194,0.2766,0.0277,,
NGC1365,0.3607,0.0361,,
NGC2110,0.3176,0.0467,0.5192,0.0279
NGC235A,0.0732,0.0338,,
NGC2655,,,,
NGC2885,,,,
NGC2992,0.1912,0.0685,0.5419,0.0205
NGC3035,,,,
NGC3079,,,,
NGC3081,0.1621,0.0413,0.353,0.1318
NGC3227,0.2005,0.0497,0.7718,0.0474
NGC3281,0.4864,0.0505,0.8704,0.0329
NGC3393,0.0672,0.0129,,
NGC3431,,,,
NGC3516,,,,
NGC3718,0.0224,0.0051,,
NGC3783,0.6822,0.0464,1.4495,0.1064
NGC3786,,,,
NGC4051,0.464,0.0475,,
NGC4102,,,,
NGC4138,0.021,0.003,,
NGC4151,1.2874,0.2344,,
NGC4180,,,,
NGC4235,0.036,0.0065,,
NGC424,0.7362,0.2229,,
NGC4388,0.1878,0.0328,0.7627,0.0255
NGC4507,0.6228,0.0643,,
NGC4619,,,,
NGC4748,,,,
NGC4939,,,,
NGC4941,0.0761,0.0087,0.232,0.0171
NGC4992,0.0803,0.0177,,
NGC5033,0.0159,0.0025,,
NGC5106,,,,
NGC513,,,,
NGC5231,,,,
NGC5252,0.0687,0.0069,,
NGC526A,0.2364,0.0293,,
NGC5273,0.0204,0.0049,,
NGC5290,,,,
NGC5506,0.8708,0.0656,1.6974,0.1434
NGC5548,0.1238,0.0775,,
NGC5610,,,,
NGC5674,,,,
NGC5683,,,,
NGC5728,0.0491,0.0071,0.1226,0.0338
NGC5899,,,,
NGC5995,0.3324,0.0468,,
NGC6221,0.1038,0.0211,0.1905,0.044
NGC6240,,,,
NGC6300,0.5536,0.1621,,
NGC6552,,,,
NGC6814,0.0956,0.0235,0.1502,0.015
NGC6860,0.2061,0.0241,0.3045,0.0141
NGC7172,0.185,0.0186,,
NGC7213,0.2033,0.0203,0.4031,0.0583
NGC7465,,,,
NGC7469,0.4852,0.0527,1.1738,0.1546
