Name,PAH 11.25,NeII,OIV,NeV_14,NeIII,NeV_24,NeII_SFR
1RXSJ044154.5-082639,,,,,,,
1RXSJ045205.0+493248,,,,,,,
2E1739.1-1210,,,,,,,
2MASSJ07594181-3843560,,,,,,,
2MASSJ17485512-3254521,,,,,,,
2MASXiJ1802473-145454,,,,,,,
2MASXJ00253292+6821442,,,,,,,
2MASXJ01064523+0638015,,,,,,,
2MASXJ01073963-1139117,,,,,,,
2MASXJ03305218+0538253,,,,,,,
2MASXJ03342453-1513402,,,,,,,
2MASXJ03502377-5018354,,,,,,,6.174030386
2MASXJ03534246+3714077,,,,,,,
2MASXJ03540948+0249307,,,,,,,
2MASXJ04234080+0408017,,,,,,,
2MASXJ04440903+2813003,,,,,,,
2MASXJ05020903+0331499,,,,,,,
2MASXJ05054575-2351139,,,,,,,2.394149509
2MASXJ05580206-3820043,0,3.20E-21,3.69E-21,1.89E-21,4.72E-21,3.80E-21,2.095680757
2MASXJ06411806+3249313,,,,,,,
2MASXJ06561197-4919499,,,,,,,
2MASXJ07262635-3554214,,,,,,,
2MASXJ07595347+2323241,,,,,,,19.92883679
2MASXJ08032736+0841523,,,,,,,
2MASXJ09023729-4813339,,,,,,,
2MASXJ09043699+5536025,,,,,,,1.464556421
2MASXJ09235371-3141305,,,,,,,
2MASXJ09254750+6927532,,,,,,,
2MASXJ09360622-6548336,,,,,,,
2MASXJ09594263-3112581,,,,,,,
2MASXJ10402231-4625264,,,,,,,
2MASXJ11454045-1827149,,,,,,,
2MASXJ12005792+0648226,,,,,,,16.81460084
2MASXJ12313717-4758019,,,,,,,
2MASXJ12335145-2103448,,,,,,,
2MASXJ12475784-5829599,,,,,,,
2MASXJ13411287-1438407,,,,,,,
2MASXJ13512953-1813468,,,,,,,
2MASXJ14080674-3023537,,,,,,,
2MASXJ14530794+2554327,,,,,,,
2MASXJ15064412+0351444,,,,,,,
2MASXJ15115979-2119015,,,,,,,
2MASXJ15462424+6929102,,,,,,,
2MASXJ16481523-3035037,,,,,,,
2MASXJ18570768-7828212,,,,,,,
2MASXJ19373299-0613046,,,,,,,
2MASXJ19380437-5109497,,,,,,,
2MASXJ20005575-1810274,,,,,,,
2MASXJ20101740+4800214,,,,,,,
2MASXJ20183871+4041003,,,,,,,
2MASXJ21090996-0940147,,,,,,,
2MASXJ21355399+4728217,,,,,,,
2MASXJ23272195+1524375,,,,,,,
2MFGC02280,,,,,,,
3C111.0,,,,,,,
3C120,0,9.19E-21,1.17E-19,1.72E-20,2.74E-20,2.76E-20,
4U1344-60,,,,,,,
6dFJ0626586-370559,,,,,,,
6dFJ2132022-334254,,,,,,,
Ark120,1.71E-20,3.47E-21,4.03E-21,<1.18e-21,4.33E-21,<1.29e-21,2.108896289
ARK241,,,,,,,
ARK347,,,,,,,
ARP102B,,,,,,,
ARP151,,,,,,,
AXJ1737.4-2907,,,,,,,
CenA,3.58E-19,1.93E-19,1.31E-19,2.32E-20,1.48E-19,2.99E-20,0.132092343
CGCG102-048,,,,,,,
CGCG122-055,,,,,,,
CGCG229-015,,,,,,,
CGCG300-062,,,,,,,
CGCG312-012,,,,,,,
CGCG319-007,,,,,,,
CGCG341-006,,,,,,,
CGCG367-009,,,,,,,
CGCG420-015,,,,,,,
CGCG468-002NED01,,,,,,,
CGCG493-002,,,,,,,
CGCG535-012,,,,,,,
ESO005-G004,6.94E-20,1.66E-20,4.49E-21,5.00E-22,5.29E-21,<0.49e-21,0.43473476
ESO031-G008,,,,,,,
ESO033-G002,1.36E-20,2.67E-21,1.39E-20,5.57E-21,8.34E-21,5.37E-21,
ESO103-035,0,3.09E-20,3.44E-20,1.59E-20,4.16E-20,1.03E-20,3.365486156
ESO121-IG028,,,,,,,
ESO137-34,,,,,,,
ESO139-G012,,,,,,,
ESO141-G055,,,,,,,
ESO157-G023,,,,,,,
ESO195-IG021NED03,,,,,,,
ESO197-G027,,,,,,,
ESO198-024,,,,,,,
ESO209-G012,,,,,,,
ESO244-IG030,,,,,,,
ESO263-G013,,,,,,,
ESO297-018,,,,,,,3.809986909
ESO323-077,1.80E-19,4.02E-20,2.51E-20,5.44E-21,1.81E-20,6.19E-21,8.129996858
ESO362-18,5.97E-20,9.94E-21,1.10E-20,3.15E-21,7.16E-21,2.75E-21,0.786335478
ESO374-G044,,,,,,,
ESO383-18,,,,,,,
ESO399-20,,,,,,,
ESO417-G006,2.02E-21,1.77E-21,4.04E-21,4.20E-22,2.54E-21,4.70E-22,
ESO426-G002,,,,,,,
ESO439-G009,,,,,,,
ESO464-G016,,,,,,,
ESO479-G031,,,,,,,
ESO490-IG026,,,,,,,
ESO499-G041,,,,,,,
ESO506-G027,,,,,,,1.803028319
ESO509-G038,,,,,,,
ESO509-IG066NED01,,,,,,,
ESO511-G030,,,,,,,
ESO533-G050,,,,,,,
ESO548-G081,,,,,,,0.974404806
ESO549-G049,,,,,,,22.42001535
ESO553-G022,,,,,,,
ESO553-G043,,,,,,,
ESO565-G019,,,,,,,
ESO578-G009,,,,,,,
Fairall1146,,,,,,,
Fairall272,,,,,,,
Fairall49,8.15E-20,3.96E-20,3.92E-20,2.55E-20,4.71E-20,1.27E-20,12.5485447
Fairall51,4.57E-20,1.14E-20,2.75E-20,7.83E-21,1.39E-20,7.95E-21,
Fairall9,0,2.91E-21,6.08E-21,<2.66e-21,5.31E-21,2.74E-21,
HB890241+622,,,,,,,
IC0486,1.32E-20,6.86E-21,1.12E-20,3.30E-21,6.79E-21,2.84E-21,1.80305732
IC1657,,,,,,,
IC1816,2.89E-20,1.84E-20,1.65E-20,6.21E-21,1.96E-20,4.34E-21,3.7968455
IC2461,,,,,,,
IC2637,,,,,,,
IC2921,,,,,,,
IC4329A,0,3.02E-20,1.04E-19,3.28E-20,6.53E-20,2.99E-20,
IC4518A,,,,,,,
IC4709,,,,,,,
IC5063,4.57E-20,2.82E-20,1.17E-19,3.60E-20,7.37E-20,2.59E-20,
IGRJ11366-6002,,,,,,,
IGRJ23308+7120,,,,,,,
IISZ010,,,,,,,
IIZw083,,,,,,,
IRAS03219+4031,,,,,,,
IRAS04124-0803,,,,,,,
IRAS05078+1626,,,,,,,
IRAS05218-1212,,,,,,,
IRAS05589+2828,,,,,,,
KAZ320,,,,,,,
KUG1141+371,,,,,,,
KUG1208+386,,,,,,,
LCRSB034324.7-394349,,,,,,,
LCRSB232242.2-384320,,,,,,,9.842874199
LEDA138501,,,,,,,
LEDA170194,,,,,,,
LEDA214543,,,,,,,
LEDA38038,,,,,,,
M106,,,,,,,
MCG-01-05-047,,,,,,,
MCG-01-09-045,,,,,,,
MCG-01-13-025,3.90E-21,2.87E-21,7.60E-22,<0.18e-21,1.90E-21,<1.44e-21,0.714576475
MCG-01-24-012,8.40E-21,6.74E-21,1.01E-20,2.90E-21,6.07E-21,2.30E-21,0.855256653
MCG-01-30-041,,,,,,,
MCG-01-33-063,,,,,,,
MCG-01-40-001,,,,,,,
MCG-02-02-095,,,,,,,
MCG-02-08-014,,,,,,,
MCG-02-08-038,,,,,,,
MCG-02-12-050,,,,,,,
MCG-02-14-009,,,,,,,
MCG-03-04-072,,,,,,,
MCG-03-34-064,5.35E-20,5.78E-20,1.11E-19,5.50E-20,1.20E-19,3.55E-20,6.815206251
MCG-05-23-016,1.33E-20,1.81E-20,2.80E-20,1.11E-20,1.70E-20,1.12E-20,0.224406679
MCG-06-30-015,4.50E-20,4.20E-21,2.35E-20,6.05E-21,6.62E-21,6.62E-21,
MCG-07-03-007,,,,,,,
MCG+00-09-042,,,,,,,
MCG+01-57-016,,,,,,,
MCG+02-21-013,,,,,,,
MCG+02-57-002,,,,,,,
MCG+04-22-042,,,,,,,
MCG+04-48-002,,,,,,,
MCG+05-03-013,,,,,,,
MCG+05-28-032,,,,,,,
MCG+06-16-028,,,,,,,
MCG+06-24-008,,,,,,,
MCG+06-49-019,,,,,,,
MCG+08-11-011,,,,,,,
MCG+11-11-032,,,,,,,
MCG+12-10-067,,,,,,,
Mrk10,,,,,,,
Mrk1018,,,,,,,
Mrk1210,,,,,,,
Mrk1310,,,,,,,
Mrk1392,,,,,,,
Mrk18,7.98E-20,1.70E-20,2.69E-21,7.80E-22,8.24E-21,<2.25e-21,2.3079053
Mrk198,,,,,,,
Mrk202,,,,,,,
Mrk279,,,,,,,
Mrk290,,,,,,,
