Name,N_H,N_H Ref,Upper_Limit
1RXSJ044154.5-082639,,,
1RXSJ045205.0+493248,,,
2E1739.1-1210,,,
2MASSJ07594181-3843560,,,
2MASSJ17485512-3254521,,,
2MASXiJ1802473-145454,,,
2MASXJ00253292+6821442,,,
2MASXJ01064523+0638015,,,
2MASXJ01073963-1139117,,,
2MASXJ03305218+0538253,,,
2MASXJ03342453-1513402,,,
2MASXJ03502377-5018354,23.2,B11,
2MASXJ03534246+3714077,,,
2MASXj03540948+0249307,,,
2MASXJ04234080+0408017,,,
2MASXJ04440903+2813003,,,
2MASXJ05020903+0331499,,,
2MASXJ05054575-2351139,22.7,B11,
2MASXJ05580206-3820043,22.2,B11,
2MASXJ06411806+3249313,,,
2MASXJ06561197-4919499,,,
2MASXJ07262635-3554214,,,
2MASXJ07595347+2323241,,,
2MASXJ08032736+0841523,,,
2MASXJ09023729-4813339,,,
2MASXJ09043699+5536025,21,B11,
2MASXJ09235371-3141305,,,
2MASXJ09254750+6927532,,,
2MASXJ09360622-6548336,,,
2MASXJ09594263-3112581,,,
2MASXJ10402231-4625264,,,
2MASXJ11454045-1827149,20.5,B11,
2MASXJ12005792+0648226,23.1,V13,
2MASXJ12313717-4758019,,,
2MASXJ12335145-2103448,,,
2MASXJ12475784-5829599,,,
2MASXJ13411287-1438407,,,
2MASXJ13512953-1813468,,,
2MASXJ14080674-3023537,21.2,B11,
2MASXJ14530794+2554327,22.02,V13,
2MASXJ15064412+0351444,22.33,V13,
2MASXJ15115979-2119015,,,
2MASXJ15462424+6929102,,,
2MASXJ16481523-3035037,,,
2MASXJ18570768-7828212,20,B11,
2MASXJ19373299-0613046,,,
2MASXJ19380437-5109497,,,
2MASXJ20005575-1810274,,,
2MASXJ20101740+4800214,,,
2MASXJ20183871+4041003,,,
2MASXJ21090996-0940147,,,
2MASXJ21355399+4728217,,,
2MASXJ23272195+1524375,,,
2MFGC02280,,,
3C111.0,,,
3C120,21.2,B11,
4U1344-60,,,
6dFJ0626586-370559,,,
6dFJ2132022-334254,20,B11,
Ark120,20,B11,
ARK241,20,B11,
ARK347,23.66,V13,
ARP102B,,,
ARP151,21.73,V13,
AXJ1737.4-2907,,,
CenA,22.7,B11,
CGCG102-048,,,
CGCG122-055,,,
CGCG229-015,,,
CGCG300-062,,,
CGCG312-012,,,
CGCG319-007,,,
CGCG341-006,,,
CGCG367-009,,,
CGCG420-015,24.2,B11,
CGCG468-002NED01,,,
CGCG493-002,20,B11,
CGCG535-012,,,
ESO005-G004,24,B11,
ESO031-G008,,,
ESO033-G002,22.1,B11,
ESO103-035,23.2,B11,
ESO121-IG028,23.4,B11,
ESO137-34,,,
ESO139-G012,,,
ESO141-G055,20,B11,
ESO157-G023,,,
ESO195-IG021NED03,,,
ESO197-G027,,,
ESO198-024,21,B11,
ESO209-G012,,,
ESO244-IG030,,,
ESO263-G013,,,
ESO297-018,23.8,B11,
ESO323-077,22.7,B11,
ESO362-18,21.2,B11,
ESO374-G044,,,
ESO383-18,,,
ESO399-20,,,
ESO417-G006,22.9,B11,
ESO426-G002,23.9,B11,
ESO439-G009,,,
ESO464-G016,,,
ESO479-G031,,,
ESO490-IG026,,,
ESO499-G041,21.4,B11,
ESO506-G027,23.6,B11,
ESO509-G038,20,B11,
ESO509-IG066NED01,,,
ESO511-G030,21.2,B11,
ESO533-G050,,,
ESO548-G081,20.5,B11,
ESO549-G049,22.4,B11,
ESO553-G022,,,
ESO553-G043,,,
ESO565-G019,,,
ESO578-G009,,,
Fairall1146,,,
Fairall272,23.5,B11,
Fairall49,22.3,B11,
Fairall51,22.4,B11,
Fairall9,20.4,B11,
HB890241+622,,,
IC0486,22.2,B11,
IC1657,,,
IC1816,23.9,B11,
IC2461,,,
IC2637,19,V13,
IC2921,21.85,V13,
IC4329A,21.6,B11,
IC4518A,,,
IC4709,23.1,B11,
IC5063,23.3,B11,
IGRJ11366-6002,,,
IGRJ23308+7120,,,
IISZ010,20.52,V13,1
IIZw083,,,
IRAS03219+4031,,,
IRAS04124-0803,23.5,B11,
IRAS05078+1626,,,
IRAS05218-1212,21.2,B11,
IRAS05589+2828,,,
KAZ320,20,B11,
KUG1141+371,23.16,V13,
KUG1208+386,23.16,V13,
LCRSB034324.7-394349,,,
LCRSB232242.2-384320,,,
LEDA138501,,,
LEDA170194,22.5,B11,
LEDA214543,,,
LEDA38038,,,
M106,23.26,V13,
MCG-01-05-047,22.9,B11,
MCG-01-09-045,,,
MCG-01-13-025,,,
MCG-01-24-012,22.8,B11,
MCG-01-30-041,24.16,V13,
MCG-01-33-063,,,
MCG-01-40-001,,,
MCG-02-02-095,,,
MCG-02-08-014,23.1,B11,
MCG-02-08-038,,,
MCG-02-12-050,20,B11,
MCG-02-14-009,,,
MCG-03-04-072,20,B11,
MCG-03-34-064,23.6,B11,
MCG-05-23-016,22.2,B11,
MCG-06-30-015,21.7,B11,
MCG-07-03-007,,,
MCG+00-09-042,,,
MCG+01-57-016,,,
MCG+02-21-013,,,
MCG+02-57-002,,,
MCG+04-22-042,20.6,B11,
MCG+04-48-002,,,
MCG+05-03-013,,,
MCG+05-28-032,22.7,V13,
MCG+06-16-028,,,
MCG+06-24-008,23.81,V13,
MCG+06-49-019,,,
MCG+08-11-011,,,
MCG+11-11-032,,,
MCG+12-10-067,23.3,B11,
Mrk10,,,
Mrk1018,20.5,B11,
Mrk1210,23.5,B11,
Mrk1310,24.23,V13,
Mrk1392,23.56,V13,
Mrk18,,,
Mrk198,23,V13,
Mrk202,23.8,V13,
Mrk279,20.5,B11,
Mrk290,20.4,B11,
Mrk3,24,B11,
Mrk335,22.6,B11,
Mrk348,23.3,B11,
Mrk352,21,B11,
Mrk359,,,
Mrk417,24.08,V13,
Mrk477,23.8,V13,
Mrk50,19,V13,
Mrk509,20.7,B11,
Mrk590,20.4,B11,
Mrk595,,,
Mrk6,23,B11,
Mrk618,,,
Mrk653,,,
Mrk704,21.5,B11,
Mrk728,19,V13,
Mrk739E,21.05,V13,
Mrk766,20.45,V13,
Mrk79,20.8,B11,
Mrk817,20.12,V13,1
Mrk841,19,V13,
Mrk885,,,
Mrk926,21.1,B11,
Mrk975,,,
NGC1052,20.5,B11,
NGC1106,,,
NGC1125,,,
NGC1194,,,
NGC1365,23.6,B11,
NGC2110,22.6,B11,
NGC235A,23,B11,
NGC2655,,,
NGC2885,,,
NGC2992,22,B11,
NGC3035,,,
NGC3079,24.7,B11,
NGC3081,23.5,B11,
NGC3227,23.02,V13,
NGC3281,23.9,B11,
NGC3393,24.7,B11,
NGC3431,,,
NGC3516,21.2,B11,
NGC3718,,,
NGC3783,22.5,B11,
NGC3786,22.59,V13,
NGC4051,19,V13,
NGC4102,24.51,V13,
NGC4138,23.12,V13,
NGC4151,23.23,V13,
NGC4180,,,
NGC4235,21.47,V13,
NGC424,24.3,B11,
NGC4388,23.81,V13,
NGC4507,23.5,B11,
NGC4619,21.01,V13,
NGC4748,,,
NGC4939,23.81,V13,
NGC4941,24.12,V13,
NGC4992,24,V13,
NGC5033,20.08,V13,1
NGC5106,24.13,V13,
NGC513,,,
NGC5231,22.57,V13,
NGC5252,22.72,V13,
NGC526A,22.3,B11,
NGC5273,19,V13,
NGC5290,22.05,V13,
NGC5506,22.63,V13,
NGC5548,19,V13,
NGC5610,22.89,V13,
NGC5674,23.05,V13,
NGC5683,22.56,V13,
NGC5728,24.3,B11,
NGC5899,23.24,V13,
NGC5995,22,B11,
NGC6221,,,
NGC6240,24.3,B11,
NGC6300,,,
NGC6552,,,
NGC6814,20.8,B11,
NGC6860,21.8,B11,
NGC7172,22.9,B11,
NGC7213,20.6,B11,
NGC7465,,,
NGC7469,20.6,B11,
NGC7479,23.6,B11,
NGC7582,24.1,B11,
NGC7603,20,B11,
NGC7679,,,
NGC788,23.5,B11,
NGC931,21.6,B11,
NGC985,21.6,B11,
PG2304+042,,,
PICTORA,21,B11,
PKS2331-240,,,
SBS0915+556,,,
SBS1301+540,23.66,V13,
SDSSJ104326.47+110524.2,20.82,V13,
SWIFTJ212745.6+565636,,,
UGC01479,,,
UGC03142,,,
UGC03478,,,
UGC03601,21.3,B11,
UGC03995A,,,
UGC05881,24.39,V13,
UGC06728,,,
UGC07064,23,V13,
UGC08327NED02,23.16,V13,
UGC10593,,,
UGC11185NED02,,,
UGC12237,,,
UGC12282,23.9,B11,
UGC12741,23.7,B11,
UM614,21.11,V13,
VIIZw073,,,
WKK1263,,,
WKK4374,,,
WKK4438,,,
WKK6092,,,
WKK6471,,,
