Name,Flux_OIII
1RXSJ044154.5-082639,
1RXSJ045205.0+493248,
2E1739.1-1210,
2MASSJ07594181-3843560,
2MASSJ17485512-3254521,
2MASXiJ1802473-145454,
2MASXJ00253292+6821442,1228.256336
2MASXJ01064523+0638015,92.18403855
2MASXJ01073963-1139117,68.67626782
2MASXJ03305218+0538253,587.0666579
2MASXJ03342453-1513402,51.73681551
2MASXJ03502377-5018354,-9.39262227
2MASXJ03534246+3714077,82.90455241
2MASXj03540948+0249307,85.90862368
2MASXJ04234080+0408017,98.88328944
2MASXJ04440903+2813003,
2MASXJ05020903+0331499,
2MASXJ05054575-2351139,77.74220982
2MASXJ05580206-3820043,53.08040886
2MASXJ06411806+3249313,
2MASXJ06561197-4919499,85.90862368
2MASXJ07262635-3554214,
2MASXJ07595347+2323241,14.54176947
2MASXJ08032736+0841523,42.31790816
2MASXJ09023729-4813339,
2MASXJ09043699+5536025,24.81615634
2MASXJ09235371-3141305,4.879377962
2MASXJ09254750+6927532,
2MASXJ09360622-6548336,46.24349468
2MASXJ09594263-3112581,
2MASXJ10402231-4625264,63.67003795
2MASXJ11454045-1827149,434.0775773
2MASXJ12005792+0648226,12.5211875
2MASXJ12313717-4758019,151.2815314
2MASXJ12335145-2103448,
2MASXJ12475784-5829599,
2MASXJ13411287-1438407,
2MASXJ13512953-1813468,33.72630489
2MASXJ14080674-3023537,82.6376958
2MASXJ14530794+2554327,15.45498639
2MASXJ15064412+0351444,15.60224047
2MASXJ15115979-2119015,260.8948394
2MASXJ15462424+6929102,213.8606836
2MASXJ16481523-3035037,-13.15016919
2MASXJ18570768-7828212,
2MASXJ19373299-0613046,506.5132422
2MASXJ19380437-5109497,15.60224047
2MASXJ20005575-1810274,41.00999265
2MASXJ20101740+4800214,100.133557
2MASXJ20183871+4041003,
2MASXJ21090996-0940147,160.1251773
2MASXJ21355399+4728217,
2MASXJ23272195+1524375,28.23998176
2MFGC02280,
3C111.0,4.09405543
3C120,
4U1344-60,
6dFJ0626586-370559,35.72514151
6dFJ2132022-334254,
Ark120,296.8198296
ARK241,63.01454899
ARK347,132.4102845
ARP102B,28.50674575
ARP151,42.37754336
AXJ1737.4-2907,
CenA,9.97243558
CGCG102-048,4.053508528
CGCG122-055,36.78109857
CGCG229-015,
CGCG300-062,
CGCG312-012,21.23842264
CGCG319-007,
CGCG341-006,
CGCG367-009,286.3255014
CGCG420-015,513.5234037
CGCG468-002NED01,88.27719686
CGCG493-002,
CGCG535-012,
ESO005-G004,-6.376744061
ESO031-G008,15.86333937
ESO033-G002,66.86639541
ESO103-035,76.99484645
ESO121-IG028,19.2266628
ESO137-34,41158.54559
ESO139-G012,
ESO141-G055,125.9122798
ESO157-G023,23.37089819
ESO195-IG021NED03,86.20643418
ESO197-G027,28.27035485
ESO198-024,-19.05957606
ESO209-G012,
ESO244-IG030,6.632466311
ESO263-G013,318.8837866
ESO297-018,47.34712131
ESO323-077,105.9234864
ESO362-18,97.87987506
ESO374-G044,226.5717333
ESO383-18,480.0704506
ESO399-20,19.12210499
ESO417-G006,40.77253548
ESO426-G002,81.09651981
ESO439-G009,
ESO464-G016,
ESO479-G031,
ESO490-IG026,
ESO499-G041,76.45186445
ESO506-G027,40.02632965
ESO509-G038,195.0645165
ESO509-IG066NED01,341.6191151
ESO511-G030,15.21153673
ESO533-G050,33.86129026
ESO548-G081,206.168631
ESO549-G049,37.09059307
ESO553-G022,58.94210343
ESO553-G043,85.45317716
ESO565-G019,
ESO578-G009,61.95659298
Fairall1146,
Fairall272,29.22427045
Fairall49,267.0864134
Fairall51,162.3135561
Fairall9,121.835985
HB890241+622,
IC0486,55.02133211
IC1657,24.40652346
IC1816,86.30997845
IC2461,4.511437099
IC2637,31.18397018
IC2921,16.82115492
IC4329A,181.3312115
IC4518A,
IC4709,181.3312115
IC5063,2698.214527
IGRJ11366-6002,
IGRJ23308+7120,
IISZ010,196.9587578
IIZw083,
IRAS03219+4031,
IRAS04124-0803,850.9084608
IRAS05078+1626,135.4742847
IRAS05218-1212,410.6717572
IRAS05589+2828,1261.281933
KAZ320,104.6951133
KUG1141+371,24.98882779
KUG1208+386,68.4468928
LCRSB034324.7-394349,1.258481117
LCRSB232242.2-384320,-11.91627008
LEDA138501,
LEDA170194,559.4593512
LEDA214543,275.1133588
LEDA38038,121.3318312
M106,179.2004244
MCG-01-05-047,13.19231495
MCG-01-09-045,8.50686174
MCG-01-13-025,22.45792076
MCG-01-24-012,49.38406916
MCG-01-30-041,
MCG-01-33-063,
MCG-01-40-001,3229.203668
MCG-02-02-095,10.64267369
MCG-02-08-014,3.72913347
MCG-02-08-038,183.6202533
MCG-02-12-050,37.53619201
MCG-02-14-009,100.8100313
MCG-03-04-072,
MCG-03-34-064,1055.844561
MCG-05-23-016,108.9899438
MCG-06-30-015,45.23875799
MCG-07-03-007,107.739171
MCG+00-09-042,2.186869402
MCG+01-57-016,423.3389214
MCG+02-21-013,2.355260007
MCG+02-57-002,215.7549449
MCG+04-22-042,140.1385532
MCG+04-48-002,4.212904251
MCG+05-03-013,
MCG+05-28-032,
MCG+06-16-028,80.72520892
MCG+06-24-008,4.988683121
MCG+06-49-019,
MCG+08-11-011,1723.406334
MCG+11-11-032,7.345871165
MCG+12-10-067,10.16244908
Mrk10,176.6403728
Mrk1018,35.46045034
Mrk1210,852.7333429
Mrk1310,99.72169873
Mrk1392,208.7934049
Mrk18,35.11776039
Mrk198,111.1660887
Mrk202,
Mrk279,224.9218764
Mrk290,193.6386938
Mrk3,6787.974252
Mrk335,209.6579911
Mrk348,485.7666127
Mrk352,36.66309343
Mrk359,127.5433432
Mrk417,75.86854824
Mrk477,798.3252757
Mrk50,16.04356651
Mrk509,508.3813177
Mrk590,113.6396869
Mrk595,
Mrk6,974.8071588
Mrk618,222.2761193
Mrk653,5.61380137
Mrk704,213.631726
Mrk728,48.34205455
Mrk739E,24.8587816
Mrk766,520.3753134
Mrk79,467.922342
Mrk817,129.7911682
Mrk841,140.541315
Mrk885,
Mrk926,261.9829463
Mrk975,52.93428267
NGC1052,441.7847781
NGC1106,
NGC1125,38.32765411
NGC1194,28.52968427
NGC1365,238.60558
NGC2110,2653.178692
NGC235A,118.5161283
NGC2655,-3.941532358
NGC2885,22.33466745
NGC2992,178.0733825
NGC3035,84.74274193
NGC3079,-9.439902487
NGC3081,559.3336997
NGC3227,892.0658783
NGC3281,108.7929238
NGC3393,2477.514295
NGC3431,21.11250199
NGC3516,238.3311146
NGC3718,6.339065839
NGC3783,1394.526417
NGC3786,66.02373597
NGC4051,314.1689908
NGC4102,34.95721232
NGC4138,44.44066724
NGC4151,10401.84268
NGC4180,
NGC4235,21.1407793
NGC424,259.1572113
NGC4388,929.8957267
NGC4507,2902.125313
NGC4619,5.007234546
NGC4748,508.7875772
NGC4939,479.4742933
NGC4941,294.6909955
NGC4992,4.971958541
NGC5033,38.80081374
NGC5106,
NGC513,71.92101189
NGC5231,19.17498008
NGC5252,94.54566794
NGC526A,590.962496
NGC5273,91.31267752
NGC5290,4.434425445
NGC5506,441.4043978
NGC5548,444.2496026
NGC5610,6.437781534
NGC5674,83.63252504
NGC5683,38.71008033
NGC5728,1178.799794
NGC5899,138.6582893
NGC5995,48.93228248
NGC6221,
NGC6240,30.66052676
NGC6300,36.51210789
NGC6552,
NGC6814,211.6306797
NGC6860,42.29826451
NGC7172,21.85272707
NGC7213,-33.87308346
NGC7465,
NGC7469,968.7663171
NGC7479,9.026588673
NGC7582,180.8356975
NGC7603,352.7169423
NGC7679,458.4269964
NGC788,365.4721727
NGC931,217.6620976
NGC985,190.5461976
PG2304+042,
PICTORA,34.42221599
PKS2331-240,
SBS0915+556,232.0979427
SBS1301+540,
SDSSJ104326.47+110524.2,85.85458415
SWIFTJ212745.6+565636,
UGC01479,
UGC03142,
UGC03478,
UGC03601,291.4114866
UGC03995A,
UGC05881,24.58943201
UGC06728,
UGC07064,123.2501614
UGC08327NED02,30.14770097
UGC10593,
UGC11185NED02,122.5568602
UGC12237,
UGC12282,19.84381389
UGC12741,13.81658797
UM614,111.0569082
VIIZw073,161.827312
WKK1263,
WKK4374,
WKK4438,
WKK6092,87.92108834
WKK6471,25.45510246
