Name,P857,P857_err,P545,P545_err,P353,P353_err,P217,P217_err,P143,P143_err,P100,P100_err,P70,P70_err,P44,P44_err,P30,P30_err
1RXSJ044154.5-082639,,,,,,,,,,,,,,,,,,
1RXSJ045205.0+493248,,,,,,,,,,,,,,,,,,
2E1739.1-1210,,,,,,,,,,,,,,,,,,
2MASSJ07594181-3843560,,,,,,,,,,,,,,,,,,
2MASSJ17485512-3254521,,,,,,,,,,,,,,,,,,
2MASXiJ1802473-145454,,,,,,,,,,,,,,,,,,
2MASXJ00253292+6821442,,,,,,,,,,,,,,,,,,
2MASXJ01064523+0638015,,,,,,,,,,,,,,,,,,
2MASXJ01073963-1139117,,,,,,,,,,,,,,,,,,
2MASXJ03305218+0538253,,,,,,,,,,,,,,,,,,
2MASXJ03342453-1513402,,,,,,,,,,,,,,,,,,
2MASXJ03502377-5018354,,,,,,,,,,,,,,,,,,
2MASXJ03534246+3714077,,,,,,,,,,,,,,,,,,
2MASXj03540948+0249307,,,,,,,,,,,,,,,,,,
2MASXJ04234080+0408017,,,,,,,,,,,,,,,,,,
2MASXJ04440903+2813003,,,,,,,,,,,,,,,,,,
2MASXJ05020903+0331499,,,,,,,,,,,,,,,,,,
2MASXJ05054575-2351139,,,,,,,,,,,,,,,,,,
2MASXJ05580206-3820043,,,,,,,,,,,,,,,,,,
2MASXJ06411806+3249313,,,,,,,,,,,,,,,,,,
2MASXJ06561197-4919499,,,,,,,,,,,,,,,,,,
2MASXJ07262635-3554214,,,,,,,,,,,,,,,,,,
2MASXJ07595347+2323241,1160.28,558.707,,,,,,,,,,,,,,,,
2MASXJ08032736+0841523,,,,,,,,,,,,,,,,,,
2MASXJ09023729-4813339,,,,,,,,,,,,,,,,,,
2MASXJ09043699+5536025,,,,,,,,,,,,,,,,,,
2MASXJ09235371-3141305,,,,,,,,,,,,,,,,,,
2MASXJ09254750+6927532,,,,,,,,,,,,,,,,,,
2MASXJ09360622-6548336,,,,,,,,,,,,,,,,,,
2MASXJ09594263-3112581,,,,,,,,,,,,,,,,,,
2MASXJ10402231-4625264,,,,,,,,,,,,,,,,,,
2MASXJ11454045-1827149,,,,,,,,,,,,,,,,,,
2MASXJ12005792+0648226,,,,,,,,,,,,,,,,,,
2MASXJ12313717-4758019,,,,,,,,,,,,,,,,,,
2MASXJ12335145-2103448,,,,,,,,,,,,,,,,,,
2MASXJ12475784-5829599,,,,,,,,,,,,,,,,,,
2MASXJ13411287-1438407,,,,,,,,,,,,,,,,,,
2MASXJ13512953-1813468,,,,,,,,,,,,,,,,,,
2MASXJ14080674-3023537,,,,,,,,,,,,,,,,,,
2MASXJ14530794+2554327,,,,,,,,,,,,,,,,,,
2MASXJ15064412+0351444,,,,,,,,,,,,,,,,,,
2MASXJ15115979-2119015,,,,,,,,,,,,,,,,,,
2MASXJ15462424+6929102,,,,,,,,,,,,,,,,,,
2MASXJ16481523-3035037,,,,,,,,,,,,,,,,,,
2MASXJ18570768-7828212,,,,,,,,,,,,,,,,,,
2MASXJ19373299-0613046,,,,,,,,,,,,,,,,,,
2MASXJ19380437-5109497,,,,,,,,,,,,,,,,,,
2MASXJ20005575-1810274,,,,,,,,,,,,,,,,,,
2MASXJ20101740+4800214,,,,,,,,,,,,,,,,,,
2MASXJ20183871+4041003,,,,,,,,,,,,,,,,,,
2MASXJ21090996-0940147,,,,,,,,,,,,,,,,,,
2MASXJ21355399+4728217,,,,,,,,,,,,,,,,,,
2MASXJ23272195+1524375,,,,,,,272.067,87.1301,302.145,93.1698,,,,,,,,
2MFGC02280,,,,,,,,,,,,,,,,,,
3C111.0,,,,,,,2471.36,299.129,2125.98,353.913,2472.23,407.727,2678.49,291.781,4243.27,594.643,4953.06,495.681
3C120,,,,,1200.89,165.773,1229.94,126.038,1351.09,167.895,1514.71,166.611,1592.82,221.677,1583.08,556.424,1927.58,374.375
4U1344-60,,,,,,,,,,,,,,,,,,
6dFJ0626586-370559,,,,,,,,,,,,,,,,,,
6dFJ2132022-334254,,,,,,,,,,,,,,,,,,
Ark120,,,,,,,,,,,,,,,,,,
ARK241,,,,,,,,,,,,,,,,,,
ARK347,,,,,,,,,,,,,,,,,,
ARP102B,,,,,,,196.267,53.6493,291.607,117.662,395.273,146.261,,,,,,
ARP151,,,,,,,,,,,,,,,,,,
AXJ1737.4-2907,,,,,,,,,,,,,,,,,,
CenA,121515,1821.92,42931.8,649.601,19775.5,364.022,16439.6,259.895,18123.1,207.009,23010,271.766,28052.3,547.888,37859.2,1207.79,52659.4,1396.63
CGCG102-048,,,,,,,,,,,,,,,,,,
CGCG122-055,,,,,,,,,,,,,,,,,,
CGCG229-015,,,,,,,,,,,,,,,,,,
CGCG300-062,,,,,,,,,,,,,,,,,,
CGCG312-012,,,,,,,,,,,,,,,,,,
CGCG319-007,,,,,,,,,,,,,,,,,,
CGCG341-006,,,,,,,,,,,,,,,,,,
CGCG367-009,,,,,,,,,,,,,,,,,,
CGCG420-015,,,,,,,,,,,,,,,,,,
CGCG468-002NED01,,,,,,,,,,,,,,,,,,
CGCG493-002,,,,,,,,,,,,,,,,,,
CGCG535-012,,,,,,,,,,,,,,,,,,
ESO005-G004,5922.4,904.063,1644.84,385.397,325.542,136.806,,,,,,,,,,,,
ESO031-G008,,,,,,,,,,,,,,,,,,
ESO033-G002,,,,,,,,,,,,,,,,,,
ESO103-035,,,,,,,,,,,,,,,,,,
ESO121-IG028,,,,,,,,,,,,,,,,,,
ESO137-34,,,,,,,,,,,,,,,,,,
ESO139-G012,,,,,,,,,,,,,,,,,,
ESO141-G055,,,,,,,,,,,,,,,,,,
ESO157-G023,,,,,,,,,,,,,,,,,,
ESO195-IG021NED03,,,,,,,,,,,,,,,,,,
ESO197-G027,,,,,,,,,,,,,,,,,,
ESO198-024,,,,,,,,,,,,,,,,,,
ESO209-G012,,,,,,,,,,,,,,,,,,
ESO244-IG030,,,,,,,,,,,,,,,,,,
ESO263-G013,,,,,,,,,,,,,,,,,,
ESO297-018,,,,,,,,,,,,,,,,,,
ESO323-077,,,,,,,,,,,,,,,,,,
ESO362-18,,,,,,,,,,,,,,,,,,
ESO374-G044,,,,,,,,,,,,,,,,,,
ESO383-18,,,,,,,,,,,,,,,,,,
ESO399-20,,,,,,,,,,,,,,,,,,
ESO417-G006,,,,,,,,,,,,,,,,,,
ESO426-G002,,,,,,,,,,,,,,,,,,
ESO439-G009,,,,,,,,,,,,,,,,,,
ESO464-G016,,,,,,,,,,,,,,,,,,
ESO479-G031,,,,,,,,,,,,,,,,,,
ESO490-IG026,,,,,,,,,,,,,,,,,,
ESO499-G041,,,,,,,,,,,,,,,,,,
ESO506-G027,,,,,,,,,,,,,,,,,,
ESO509-G038,,,,,,,,,,,,,,,,,,
ESO509-IG066NED01,,,,,,,,,,,,,,,,,,
ESO511-G030,,,,,,,,,,,,,,,,,,
ESO533-G050,,,,,,,,,,,,,,,,,,
ESO548-G081,,,,,,,,,,,,,,,,,,
ESO549-G049,734.992,183.609,,,,,,,,,,,,,,,,
ESO553-G022,,,,,,,,,,,,,,,,,,
ESO553-G043,,,,,,,,,,,,,,,,,,
ESO565-G019,,,,,,,,,,,,,,,,,,
ESO578-G009,,,,,,,,,,,,,,,,,,
Fairall1146,,,,,,,,,,,,,,,,,,
Fairall272,,,,,,,,,,,,,,,,,,
Fairall49,,,,,,,,,,,,,,,,,,
Fairall51,,,,,,,,,,,,,,,,,,
Fairall9,,,,,,,,,,,,,,,,,,
HB890241+622,,,,,,,,,623.689,170.32,795.04,233.236,,,,,,
IC0486,,,,,,,,,,,,,,,,,,
IC1657,,,,,,,,,,,,,,,,,,
IC1816,,,,,,,,,,,,,,,,,,
IC2461,1103.71,191.672,506.048,156.737,,,,,,,,,,,,,,
IC2637,,,,,,,,,,,,,,,,,,
IC2921,,,,,,,,,,,,,,,,,,
IC4329A,,,,,,,,,,,,,,,,,,
IC4518A,,,,,,,,,,,,,,,,,,
IC4709,,,,,,,,,,,,,,,,,,
IC5063,,,,,,,,,,,,,,,,,,
IGRJ11366-6002,,,,,,,,,,,,,,,,,,
IGRJ23308+7120,,,,,,,,,,,,,,,,,,
IISZ010,,,,,,,,,,,,,,,,,,
IIZw083,,,,,,,,,,,,,,,,,,
IRAS03219+4031,,,,,,,,,,,,,,,,,,
