Name,_r,_RAJ2000,_DEJ2000,RA2000,DE2000,GLON,GLAT,SGLON,SGLAT,name,altname,desig,PGC,type,typesr,T,e_T,lumcl,e_lumcl,o_lumcl,D25,u_D25,e_D25,R25,u_R25,e_R25,Do,Ae,e_Ae,PA,BT,BT_code,e_BT,Bmag,e_Bmag,BoT,m'25,e_m'25,m'e,e_m'e,mFIR,m21,e_m21,B-VT,e_B-VT,B-Ve,e_B-Ve,B-VoT,U-BT,e_U-BT,U-Be,e_U-Be,U-BoT,HI,Ai,A21,Ag,W20,e_W20,W50,e_W50,V21,e_V21,cz,e_cz,VGSR,V3K
3C120,0.082,68.2952,5.3553,43310.8,52119,190.37,-27.4,324.63,-49.06,A0430+05,UGC3087,2ZW14,PGC15504,.L...*.,U,-2.0,1.3,,,,0.9,,0.09,0.13,,0.03,0.95,,,130.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.61,,,,,,,9910.0,19.0,9862.0,9838.0
Ark120,0.032,79.0477,-0.1494,51611.4,-858,201.69,-21.13,326.68,-61.07,,UGC3271,MK1095,PGC17013,.S?....,,,,,,,1.04,,0.06,0.13,,0.05,1.08,,,175.0,14.1,v,0.2,14.35,0.18,13.48,13.81,0.4,9.2,0.15,13.56,,,0.47,0.03,0.43,0.03,0.28,-0.75,0.03,-0.78,0.03,-0.89,,0.18,0.07,0.43,,,,,,,9929.0,28.0,9839.0,9927.0
ARP102B,0.02,259.8109,48.9803,171914.5,485849,75.48,34.94,51.73,51.42,A1718+49A,MCG8-31-41,,PGC60067,.E.0...,R,-5.0,0.5,,,,0.95,,0.1,0.1,,0.04,0.93,,,,,,,15.12,0.16,14.94,,,,,,,,,,,,,,,,,,,0.0,,0.07,,,,,,,7245.0,34.0,7435.0,7216.0
ARP151,0.049,171.4019,54.3823,112536.4,542256,147.03,58.55,59.04,0.39,A1122+54,MCG9-19-73,MK40,PGC35129,.L...P.,R,-2.0,0.6,,,,1.12,,0.12,0.91,,0.07,0.98,,,,,,,,,,,,,,,15.65,0.3,,,,,,,,,,,,0.0,,0.0,,,,,6323.0,10.0,6198.0,19.0,6361.0,6472.0
CGCG535-012,0.022,9.0874,45.6647,3620.9,453953,120.17,-17.13,340.47,14.39,,CGCG535-12,,PGC2172,,,,,,,,,,,,,,,,,,,,,15.46,0.23,14.92,,,,,,,,,,,,,,,,,,,,,0.32,,,,,,,14524.0,82.0,14709.0,14262.0
ESO005-G004,0.036,91.415,-86.6316,60539.9,-863754,299.2,-27.75,207.21,-19.0,,ESO5-4,IRAS06220-8636,PGC18394,.S..3*/,S,3.3,0.6,,,,1.58,,0.03,0.66,,0.05,1.64,,,93.0,,,,13.53,0.21,,,,,,10.74,,,,,,,,,,,,,,0.91,0.33,0.68,,,,,,,,,,
ESO103-035,0.048,279.5851,-65.4283,183820.3,-652542,329.78,-23.18,204.7,8.8,,ESO103-35,IRAS18333-6528,PGC62174,.L?....,,,,,,,1.04,,0.07,0.44,,0.05,1.01,,,44.0,,,,14.7,0.21,14.32,,,,,12.62,,,,,,,,,,,,,,0.0,,0.32,,,,,,,3983.0,34.0,3880.0,3965.0
ESO121-IG028,0.156,95.9422,-60.9767,62346.1,-605836,270.28,-26.79,211.74,-44.38,,ESO121-28,,PGC18950,,,,,,,,0.94,,0.07,0.1,,0.06,0.96,,,11.0,,,,15.16,0.21,14.83,,,,,,,,,,,,,,,,,,,,,0.15,,,,,,,12271.0,54.0,12061.0,12353.0
ESO137-34,0.119,248.8096,-58.0781,163514.2,-580441,329.13,-7.1,188.5,10.8,,ESO137-34,IRAS16309-5758,PGC58547,.SXS0?.,S,0.0,1.2,,,,1.16,,0.07,0.12,,0.05,1.41,,,10.0,,,,12.21,0.21,9.35,,,,,,,,,,,,,,,,,,,0.09,,2.73,,,,,,,2620.0,60.0,2509.0,2686.0
ESO139-G012,0.078,264.4151,-59.9414,173739.5,-595629,332.35,-14.69,196.66,12.74,,ESO139-12,IRAS17331-5954,PGC60594,PSAT4P*,Sr,4.2,0.7,,,,1.2,,0.05,0.11,,0.05,1.23,,,35.0,,,,13.59,0.21,13.06,,,,,13.41,,,,,,,,,,,,,,0.16,0.06,0.34,,,,,,,5200.0,60.0,5102.0,5216.0
ESO141-G055,0.047,290.3101,-58.6708,192114.3,-584015,338.18,-26.71,209.98,15.42,,ESO141-55,IRAS19169-5845,PGC63109,.S?....,,,,,,,0.96,,0.06,0.16,,0.06,0.98,,,50.0,,,,14.32,0.21,13.7,,,,,,,,,,,,,,,,,,,0.24,0.08,0.21,,,,,,,11129.0,60.0,11056.0,11065.0
ESO157-G023,0.061,65.5989,-56.2261,42223.7,-561334,265.89,-42.73,233.18,-40.23,,ESO157-23,FAIR302,PGC14980,PSBS4..,r,4.5,0.9,,,,1.01,,0.06,0.22,,0.05,1.01,,,138.0,,,,14.97,0.21,14.56,,,,,,,,,,,,,,,,,,,0.33,0.11,0.0,,,,,,,13050.0,190.0,12875.0,13033.0
ESO244-IG030,0.188,22.4657,-42.3238,12951.7,-421926,278.12,-72.9,256.24,-16.87,,ESO244-30,IRAS01276-4235,PGC5584,.P.....,S,99.0,,,,,1.05,,0.05,0.34,,0.04,1.06,,,44.0,14.6,,0.2,14.76,0.21,,,,,,12.88,,,0.65,0.08,,,,0.02,0.09,,,,,0.51,0.17,0.03,,,,,,,7572.0,63.0,7498.0,7375.0
ESO263-G013,0.205,152.4548,-42.8131,100949.1,-424847,273.98,10.79,159.96,-40.55,,ESO263-13,FAIR427,PGC29565,.SXT3..,S,3.0,0.8,,,,1.09,,0.05,0.11,,0.05,1.16,,,14.0,,,,14.89,0.21,13.97,,,,,,,,,,,,,,,,,,,0.15,0.06,0.7,,,,,,,9980.0,190.0,9755.0,10256.0
ESO297-018,0.083,24.6565,-40.0113,13837.5,-400041,268.72,-73.83,258.83,-18.27,,ESO297-18,IRAS01363-4016,PGC6078,.S..1*/,S,1.0,1.2,,,,1.21,,0.04,0.53,,0.04,1.21,,,143.0,,,,14.24,0.21,,,,,,13.3,,,,,,,,,,,,,,0.54,0.27,0.03,,,,,,,,,,
ESO323-077,0.126,196.6116,-40.4139,130626.7,-402450,306.02,22.37,156.28,-7.99,,ESO323-77,IRAS13035-4008,PGC45371,RLXT0..,Sr,-2.2,0.6,,,,1.17,,0.05,0.17,,0.04,1.19,,,155.0,,,,13.56,0.21,13.09,,,,,11.34,,,,,,,,,,,,,,0.0,,0.4,,,,,,,4477.0,17.0,4311.0,4743.0
ESO362-18,0.046,79.8986,-32.6583,51935.6,-323930,236.02,-32.57,254.05,-62.54,,ESO362-18,IRAS05177-3242,PGC17103,.SBS0*P,S,-0.3,0.7,,,,1.08,,0.05,0.19,,0.04,1.07,,,160.0,,,,13.78,0.21,13.58,,,,,12.83,,,,,,,,,,,,,,0.14,,0.0,,,,,,,3773.0,20.0,3603.0,3796.0
ESO374-G044,0.02,153.3332,-35.9831,101319.9,-355859,270.4,16.71,150.96,-41.62,,ESO374-44,FAIR1149,PGC29778,PSBT1*.,Sr,1.1,0.6,,,,1.06,,0.05,0.14,,0.04,1.1,,,112.0,,,,15.0,0.21,14.35,,,,,,,,,,,,,,,,,,,0.15,0.07,0.4,,,,,,,8530.0,14.0,8310.0,8830.0
ESO417-G006,0.03,44.0903,-32.1858,25621.6,-321109,231.11,-62.49,267.92,-33.76,,ESO417-6,,PGC11104,RSA.0?.,r,-0.1,1.7,,,,1.05,,0.06,0.04,,0.04,1.05,,,130.0,,,,14.25,0.21,14.15,,,,,,,,,,,,,,,,,,,0.03,,0.0,,,,,,,4884.0,24.0,4792.0,4729.0
ESO426-G002,0.104,95.9415,-32.2161,62345.9,-321258,239.93,-19.5,228.35,-72.03,,ESO426-2,IRAS06219-3211,PGC18948,PSBR0..,Sr,-0.1,0.5,,,,1.19,,0.05,0.03,,0.05,1.2,0.68,0.03,,14.36,,0.14,14.28,0.21,,15.11,0.31,13.25,0.1,,,,0.95,0.02,1.07,0.02,,0.37,0.02,0.51,0.02,,,0.02,,0.11,,,,,,,,,,
ESO439-G009,0.067,171.8474,-29.2586,112723.3,-291531,281.73,30.13,141.74,-26.46,,ESO439-9,IRAS11249-2859,PGC35241,RSBR1P*,Sr,1.0,1.8,,,,1.21,,0.04,0.63,,0.03,1.23,,,99.0,,,,14.71,0.21,13.71,,,,,,,,,,,,,,,,,,,0.64,0.31,0.27,,,,,,,7454.0,99.0,7263.0,7784.0
ESO464-G016,0.099,315.6008,-28.1741,210224.1,-281027,17.63,-39.76,241.73,36.37,,ESO464-16,,PGC65953,.SBR3?P,S,3.0,0.9,,,,1.22,,0.04,0.61,,0.03,1.26,,,22.0,,,,15.19,0.21,13.81,,,,,,,,,,,,,,,,,,,0.84,0.3,0.46,,,,,,,10938.0,,10994.0,10693.0
ESO479-G031,0.045,41.199,-24.5147,24447.7,-243053,213.48,-64.41,276.95,-31.07,,ESO479-31,,PGC10398,.LBS0..,S,-2.0,0.8,,,,1.03,,0.05,0.16,,0.04,1.01,,,150.0,,,,14.71,0.21,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,
ESO499-G041,0.205,151.4844,-23.0572,100556.2,-230326,260.42,25.84,133.55,-44.57,,ESO499-41,,PGC29323,RLBR+*.,r,-1.3,1.0,,,,1.02,,0.06,0.28,,0.03,0.99,,,93.0,,,,14.52,0.21,,,,,,,,,,,,,,,,,,,,0.0,,0.13,,,,,,,,,,
ESO506-G027,0.028,189.727,-27.3081,123854.4,-271829,299.51,35.48,142.05,-10.62,,ESO506-27,,PGC42287,.L.+*P/,S,-1.0,1.2,,,,1.14,,0.04,0.5,,0.03,1.1,,,70.0,,,,14.55,0.21,,,,,,,,,,,,,,,,,,,,0.0,,0.36,,,,,,,,,,
ESO511-G030,0.136,214.8449,-26.6428,141922.7,-263834,326.23,32.22,148.33,10.85,A1416-26,ESO511-30,IRAS14165-2625,PGC51169,.SAT5P.,PS,5.0,0.5,1.7,0.6,2.0,1.4,,0.03,0.15,,0.04,1.43,,,,,,,13.3,0.21,12.71,,,,,13.48,,,,,,,,,,,,,,0.23,0.08,0.32,,,,,,,6683.0,59.0,6584.0,6924.0
ESO533-G050,0.063,338.7075,-25.678,223449.7,-254041,27.79,-59.47,259.39,22.39,,ESO533-50,,PGC69216,RSBR0..,Sr,-0.1,0.5,,,,1.19,,0.04,0.04,,0.03,1.19,,,104.0,,,,14.04,0.21,13.87,,,,,,,,,,,,,,,,,,,0.03,,0.02,,,,,,,7928.0,52.0,7981.0,7627.0
ESO548-G081,0.061,55.5144,-21.2444,34203.4,-211440,213.83,-50.83,281.88,-44.08,,ESO548-81,IRAS03398-2124,PGC13590,.SBT1P?,S,1.0,1.1,,,,1.22,,0.04,0.14,,0.03,1.23,,,,,,,12.83,0.21,12.6,,,,,13.38,,,,,,,,,,,,,,0.14,0.07,0.04,,,,,,,4341.0,60.0,4249.0,4219.0
ESO553-G043,0.051,81.6127,-21.2864,52627.0,-211711,223.95,-27.78,278.21,-68.3,,ESO553-43,,PGC17287,.L...+P,S,-1.0,0.8,,,,1.03,,0.05,0.08,,0.03,1.03,,,,,,,14.79,0.21,,,,,,,,,,,,,,,,,,,,0.0,,0.14,,,,,,,,,,
ESO565-G019,0.095,143.6832,-21.9283,93443.9,-215542,253.87,21.68,132.11,-51.8,,ESO565-19,IRAS09324-2142,PGC27227,.E?....,,,,,,,1.05,,0.05,0.24,,0.03,1.0,,,171.0,13.66,,0.13,13.63,0.21,,13.32,0.31,,,12.06,,,0.85,0.01,,,,,,,,,,0.0,,0.14,,,,,,,,,,
Fairall51,0.093,281.2272,-62.3636,184454.4,-622149,333.2,-23.09,205.25,11.9,,ESO140-43,FAIR51,PGC62346,PSBS3*.,Sr,2.8,0.4,5.6,1.3,1.0,1.21,,0.04,0.28,,0.04,1.24,,,162.0,14.7,,0.2,14.11,0.21,13.66,14.88,0.3,,,12.52,,,0.72,0.02,,,0.51,-0.21,0.05,,,-0.35,,0.38,0.14,0.35,,,,,,,4207.0,16.0,4115.0,4178.0
Fairall9,0.083,20.9403,-58.8044,12345.6,-584816,295.07,-57.83,238.98,-17.1,,ESO113-45,FAIR9,PGC5106,,,,,,,,0.9,,0.07,0.07,,0.06,0.9,0.08,0.04,111.0,13.5,v,0.2,14.05,0.21,13.55,,,9.34,0.1,,,,0.32,0.03,0.18,0.03,,-0.85,0.03,-0.93,0.03,,,,,0.0,,,,,,,13834.0,17.0,13718.0,13708.0
IC0486,0.186,120.0852,26.6159,80020.4,263657,194.9,26.1,47.2,-44.8,IC486,UGC4155,IRAS07572+2645,PGC22445,.SB.1..,U,1.0,0.9,,,,0.97,,0.07,0.11,,0.05,0.98,,,145.0,,,,14.6,0.18,14.33,,,,,,15.81,0.3,,,,,,,,,,,1.42,0.12,0.06,0.05,,,376.0,7.0,8057.0,10.0,,,7999.0,8249.0
IC1657,0.079,18.5307,-32.6505,11407.3,-323902,262.63,-82.61,265.64,-12.33,IC1657,ESO352-24,IRAS01117-3254,PGC4440,RSBS4*.,BSr,3.7,0.4,2.2,0.5,1.0,1.37,,0.04,0.63,,0.04,1.37,,,170.0,,,,13.15,0.21,12.19,,,,,11.83,,,,,,,,,,,,,,0.92,0.31,0.02,,,,,,,3552.0,19.0,3516.0,3309.0
IC1816,0.082,37.964,-36.6713,23151.3,-364017,243.42,-66.74,262.86,-28.58,IC1816,ESO355-25,FAIR1090,PGC9634,.SBR2P?,BS,2.4,0.6,,,,1.16,,0.04,0.07,,0.04,1.16,,,,,,,13.83,0.21,13.66,,,,,12.79,,,,,,,,,,,,,,0.09,0.04,0.03,,,,,,,5176.0,20.0,5086.0,5008.0
IC2461,0.027,139.9923,37.1909,91958.1,371127,186.28,44.72,58.37,-27.05,IC2461,UGC4943,IRAS09168+3724,PGC26390,.S..3..,U,3.0,0.9,3.5,1.2,1.0,1.37,,0.04,0.75,,0.05,1.37,,,143.0,,,,14.8,0.2,13.74,,,,,12.72,,,,,,,,,,,,,,1.04,0.38,0.0,,,,,,,2265.0,19.0,2246.0,2491.0
IC2637,0.042,168.457,9.587,111349.6,93513,245.6,61.06,99.34,-21.13,IC2637,UGC6259,MK732,PGC34199,.E+..P.,F,-4.0,0.9,,,,0.92,,0.07,0.03,,0.05,0.92,,,70.0,,,,14.04,0.18,13.89,,,,,12.43,,,,,,,,,,,,,,0.0,,0.02,,,,,,,8768.0,29.0,8670.0,9115.0
IC4329A,0.05,207.3312,-30.3098,134919.4,-301835,317.5,30.92,149.24,3.35,IC4329A,ESO445-50,IRAS13464-3003,PGC49051,.LA.+*/,PS,-0.7,0.8,,,,1.14,,0.05,0.56,,0.03,1.07,0.51,0.07,45.0,14.0,,0.2,13.78,0.21,13.67,13.17,0.32,12.01,0.24,12.66,,,0.97,0.03,1.01,0.01,0.86,0.28,0.06,0.32,0.03,0.25,,0.0,,0.15,,,,,,,4793.0,27.0,4668.0,5056.0
