Name,SDSS_u_petro,SDSS_u_petro_err,SDSS_g_petro,SDSS_g_petro_err,SDSS_r_petro,SDSS_r_petro_err,SDSS_i_petro,SDSS_i_petro_err,SDSS_z_petro,SDSS_z_petro_err
1RXSJ044154.5-082639,,,,,,,,,,
1RXSJ045205.0+493248,,,,,,,,,,
2E1739.1-1210,,,,,,,,,,
2MASSJ07594181-3843560,,,,,,,,,,
2MASSJ17485512-3254521,,,,,,,,,,
2MASXiJ1802473-145454,,,,,,,,,,
2MASXJ00253292+6821442,,,,,,,,,,
2MASXJ01064523+0638015,17.59337,0.06213571,15.50938,0.004337016,14.82905,0.003633302,14.35234,0.003477438,14.20604,0.01070348
2MASXJ01073963-1139117,,,,,,,,,,
2MASXJ03305218+0538253,16.98841,0.009117907,16.21383,0.003751197,15.92638,0.004682307,15.50098,0.004439933,15.31783,0.007391623
2MASXJ03342453-1513402,,,,,,,,,,
2MASXJ03502377-5018354,,,,,,,,,,
2MASXJ03534246+3714077,17.7054,0.0436537,16.06512,0.01078425,14.95366,0.01174752,14.43145,0.01029171,13.96677,0.01001455
2MASXj03540948+0249307,,,,,,,,,,
2MASXJ04234080+0408017,,,,,,,,,,
2MASXJ04440903+2813003,,,,,,,,,,
2MASXJ05020903+0331499,,,,,,,,,,
2MASXJ05054575-2351139,,,,,,,,,,
2MASXJ05580206-3820043,,,,,,,,,,
2MASXJ06411806+3249313,,,,,,,,,,
2MASXJ06561197-4919499,,,,,,,,,,
2MASXJ07262635-3554214,,,,,,,,,,
2MASXJ07595347+2323241,15.93174,0.01652441,14.36484,0.008822118,13.59007,0.008117223,13.14968,0.009291257,12.80782,0.01037502
2MASXJ08032736+0841523,17.55718,0.03712728,15.85809,0.004756986,15.09377,0.02150632,14.65821,0.004401835,14.41618,0.008023912
2MASXJ09023729-4813339,,,,,,,,,,
2MASXJ09043699+5536025,17.03825,0.01110761,16.39806,0.01514781,15.92432,0.02059067,15.62039,0.02283758,15.42371,0.02633541
2MASXJ09235371-3141305,,,,,,,,,,
2MASXJ09254750+6927532,,,,,,,,,,
2MASXJ09360622-6548336,,,,,,,,,,
2MASXJ09594263-3112581,,,,,,,,,,
2MASXJ10402231-4625264,,,,,,,,,,
2MASXJ11454045-1827149,,,,,,,,,,
2MASXJ12005792+0648226,16.64954,0.03012267,15.02748,0.01066885,14.23996,0.01081983,13.77151,0.01433903,13.5121,0.01503969
2MASXJ12313717-4758019,,,,,,,,,,
2MASXJ12335145-2103448,,,,,,,,,,
2MASXJ12475784-5829599,,,,,,,,,,
2MASXJ13411287-1438407,,,,,,,,,,
2MASXJ13512953-1813468,,,,,,,,,,
2MASXJ14080674-3023537,,,,,,,,,,
2MASXJ14530794+2554327,17.77557,0.02352587,16.71043,0.02364978,15.99222,0.02281971,15.55361,0.02216255,15.28775,0.02289423
2MASXJ15064412+0351444,19.55453,0.1441021,17.63754,0.04496438,16.2771,0.01908839,15.82502,0.01645697,15.9462,0.04037749
2MASXJ15115979-2119015,,,,,,,,,,
2MASXJ15462424+6929102,,,,,,,,,,
2MASXJ16481523-3035037,,,,,,,,,,
2MASXJ18570768-7828212,,,,,,,,,,
2MASXJ19373299-0613046,,,,,,,,,,
2MASXJ19380437-5109497,,,,,,,,,,
2MASXJ20005575-1810274,,,,,,,,,,
2MASXJ20101740+4800214,,,,,,,,,,
2MASXJ20183871+4041003,,,,,,,,,,
2MASXJ21090996-0940147,14.77931,0.01302553,14.52579,0.01904298,13.92189,0.01145747,13.97483,0.01795494,13.76294,0.08134283
2MASXJ21355399+4728217,,,,,,,,,,
2MASXJ23272195+1524375,16.80138,0.02638296,15.20696,0.005976012,14.35169,0.005638775,13.8732,0.005401064,13.72278,0.007830801
2MFGC02280,,,,,,,,,,
3C111.0,,,,,,,,,,
3C120,,,,,,,,,,
4U1344-60,,,,,,,,,,
6dFJ0626586-370559,,,,,,,,,,
6dFJ2132022-334254,,,,,,,,,,
Ark120,14.07898,0.002637989,12.66215,0.001448276,11.96523,0.001463354,13.64026,0.01059708,12.97147,0.007174921
ARK241,,,,,,,,,,
ARK347,16.38469,0.03471468,14.67539,0.01916998,13.87441,0.01789455,13.46561,0.01794471,13.18867,0.01320947
ARP102B,,,,,,,,,,
ARP151,17.38261,0.02396147,16.00958,0.01284286,15.22742,0.01162816,14.92423,0.01167916,14.64041,0.01061371
AXJ1737.4-2907,,,,,,,,,,
CenA,,,,,,,,,,
CGCG102-048,17.02875,0.1109578,15.31389,0.06561223,14.42441,0.05843532,13.94922,0.05816985,13.66463,0.0398796
CGCG122-055,16.30512,0.02262062,14.99879,0.0373227,14.31954,0.03695113,13.99018,0.03680662,13.7278,0.03382321
CGCG229-015,,,,,,,,,,
CGCG300-062,16.73616,0.0308833,15.39571,0.1171826,14.78201,0.06470431,14.39862,0.02737523,14.31892,0.2338652
CGCG312-012,16.69041,0.01585865,14.88811,0.003104931,14.03576,0.002880234,13.66043,0.002914926,13.3599,0.004431556
CGCG319-007,16.89092,0.03289711,15.06788,0.01705919,14.40332,0.01150176,13.83625,0.01491356,13.63209,0.01054603
CGCG341-006,,,,,,,,,,
CGCG367-009,,,,,,,,,,
CGCG420-015,,,,,,,,,,
CGCG468-002NED01,,,,,,,,,,
CGCG493-002,,,,,,,,,,
CGCG535-012,,,,,,,,,,
ESO005-G004,,,,,,,,,,
ESO031-G008,,,,,,,,,,
ESO033-G002,,,,,,,,,,
ESO103-035,,,,,,,,,,
ESO121-IG028,,,,,,,,,,
ESO137-34,,,,,,,,,,
ESO139-G012,,,,,,,,,,
ESO141-G055,,,,,,,,,,
ESO157-G023,,,,,,,,,,
ESO195-IG021NED03,,,,,,,,,,
ESO197-G027,,,,,,,,,,
ESO198-024,,,,,,,,,,
ESO209-G012,,,,,,,,,,
ESO244-IG030,,,,,,,,,,
ESO263-G013,,,,,,,,,,
ESO297-018,,,,,,,,,,
ESO323-077,,,,,,,,,,
ESO362-18,,,,,,,,,,
ESO374-G044,,,,,,,,,,
ESO383-18,,,,,,,,,,
ESO399-20,,,,,,,,,,
ESO417-G006,,,,,,,,,,
ESO426-G002,,,,,,,,,,
ESO439-G009,,,,,,,,,,
ESO464-G016,,,,,,,,,,
ESO479-G031,,,,,,,,,,
ESO490-IG026,,,,,,,,,,
ESO499-G041,,,,,,,,,,
ESO506-G027,,,,,,,,,,
ESO509-G038,,,,,,,,,,
ESO509-IG066NED01,,,,,,,,,,
ESO511-G030,,,,,,,,,,
ESO533-G050,,,,,,,,,,
ESO548-G081,,,,,,,,,,
ESO549-G049,,,,,,,,,,
ESO553-G022,,,,,,,,,,
ESO553-G043,,,,,,,,,,
ESO565-G019,,,,,,,,,,
ESO578-G009,,,,,,,,,,
Fairall1146,,,,,,,,,,
Fairall272,16.70285,0.08613596,14.9922,0.08683988,14.21891,0.05914119,13.80994,0.04441698,13.49889,0.03567832
Fairall49,,,,,,,,,,
Fairall51,,,,,,,,,,
Fairall9,,,,,,,,,,
HB890241+622,,,,,,,,,,
IC0486,15.83455,0.02048223,14.16297,0.003872764,13.38221,0.003011947,13.01459,0.002859854,12.81191,0.003565529
IC1657,,,,,,,,,,
IC1816,,,,,,,,,,
IC2461,16.1444,0.07681406,14.41188,0.04860896,13.55229,0.04853594,13.09718,0.04077799,12.76353,0.03572863
IC2637,15.43787,0.01060326,14.00969,0.003561679,13.45474,0.002922755,13.14772,0.002969923,12.85168,0.005452277
IC2921,17.52267,0.03520326,15.91114,0.01715333,15.04866,0.01695029,14.57294,0.01880814,14.26798,0.01801497
IC4329A,,,,,,,,,,
IC4518A,,,,,,,,,,
IC4709,,,,,,,,,,
IC5063,,,,,,,,,,
IGRJ11366-6002,,,,,,,,,,
IGRJ23308+7120,,,,,,,,,,
IISZ010,,,,,,,,,,
IIZw083,,,,,,,,,,
IRAS03219+4031,17.9609,0.07978445,16.34229,0.02790855,15.68099,0.02638803,15.28396,0.03364915,15.16502,0.05277202
IRAS04124-0803,,,,,,,,,,
IRAS05078+1626,33.35764,5.922606,15.13703,1.089816,14.00859,0.507156,13.50941,0.4533702,14.17125,4.673976
IRAS05218-1212,,,,,,,,,,
IRAS05589+2828,,,,,,,,,,
KAZ320,16.21449,0.005888144,15.67158,0.004402282,15.35374,0.005558594,15.06938,0.006033616,14.86198,0.007183994
