BAT Index,BAT Name,CTPT Name,Herschel-BAT Name
235,SWIFT J0441.8-0823,1RXS J044154.5-082639,1RXSJ044154.5-082639
244,SWIFT J0452.2+4933,1RXS J045205.0+493248,1RXSJ045205.0+493248
905,SWIFT J1741.9-1211,2E 1739.1-1210,2E1739.1-1210
398,SWIFT J0759.8-3844,2MASS J07594181-3843560,2MASSJ07594181-3843560
929,SWIFT J1748.8-3257,2MASS J17485512-3254521,2MASSJ17485512-3254521
948,SWIFT J1802.8-1455,2MASXi J1802473-145454,2MASXiJ1802473-145454
13,SWIFT J0025.8+6818,2MASX J00253292+6821442,2MASXJ00253292+6821442
53,SWIFT J0106.8+0639,2MASX J01064523+0638015,2MASXJ01064523+0638015
55,SWIFT J0107.7-1137B,2MASX J01073963-1139117,2MASXJ01073963-1139117
180,SWIFT J0331.3+0538,2MASX J03305218+0538253,2MASXJ03305218+0538253
185,SWIFT J0334.4-1515,2MASX J03342453-1513402,2MASXJ03342453-1513402
193,SWIFT J0350.1-5019,2MASX J03502377-5018354,2MASXJ03502377-5018354
196,SWIFT J0353.7+3711,2MASX J03534246+3714077,2MASXJ03534246+3714077
197,SWIFT J0354.2+0250,2MASX J03540948+0249307,2MASXJ03540948+0249307
218,SWIFT J0423.5+0414,2MASX J04234080+0408017,2MASXJ04234080+0408017
237,SWIFT J0444.1+2813,2MASX J04440903+2813003,2MASXJ04440903+2813003
252,SWIFT J0502.1+0332,2MASX J05020903+0331499,2MASXJ05020903+0331499
258,SWIFT J0505.8-2351,2MASX J05054575-2351139,2MASXJ05054575-2351139
313,SWIFT J0557.9-3822,2MASX J05580206-3820043,2MASXJ05580206-3820043
345,SWIFT J0641.3+3257,2MASX J06411806+3249313,2MASXJ06411806+3249313
350,SWIFT J0656.4-4921,2MASX J06561197-4919499,2MASXJ06561197-4919499
370,SWIFT J0726.6-3552,2MASX J07262635-3554214,2MASXJ07262635-3554214
399,SWIFT J0800.5+2327,2MASX J07595347+2323241,2MASXJ07595347+2323241
403,SWIFT J0803.4+0842,2MASX J08032736+0841523,2MASXJ08032736+0841523
441,SWIFT J0902.7-4814,2MASX J09023729-4813339,2MASXJ09023729-4813339
443,SWIFT J0904.3+5538,2MASX J09043699+5536025,2MASXJ09043699+5536025
456,SWIFT J0924.2-3141,2MASX J09235371-3141305,2MASXJ09235371-3141305
459,SWIFT J0926.1+6931,2MASX J09254750+6927532,2MASXJ09254750+6927532
468,SWIFT J0936.2-6553,2MASX J09360622-6548336,2MASXJ09360622-6548336
482,SWIFT J0959.7-3112,2MASX J09594263-3112581,2MASXJ09594263-3112581
509,SWIFT J1040.7-4619,2MASX J10402231-4625264,2MASXJ10402231-4625264
567,SWIFT J1145.6-1819,2MASX J11454045-1827149,2MASXJ11454045-1827149
582,SWIFT J1200.8+0650,2MASX J12005792+0648226,2MASXJ12005792+0648226
622,SWIFT J1232.0-4802,2MASX J12313717-4758019,2MASXJ12313717-4758019
,,2MASX J12335145-2103448,2MASXJ12335145-2103448
639,SWIFT J1248.2-5828,2MASX J12475784-5829599,2MASXJ12475784-5829599
683,SWIFT J1341.2-1439,2MASX J13411287-1438407,2MASXJ13411287-1438407
696,SWIFT J1351.5-1814,2MASX J13512953-1813468,2MASXJ13512953-1813468
707,SWIFT J1408.1-3024,2MASX J14080674-3023537,2MASXJ14080674-3023537
748,SWIFT J1453.3+2558,2MASX J14530794+2554327,2MASXJ14530794+2554327
755,SWIFT J1506.7+0353B,2MASX J15064412+0351444,2MASXJ15064412+0351444
760,SWIFT J1512.0-2119,2MASX J15115979-2119015,2MASXJ15115979-2119015
778,SWIFT J1546.3+6928,2MASX J15462424+6929102,2MASXJ15462424+6929102
833,SWIFT J1648.0-3037,2MASX J16481523-3035037,2MASXJ16481523-3035037
1016,SWIFT J1856.2-7829,2MASX J18570768-7828212,2MASXJ18570768-7828212
1042,SWIFT J1937.5-0613,2MASX J19373299-0613046,2MASXJ19373299-0613046
1043,SWIFT J1938.1-5108,2MASX J19380437-5109497,2MASXJ19380437-5109497
1060,SWIFT J2001.0-1811,2MASX J20005575-1810274,2MASXJ20005575-1810274
1067,SWIFT J2010.7+4801,2MASX J20101740+4800214,2MASXJ20101740+4800214
1073,SWIFT J2018.8+4041,2MASX J20183871+4041003,2MASXJ20183871+4041003
1099,SWIFT J2109.1-0942,2MASX J21090996-0940147,2MASXJ21090996-0940147
1117,SWIFT J2156.1+4728,2MASX J21355399+4728217,2MASXJ21355399+4728217
1196,SWIFT J2327.4+1525,2MASX J23272195+1524375,2MASXJ23272195+1524375
151,SWIFT J0251.3+5441,2MFGC 02280,2MFGC02280
214,SWIFT J0418.3+3800,3C 111.0,3C111.0
226,SWIFT J0433.0+0521,3C 120,3C120
692,SWIFT J1347.4-6033,4U 1344-60,4U1344-60
334,SWIFT J0626.6-3702,6dF J0626586-370559,6dFJ0626586-370559
1114,SWIFT J2132.0-3343,6dF J2132022-334254,6dFJ2132022-334254
266,SWIFT J0516.2-0009,Ark 120,Ark120
496,SWIFT J1021.7-0327,ARK 241,ARK241
586,SWIFT J1204.5+2019,ARK 347,ARK347
876,SWIFT J1719.7+4900,ARP 102B,ARP102B
542,SWIFT J1125.6+5423,ARP 151,ARP151
896,SWIFT J1737.5-2908,AX J1737.4-2907,AXJ1737.4-2907
671,SWIFT J1325.4-4301,Cen A,CenA
687,SWIFT J1344.7+1934,CGCG 102-048,CGCG102-048
470,SWIFT J0942.2+2344,CGCG 122-055,CGCG122-055
1021,SWIFT J1905.4+4231,CGCG 229-015,CGCG229-015
909,SWIFT J1743.4+6253,CGCG 300-062,CGCG300-062
463,SWIFT J0929.7+6232,CGCG 312-012,CGCG312-012
767,SWIFT J1519.6+6538,CGCG 319-007,CGCG319-007
998,SWIFT J1845.4+7211,CGCG 341-006,CGCG341-006
804,SWIFT J1621.2+8104,CGCG 367-009,CGCG367-009
245,SWIFT J0453.4+0404,CGCG 420-015,CGCG420-015
260,SWIFT J0508.1+1727,CGCG 468-002NED01,CGCG468-002NED01
1121,SWIFT J2138.8-3207,CGCG 493-002,CGCG493-002
22,SWIFT J0036.3+4540,CGCG 535-012,CGCG535-012
319,SWIFT J0601.9-8636,ESO 005- G 004,ESO005-G004
164,SWIFT J0308.5-7251,ESO 031- G 008,ESO031-G008
247,SWIFT J0456.3-7532,ESO 033- G 002,ESO033-G002
988,SWIFT J1838.4-6524,ESO 103-035,ESO103-035
329,SWIFT J0623.9-6058,ESO 121-IG 028,ESO121-IG028
823,SWIFT J1635.0-5804,ESO 137- G 034,ESO137-34
898,SWIFT J1737.7-5956B,ESO 139- G 012,ESO139-G012
1032,SWIFT J1921.1-5842,ESO 141 -G 055,ESO141-G055
217,SWIFT J0422.7-5611,ESO 157- G 023,ESO157-G023
44,SWIFT J0100.9-4750,ESO 195-IG 021 NED03,ESO195-IG021NED03
114,SWIFT J0211.1-4944,ESO 197- G 027,ESO197-G027
136,SWIFT J0238.2-5213,ESO 198-024,ESO198-024
402,SWIFT J0801.9-4946,ESO 209- G 012,ESO209-G012
81,SWIFT J0130.0-4218,ESO 244-IG 030,ESO244-IG030
489,SWIFT J1009.3-4250,ESO 263- G 013,ESO263-G013
87,SWIFT J0138.6-4001,ESO 297-018,ESO297-018
657,SWIFT J1306.4-4025A,ESO 323-077,ESO323-077
269,SWIFT J0501.9-3239,ESO 362-18,ESO362-18
492,SWIFT J1013.5-3601,ESO 374- G 044,ESO374-G044
677,SWIFT J1333.5-3401,ESO 383-18,ESO383-18
1063,SWIFT J2007.0-3433,ESO 399-20,ESO399-20
159,SWIFT J0256.4-3212,ESO 417-G006,ESO417-G006
330,SWIFT J0623.8-3215,ESO 426-G002,ESO426-G002
,,ESO 439-G009,ESO439-G009
,,ESO 464-G016,ESO464-G016
146,SWIFT J0244.7-2433,ESO 479- G 031,ESO479-G031
342,SWIFT J0640.4-2554,ESO 490-IG026,ESO490-IG026
486,SWIFT J1005.9-2305,ESO 499- G 041,ESO499-G041
629,SWIFT J1238.9-2720,ESO 506-G027,ESO506-G027
674,SWIFT J1331.2-2524,ESO 509- G 038,ESO509-G038
678,SWIFT J1334.8-2328,ESO 509-IG 066 NED01,ESO509-IG066NED01
719,SWIFT J1419.0-2639,ESO 511-G030,ESO511-G030
1156,SWIFT J2234.8-2542,ESO 533- G 050,ESO533-G050
189,SWIFT J0342.0-2115,ESO 548-G081,ESO548-G081
205,SWIFT J0402.4-1807,ESO 549- G 049,ESO549-G049
262,SWIFT J0512.1-1830,ESO 553- G 022,ESO553-G022
279,SWIFT J0526.2-2118,ESO 553- G 043,ESO553-G043
465,SWIFT J0934.7-2156,ESO 565- G 019,ESO565-G019
704,SWIFT J1356.6-1932,ESO 578- G 009,ESO578-G009
423,SWIFT J0838.4-3557,Fairall 1146,Fairall1146
416,SWIFT J0823.4-0457,Fairall 272,Fairall272
986,SWIFT J1836.9-5924,Fairall 49,Fairall49
995,SWIFT J1844.5-6221,Fairall 51,Fairall51
73,SWIFT J0123.9-5846,Fairall 9,Fairall9
147,SWIFT J0244.8+6227,[HB89] 0241+622,HB890241+622
400,SWIFT J0800.1+2638,IC 0486,IC0486
62,SWIFT J0114.5-3236,IC 1657,IC1657
131,SWIFT J0231.6-3645,IC 1816,IC1816
451,SWIFT J0920.1+3712,IC 2461,IC2461
532,SWIFT J1113.6+0936,IC 2637,IC2637
549,SWIFT J1132.9+1019A,IC 2921,IC2921
694,SWIFT J1349.3-3018,IC 4329A,IC4329A
751,SWIFT J1457.8-4308,IC 4518A,IC4518A
970,SWIFT J1824.3-5624,IC 4709,IC4709
1092,SWIFT J2052.0-5704,IC 5063,IC5063
553,SWIFT J1136.7-6007,IGR J11366-6002,IGRJ11366-6002
1199,SWIFT J2330.5+7124,IGR J23308+7120,IGRJ23308+7120
663,SWIFT J1313.1-1108,II SZ 010,IISZ010
1076,SWIFT J2027.1-0220,II Zw 083,IIZw083
176,SWIFT J0324.9+4044,IRAS 03219+4031,IRAS03219+4031
213,SWIFT J0414.8-0754,IRAS 04124-0803,IRAS04124-0803
261,SWIFT J0510.7+1629,IRAS 05078+1626,IRAS05078+1626
274,SWIFT J0524.1-1210,IRAS 05218-1212,IRAS05218-1212
316,SWIFT J0602.2+2829,IRAS 05589+2828,IRAS05589+2828
1178,SWIFT J2259.7+2458,KAZ 320,KAZ320
565,SWIFT J1144.1+3652,KUG 1141+371,KUG1141+371
596,SWIFT J1210.7+3819,KUG 1208+386,KUG1208+386
190,SWIFT J0345.2-3935,LCRS B034324.7-394349,LCRSB034324.7-394349
1194,SWIFT J2325.5-3827,LCRS B232242.2-384320,LCRSB232242.2-384320
113,SWIFT J0209.7+5226,LEDA 138501,LEDA138501
630,SWIFT J1239.3-1611,LEDA 170194,LEDA170194
836,SWIFT J1650.5+0434,LEDA 214543,LEDA214543
584,SWIFT J1200.2-5350,LEDA 38038,LEDA38038
609,SWIFT J1219.4+4720,M 106,M106
96,SWIFT J0152.8-0329,MCG -01-05-047,MCG-01-05-047
182,SWIFT J0331.4-0510,MCG -01-09-045,MCG-01-09-045
242,SWIFT J0451.4-0346,MCG -01-13-025,MCG-01-13-025
453,SWIFT J0920.8-0805,MCG -01-24-012,MCG-01-24-012
577,SWIFT J1152.6-0512,MCG -01-30-041,MCG-01-30-041
,,MCG -01-33-063,MCG-01-33-063
772,SWIFT J1533.2-0836,MCG -01-40-001,MCG-01-40-001
31,SWIFT J0042.9-1135,MCG -02-02-095,MCG-02-02-095
156,SWIFT J0252.7-0822,MCG -02-08-014,MCG-02-08-014
162,SWIFT J0300.0-1048,MCG -02-08-038,MCG-02-08-038
230,SWIFT J0438.2-1048,MCG -02-12-050,MCG-02-12-050
