                  name                  	     objname     	   celposj(pgc)   	      type       	       bar       	      ring       	    multiple     	   compactness   	        t        	       e_t       	     logd25      	    e_logd25     	     logr25      	    e_logr25     	       pa        	      m21c       
1RXSJ044154.5-082639                    	  PGC3095696     	 J044154.0-082634 	                 	                 	                 	                 	                 	                 	                 	                 	                 	                 	                 	160	                 
1RXSJ045205.0+493248                    	  PGC168563      	 J045204.8+493245 	                 	                 	                 	                 	                 	                 	                 	0.524	0.092	0.053	0.029	13	                 
2MASXJ00253292+6821442                  	  PGC136991      	 J002532.9+682144 	                 	                 	                 	                 	                 	                 	                 	0.85	0.059	0.279	0.03	90.5	                 
2MASXJ01064523+0638015                  	  PGC003938      	 J010645.2+063802 	                 	                 	                 	                 	                 	                 	                 	                 	                 	                 	                 	120	                 
2MASXJ01073963-1139117                  	  PGC963299      	 J010739.7-113912 	 S0-a            	                 	                 	                 	                 	-1	2	0.84	0.06	0.48	0.028	29.5	                 
2MASXJ03305218+0538253                  	  PGC3095641     	 J033052.2+053825 	                 	                 	                 	                 	                 	                 	                 	                 	                 	                 	                 	15	                 
2MASXJ03342453-1513402                  	  PGC2816367     	 J033424.5-151340 	                 	                 	                 	                 	                 	                 	                 	0.518	0.396	0.285	0.152	95.05	                 
2MASXJ03502377-5018354                  	  PGC013946      	 J035023.7-501836 	 Sab             	                 	                 	                 	                 	2.1	2.4	0.617	0.13	0.112	0.051	60.09	                 
2MASXJ03534246+3714077                  	  PGC213255      	 J035342.5+371408 	 S0-a            	                 	                 	                 	                 	-1	2	0.856	0.061	0.246	0.033	71	                 
2MASXJ03540948+0249307                  	  2MASXJ03540948+0249307 	 J035409.5+024931 	                 	                 	                 	                 	                 	                 	                 	                 	                 	                 	                 	160	                 
2MASXJ04234080+0408017                  	  PGC015023      	 J042340.8+040802 	                 	                 	                 	                 	                 	                 	                 	0.73	0.07	0.43	0.028	48	17.224
2MASXJ04440903+2813003                  	  PGC086269      	 J044409.0+281300 	 Sb              	                 	                 	                 	                 	3.2	2.2	0.92	0.054	0.18	0.028	46	16.541
2MASXJ05020903+0331499                  	  PGC075258      	 J050209.0+033150 	                 	                 	                 	                 	                 	                 	                 	                 	                 	                 	                 	130	                 
2MASXJ05054575-2351139                  	  PGC178130      	 J050545.7-235114 	                 	                 	                 	                 	                 	                 	                 	0.684	0.074	0.133	0.035	72	                 
2MASXJ05580206-3820043                  	  PGC075476      	 J055802.1-382004 	 S0-a            	                 	                 	                 	                 	0	1.7	0.898	0.055	0.385	0.032	133	                 
2MASXJ06411806+3249313                  	  PGC2013778     	 J064118.1+324931 	                 	                 	                 	                 	                 	                 	                 	0.46	0.102	0.15	0.028	                 	                 
2MASXJ06561197-4919499                  	  PGC478026      	 J065612.0-491950 	 Sa              	                 	                 	                 	                 	1	2	0.487	0.121	0.163	0.032	110.25	                 
2MASXJ07262635-3554214                  	  PGC096373      	 J072626.4-355421 	 S0-a            	                 	                 	                 	                 	-1	2	0.97	0.051	0.2	0.028	167	                 
2MASXJ07595347+2323241                  	  PGC022412      	 J075953.5+232324 	 Sb              	                 	                 	                 	                 	2.5	1.8	0.982	0.062	0.316	0.027	14.76	                 
2MASXJ08032736+0841523                  	  PGC1351981     	 J080327.4+084152 	 E               	                 	 R               	                 	                 	-5	3	0.69	0.074	0.04	0.028	                 	                 
2MASXJ09043699+5536025                  	  2MASXJ09043699+5536025 	 J090437.0+553603 	 E               	                 	                 	 M               	                 	-5	3	0.791	0.218	0.213	0.1	59.6	                 
2MASXJ09235371-3141305                  	  6dFJ0923537-314131 	 J092353.7-314131 	                 	                 	                 	                 	                 	                 	                 	                 	                 	                 	                 	                 	                 
2MASXJ09254750+6927532                  	  2MASXJ09254750+6927532 	 J092547.5+692753 	                 	                 	                 	                 	                 	                 	                 	                 	                 	                 	                 	0	                 
2MASXJ09594263-3112581                  	  PGC154502      	 J095942.6-311258 	 S0-a            	 B               	                 	                 	                 	0	2.4	0.84	0.06	0.31	0.028	86.5	                 
2MASXJ10402231-4625264                  	  PGC093974      	 J104022.3-462526 	 S0              	                 	                 	                 	                 	-2	1.4	                 	                 	                 	                 	80	                 
2MASXJ11454045-1827149                  	  PGC088639      	 J114540.5-182715 	 Sc              	                 	                 	                 	                 	5	2	0.79	0.061	0.173	0.025	41.77	                 
2MASXJ12005792+0648226                  	  PGC037894      	 J120057.9+064823 	 S0-a            	                 	                 	                 	                 	0	2	0.852	0.071	0.141	0.027	34.25	                 
2MASXJ12313717-4758019                  	  PGC096527      	 J123137.2-475802 	 SABb            	 B               	                 	                 	                 	4	2	                 	                 	                 	                 	10	                 
2MASXJ12335145-2103448                  	  PGC3096158     	 J123351.4-210345 	                 	                 	                 	                 	                 	                 	                 	                 	                 	                 	                 	130	                 
2MASXJ13411287-1438407                  	  PGC084044      	 J134112.9-143841 	 Sa              	                 	                 	                 	                 	1	2.4	0.92	0.054	0.27	0.028	115.5	                 
2MASXJ13512953-1813468                  	  PGC3096295     	 J135129.5-181347 	 E?              	                 	                 	                 	                 	-5	5	                 	                 	                 	                 	0	                 
2MASXJ14080674-3023537                  	  PGC050427      	 J140806.8-302354 	                 	                 	                 	                 	                 	                 	                 	0.48	0.169	0.082	0.045	114.5	                 
2MASXJ14530794+2554327                  	  PGC1754719     	 J145307.9+255433 	 E               	                 	                 	                 	                 	-5	3	0.551	0.086	0.076	0.03	174.44	                 
2MASXJ15064412+0351444                  	  2MASXJ15064412+0351444 	 J150644.1+035144 	                 	                 	                 	                 	                 	                 	                 	                 	                 	                 	                 	10	                 
2MASXJ15115979-2119015                  	  PGC054253      	 J151159.8-211901 	 Sab             	                 	                 	                 	                 	1.5	2.9	0.9	0.062	0.167	0.024	                 	                 
2MASXJ15462424+6929102                  	  PGC2730634     	 J154624.2+692910 	                 	                 	                 	                 	                 	                 	                 	0.78	0.065	0.45	0.028	84.5	                 
2MASXJ16481523-3035037                  	  2MASXJ16481523-3035037 	 J164815.2-303504 	                 	                 	                 	                 	                 	                 	                 	                 	                 	                 	                 	                 	                 
2MASXJ18570768-7828212                  	  PGC140831      	 J185707.7-782821 	 S0-a            	 B               	                 	                 	                 	0	2	0.82	0.062	0.25	0.028	141	                 
2MASXJ19373299-0613046                  	  PGC090334      	 J193733.0-061305 	 E               	                 	                 	                 	 C               	-5	2	0.929	0.084	0.041	0.041	                 	16
2MASXJ19380437-5109497                  	  PGC089057      	 J193804.4-510950 	                 	                 	                 	                 	                 	                 	                 	0.813	0.056	0.067	0.024	154	                 
2MASXJ20005575-1810274                  	  PGC063981      	 J200055.8-181028 	 S0              	                 	                 	                 	                 	-2	2	0.705	0.064	0.19	0.023	180	                 
2MASXJ20101740+4800214                  	  2MASXJ20101740+4800214 	 J201017.4+480021 	                 	                 	                 	                 	                 	                 	                 	                 	                 	                 	                 	                 	                 
2MASXJ21090996-0940147                  	  PGC089171      	 J210910.0-094015 	 S0              	                 	                 	                 	                 	-2	2	                 	                 	                 	                 	115	                 
2MASXJ23272195+1524375                  	  PGC1483882     	 J232722.0+152437 	 E               	                 	                 	                 	                 	-4.5	1.5	0.895	0.057	0.085	0.033	179.52	                 
2MFGC02280                              	  PGC166445      	 J025042.6+544218 	 Sc              	                 	                 	                 	                 	5	2	0.907	0.06	0.469	0.027	142.67	17.042
3C111.0                                 	  3C111          	 J041821.2+380136 	                 	                 	                 	                 	                 	                 	                 	                 	                 	                 	                 	50	                 
3C120                                   	  UGC03087       	 J043311.1+052115 	 S0              	                 	                 	                 	                 	-1.7	1.4	0.885	0.051	0.228	0.027	122	                 
4U1344-60                               	  PGC4584383     	 J134736.0-603704 	                 	                 	                 	                 	                 	                 	                 	                 	                 	                 	                 	                 	                 
6dFJ0626586-370559                      	  PGC628421      	 J062658.6-370558 	                 	                 	                 	                 	                 	                 	                 	0.68	0.075	0.34	0.028	47	                 
6dFJ2132022-334254                      	  PGC188965      	 J213202.2-334254 	 S0-a            	                 	                 	                 	                 	-1	2	0.66	0.074	0.295	0.186	31.82	                 
Ark120                                  	  UGC03271       	 J051611.4-000859 	 E               	                 	                 	                 	                 	-5	2	1.018	0.052	0.086	0.028	167.56	                 
ARK241                                  	  PGC030311      	 J102140.2-032714 	                 	                 	                 	                 	 C               	                 	                 	0.847	0.195	0	0.081	                 	                 
ARK347                                  	  NGC4074        	 J120429.7+201858 	 S0-a            	                 	 R               	                 	                 	0	2	0.743	0.204	0.258	0.061	109.72	                 
ARP102B                                 	  PGC060067      	 J171914.5+485849 	 E               	                 	                 	                 	 C               	-4.7	0.5	0.908	0.053	0.045	0.031	                 	                 
ARP151                                  	  PGC035129      	 J112536.1+542257 	 S0              	                 	                 	 M               	                 	-2.1	0.5	0.781	0.062	0.575	0.107	155.77	14.824
CenA                                    	  NGC5128        	 J132528.1-430105 	 S0              	                 	                 	 M               	                 	-2.1	0.6	2.413	0.014	0.117	0.036	33.25	12.565
CGCG102-048                             	  PGC048674      	 J134415.7+193400 	 Sa              	                 	                 	                 	                 	1.1	3	1.046	0.049	0.449	0.027	30.3	15.919
CGCG122-055                             	  PGC027720      	 J094204.8+234107 	 Sab             	                 	 R               	                 	                 	1.7	3	0.766	0.084	0.23	0.028	113.3	                 
CGCG229-015                             	  PGC062756      	 J190526.0+422740 	                 	                 	                 	                 	                 	                 	                 	0.78	0.065	0.29	0.028	41.5	                 
CGCG300-062                             	  PGC060746      	 J174317.4+625021 	 Sb              	                 	 R               	                 	                 	3.3	3	0.75	0.068	0.09	0.028	85	                 
CGCG312-012                             	  PGC026940      	 J092937.9+623238 	 E               	                 	 R               	                 	 C               	-5	2	0.667	0.268	0.007	0.059	                 	                 
CGCG319-007                             	  PGC054699      	 J151921.9+653440 	 Sb              	                 	                 	                 	                 	3.3	2.2	0.844	0.063	0.291	0.026	88.7	                 
CGCG341-006                             	  PGC062358      	 J184526.3+721101 	                 	                 	                 	                 	                 	                 	                 	0.687	0.08	0.41	0.028	10.5	                 
CGCG367-009                             	  PGC057855      	 J161919.1+810247 	                 	                 	                 	                 	                 	                 	                 	0.755	0.285	0.394	0.081	180	                 
CGCG420-015                             	  PGC016795      	 J050819.7+172148 	 S0-a            	                 	                 	 M               	                 	0.4	2.2	0.92	0.054	0.15	0.028	90	                 
CGCG420-015                             	  PGC016263      	 J045325.7+040342 	 E               	                 	                 	                 	                 	-5	2	                 	                 	                 	                 	35	                 
CGCG493-002                             	  PGC067084      	 J213833.4+320506 	 Sb              	                 	                 	                 	 C               	3	2	0.85	0.059	0.4	0.028	131	                 
CGCG535-012                             	  PGC002172      	 J003620.9+453953 	                 	                 	                 	                 	 C               	                 	                 	                 	                 	                 	                 	150	                 
ESO005-G004                             	  ESO005-004     	 J060541.7-863755 	 Sb              	                 	                 	                 	                 	2.8	0.7	1.569	0.023	0.691	0.024	93.2	12.922
ESO031-G008                             	  ESO031-008     	 J030735.3-725002 	 Sab             	                 	                 	                 	                 	2.1	2	0.844	0.06	0.137	0.029	158.14	                 
ESO033-G002                             	  ESO033-002     	 J045559.0-753228 	 S0              	 B               	                 	                 	                 	-2.1	1.3	0.971	0.046	0.046	0.029	175.13	                 
ESO103-035                              	  ESO103-035     	 J183820.4-652539 	 S0-a            	                 	                 	                 	                 	0.4	1.6	1.04	0.065	0.432	0.047	41.63	                 
ESO121-IG028                            	  ESO121-028     	 J062345.7-605843 	 S0-a            	 B               	                 	 M               	                 	-1	2	0.955	0.045	0.06	0.03	                 	                 
ESO137-34                               	  ESO137-034     	 J163514.0-580446 	 SABa            	 B               	                 	                 	                 	0.6	1.6	1.723	0.031	0.104	0.043	18.23	14.402
ESO139-G012                             	  ESO139-012     	 J173739.1-595627 	 Sbc             	                 	                 	                 	                 	3.7	1.1	1.137	0.071	0.083	0.049	27.11	14.461
ESO141-G055                             	  ESO141-055     	 J192114.1-584013 	 Sb              	                 	                 	                 	                 	3	2	0.944	0.066	0.191	0.037	70.8	                 
ESO157-G023                             	  ESO157-023     	 J042224.1-561332 	 SBc             	 B               	                 	                 	                 	5	0.5	1.053	0.037	0.31	0.028	137.57	                 
ESO195-IG021NED03                       	  PGC003607      	 J010034.9-475203 	                 	                 	                 	                 	                 	                 	                 	1.09	0.044	0.39	0.028	58.59	                 
ESO197-G027                             	  ESO197-027     	 J021052.5-494155 	 Sc              	                 	                 	                 	                 	5	2	0.951	0.04	0.422	0.034	72.72	                 
ESO198-024                              	  ESO198-024     	 J023819.7-521132 	 E               	                 	                 	                 	                 	-4	1.8	0.757	0.056	0.086	0.025	                 	                 
ESO209-G012                             	  ESO209-012     	 J080158.0-494642 	 Sa              	                 	                 	                 	                 	1	2	1.015	0.071	0.519	0.052	64.61	                 
ESO244-IG030                            	  ESO244-030     	 J012951.2-421936 	 SABb            	 B               	                 	 M               	                 	4	2	1.082	0.041	0.374	0.046	44.59	                 
ESO263-G013                             	  ESO263-013     	 J100948.2-424840 	 SABb            	 B               	                 	                 	                 	2.9	0.6	1.105	0.035	0.125	0.024	21.85	                 
ESO297-018                              	  ESO297-018     	 J013837.2-400041 	 Sa              	                 	                 	                 	                 	1.1	0.5	1.225	0.043	0.573	0.036	144.27	                 
ESO323-077                              	  ESO323-077     	 J130626.1-402452 	 S0              	 B               	 R               	                 	                 	-2	0.4	1.244	0.035	0.177	0.03	14.84	                 
