\                                                                               
\fixlen = T
\RowsRetrieved =               313
\ORIGIN  = 'IPAC Infrared Science Archive (IRSA), Caltech/JPL'
\DATETIME= '2015-01-19 21:50:04'
\DATABASE= '2MASS All-Sky Extended Source Catalog (XSC) (fp_xsc)'
\EQUINOX = 'J2000'
\ One to One Match 
\NOTE    = 'Column names with suffix _01 are from the input file Ubat_agn_coords_irsa.tbl.'
\NOTE    = 'Column cntr_01 is a sequential counter added to ID each row in the user input file Ubat_agn_coords_irsa.tbl.'
\NOTE    = 'dist_x is the distance in arcsec between each input source and its potential match in the 2MASS All-Sky Extended Source Catalog (XSC).'
\NOTE    = 'pang_x is position angle, measured eastward from north, between the input source and potential match in the 2MASS All-Sky Extended Source Catalog (XSC). 
\NOTE    = 'Output rows are ordered by increasing cntr_01, and for each cntr_01 by increasing dist_x.'
\StatusFile = '/workspace/TMP_Q6R7px_10946/Gator/irsa/11909/log.11909.html'
\SQL     = 'WHERE (no constraints) 
\SQL     = 'SELECT (31 column names follow in next row.)'
\Upload   = 'file=Ubat_agn_coords_irsa.tbl radius=6 unit=arcsec'
\ 
\ designation 
\ ___ source designation formed from sexigesimal coordinates
\ ra (deg) 
\ ___ right ascension (J2000 decimal deg) based on peak pixel
\ dec (deg) 
\ ___ declination (J2000 decimal deg) based on peak pixel
\ r_k20fe (arcsec) 
\ ___ 20mag/sq." isophotal K fiducial ell. ap. semi-major axis
\ j_m_k20fe (mag) 
\ ___ J 20mag/sq." isophotal fiducial ell. ap. magnitude
\ j_msig_k20fe (mag) 
\ ___ J 1-sigma uncertainty in 20mag/sq." iso.fid.ell.mag
\ j_flg_k20fe 
\ ___ J confusion flag for 20mag/sq." iso. fid. ell. mag
\ h_m_k20fe (mag) 
\ ___ H 20mag/sq." isophotal fiducial ell. ap. magnitude
\ h_msig_k20fe (mag) 
\ ___ H 1-sigma uncertainty in 20mag/sq." iso.fid.ell.mag
\ h_flg_k20fe 
\ ___ H confusion flag for 20mag/sq." iso. fid. ell. mag
\ k_m_k20fe (mag) 
\ ___ K 20mag/sq." isophotal fiducial ell. ap. magnitude
\ k_msig_k20fe (mag) 
\ ___ K 1-sigma uncertainty in 20mag/sq." iso.fid.ell.mag
\ k_flg_k20fe 
\ ___ K confusion flag for 20mag/sq." iso. fid. ell. mag
\ k_ba 
\ ___ K minor/major axis ratio fit to the 3-sigma isophote
\ k_phi (deg) 
\ ___ K angle to 3-sigma major axis (E of N)
\ sup_ba 
\ ___ minor/major axis ratio fit to 3-sig. super-coadd isophote
\ sup_phi (deg) 
\ ___ super-coadd angle to major axis (E of N)
\ r_ext (arcsec) 
\ ___ extrapolation/total radius
\ j_m_ext (mag) 
\ ___ J mag from fit extrapolation
\ j_msig_ext (mag) 
\ ___ J 1-sigma uncertainty in mag from fit extrapolation
\ h_m_ext (mag) 
\ ___ H mag from fit extrapolation
\ h_msig_ext (mag) 
\ ___ H 1-sigma uncertainty in mag from fit extrapolation
\ k_m_ext (mag) 
\ ___ K mag from fit extrapolation
\ k_msig_ext (mag) 
\ ___ K 1-sigma uncertainty in mag from fit extrapolation
\ cc_flg 
\ ___ indicates artifact contamination and/or confusion
\ 
|     cntr_01|         dist_x|         pang_x|          ra_01|         dec_01|      designation|        ra|       dec|r_k20fe|j_m_k20fe|j_msig_k20fe|j_flg_k20fe|h_m_k20fe|h_msig_k20fe|h_flg_k20fe|k_m_k20fe|k_msig_k20fe|k_flg_k20fe|   k_ba|k_phi|sup_ba|sup_phi|  r_ext|j_m_ext|j_msig_ext|h_m_ext|h_msig_ext|k_m_ext|k_msig_ext|cc_flg|
|         int|         double|         double|         double|         double|             char|    double|    double| double|   double|      double|        int|   double|      double|        int|   double|      double|        int| double|  int|double|    int| double| double|    double| double|    double| double|    double|  char|
|            |         arcsec|            deg|         degree|         degree|                 |       deg|       deg| arcsec|      mag|         mag|           |      mag|         mag|           |      mag|         mag|           |       |  deg|      |    deg| arcsec|    mag|       mag|    mag|       mag|    mag|       mag|      |
|        null|           null|           null|           null|           null|             null|      null|      null|   null|     null|        null|       null|     null|        null|       null|     null|        null|       null|   null| null|  null|   null|   null|   null|      null|   null|      null|   null|      null|  null|
            1        0.213881      -83.449088       70.475417       -8.442778  04415408-0826339  70.475357  -8.442771     6.7    14.128        0.050           0    13.360        0.057           0    12.700        0.070           0     0.8   -20  0.780     -20   14.40  14.042      0.077  13.331      0.094  12.635      0.096      0 
            2        2.059152     -100.305527       73.020833       49.545833  04520479+4932446  73.019966  49.545731    12.7    12.540        0.031           0    11.563        0.033           0    10.782        0.030           0     0.7    15  0.720      20   33.02  12.264      0.043  11.354      0.042  10.704      0.037      0 
            3            null            null      265.480417      -12.199167              null       null       null    null      null         null        null      null         null        null      null         null        null    null  null   null    null    null    null       null    null       null    null       null   null 
            4            null            null      119.923750      -38.732500              null       null       null    null      null         null        null      null         null        null      null         null        null    null  null   null    null    null    null       null    null       null    null       null   null 
            5            null            null      267.229583      -32.914444              null       null       null    null      null         null        null      null         null        null      null         null        null    null  null   null    null    null    null       null    null       null    null       null   null 
            6            null            null      270.697083      -14.915278              null       null       null    null      null         null        null      null         null        null      null         null        null    null  null   null    null    null    null       null    null       null    null       null   null 
            7        0.335237       27.258798        6.387083       68.362222  00253292+6821442   6.387199  68.362305    33.9    11.412        0.027           3    10.447        0.028           1    10.045        0.034           3     0.5   -80  0.620     -85   50.43  11.336      0.031  10.361      0.026   9.928      0.033      0 
            8        1.037220     -113.500584       16.688750        6.633889  01064523+0638015  16.688484   6.633774     9.6    13.221        0.036           0    12.477        0.039           0    12.306        0.072           0     0.8   -55  0.960     -30   26.52  12.876      0.048  12.036      0.047  11.993      0.092      0 
            9        0.565948       65.445153       16.915000      -11.653333  01073963-1139117  16.915146 -11.653268    14.8    12.940        0.029           0    12.146        0.034           0    11.761        0.051           0     0.4    25  0.340      30   26.40  12.829      0.036  11.982      0.037  11.678      0.052      0 
           10        0.691672     -160.010244       52.717500        5.640556  03305218+0538253  52.717434   5.640375     6.5    13.914        0.069           0    13.181        0.073           0    12.477        0.076           0     1.0    15  0.700      15   19.53  13.782      0.118  12.943      0.119  12.074      0.088      0 
           11        0.608684      112.689534       53.602083      -15.227778  03342453-1513402  53.602245 -15.227843     8.6    13.126        0.027           0    12.352        0.035           0    11.933        0.045           0     0.7   -85  0.740     -75   17.74  12.987      0.032  12.316      0.044  11.876      0.049      0 
           12        0.579765      -20.344244       57.599167      -50.310000  03502377-5018354  57.599079 -50.309849     9.6    13.510        0.050           2    12.681        0.059           2    12.448        0.082           2     0.8    45  0.740      35   22.38  13.381      0.074  12.405      0.072  12.197      0.098      0 
           13        0.844276      -33.208364       58.427083       37.235278  03534246+3714077  58.426922  37.235474    11.9    12.499        0.027           3    11.617        0.037           3    11.259        0.038           3     0.8    65  0.680      75   21.83  12.354      0.030  11.515      0.043  11.171      0.035      0 
           14        0.338650     -134.366810       58.539583        2.825278  03540948+0249307  58.539516   2.825212     6.6    13.894        0.057           0    12.950        0.051           0    12.191        0.056           0     0.7   -20  0.720       5   15.64  13.624      0.070  12.695      0.062  12.147      0.069      0 
           15        0.252474      155.642246       65.920000        4.133889  04234080+0408017  65.920029   4.133825    12.3    14.064        0.077           3    13.352        0.082           3    12.408        0.085           3     0.4    50  0.720      50   22.30  13.678      0.086  13.341      0.136  12.213      0.091      0 
           16        0.766047      147.991380       71.037500       28.216944  04440903+2813003  71.037628  28.216764    35.5    10.969        0.023           3    10.004        0.025           3     9.577        0.028           3     0.6    55  0.620      55   52.76  10.884      0.023   9.913      0.023   9.471      0.026      0 
           17        0.596801       91.920605       75.537500        3.530556  05020903+0331499  75.537666   3.530550    12.1    12.616        0.045           0    11.855        0.051           0    11.592        0.073           0     0.8   -60  0.760     -55   22.21  12.530      0.054  11.756      0.056  11.486      0.073      0 
           18        0.697347       86.184554       76.440417      -23.853889  05054575-2351139  76.440628 -23.853876     6.6    14.168        0.059           0    13.309        0.056           0    12.500        0.067           0     0.8    70  0.900      75   15.94  13.771      0.070  13.050      0.075  12.423      0.088      0 
           19        1.018548       47.204055       89.508333      -38.334722  05580206-3820043  89.508598 -38.334530    11.1    11.992        0.022           0    10.995        0.022           0     9.928        0.015           0     0.7   -45  0.540     -45   20.99  11.861      0.024  10.928      0.021   9.910      0.014      0 
           20        1.041957      127.841224      100.325000       32.825556  06411806+3249313 100.325272  32.825378     6.5    14.405        0.066           3    13.587        0.072           3    12.980        0.077           3     0.8   -40  1.000      90   19.61  14.012      0.095  13.533      0.150  12.858      0.134      0 
           21        0.253952      -73.902062      104.050000      -49.330556  06561197-4919499 104.049896 -49.330536    15.7    12.621        0.028           3    11.899        0.034           3    11.561        0.052           3     0.5   -80  0.420     -80   26.70  12.441      0.031  11.806      0.037  11.444      0.049      0 
           22        0.766431      -46.291568      111.610000      -35.906111  07262635-3554214 111.609810 -35.905964    27.2    11.205        0.028           1    10.383        0.034           3     9.999        0.045           3     0.7    -5  0.760      -5   41.68  11.072      0.028  10.217      0.029   9.871      0.041      0 
           23        0.357108      -59.060671      119.972917       23.390000  07595347+2323241 119.972824  23.390051    21.1    11.562        0.017           3    10.764        0.024           3    10.329        0.026           3     0.5    10  0.540      10   33.83  11.457      0.019  10.657      0.023  10.275      0.024      0 
           24        0.606156      -58.800651      120.864167        8.697778  08032736+0841523 120.864021   8.697865     8.8    13.286        0.040           0    12.578        0.058           0    12.130        0.057           0     0.9    25  0.880      45   18.91  13.124      0.050  12.356      0.068  11.990      0.066      0 
           25        0.080761       -9.745235      135.655417      -48.226111  09023729-4813339 135.655411 -48.226089    11.9    15.052        0.208           2    12.988        0.084           2    12.053        0.085           2     0.6    25  0.560      30   21.96  15.000      0.379  12.908      0.117  11.946      0.091      0 
           26        0.912644      118.593600      136.153750       55.600833  09043699+5536025 136.154144  55.600712     6.9    13.998        0.050           3    13.097        0.055           3    12.597        0.063           3     0.8    45  0.900      65   16.56  13.545      0.054  12.642      0.059  12.380      0.078      0 
           27        0.494889       18.401418      140.973750      -31.691944  09235371-3141305 140.973801 -31.691814    13.0    13.072        0.059           0    12.282        0.060           0    11.853        0.080           0     0.7   -15  0.680      -5   23.33  13.057      0.080  12.094      0.066  11.707      0.080      0 
           28        0.274010        5.368203      141.447917       69.464722  09254750+6927532 141.447937  69.464798     9.1    13.453        0.044           0    12.561        0.052           0    11.939        0.055           0     0.9    85  0.740      -5   17.32  13.275      0.054  12.379      0.060  11.803      0.057      0 
           29        0.789764     -142.622606      144.026250      -65.809167  09360622-6548336 144.025925 -65.809341     8.6    13.756        0.052           0    13.067        0.052           0    12.590        0.079           0     0.7   -20  0.740       5   15.87  13.722      0.074  13.044      0.076  12.443      0.092      0 
           30        0.431602      114.066277      149.927500      -31.216111  09594263-3112581 149.927628 -31.216160    13.0    12.740        0.047           0    11.863        0.054           0    11.105        0.056           3     0.9    50  0.580      85   38.30  12.588      0.096  11.548      0.086  10.875      0.079      0 
           31        1.983299     -103.233157      160.093750      -46.423889  10402231-4625264 160.092972 -46.424015    19.2    11.611        0.024           0    10.844        0.028           0    10.440        0.037           0     0.6    80  0.660      90   31.41  11.445      0.025  10.683      0.026  10.381      0.033      0 
           32        1.201924      -31.901392      176.418750      -18.454444  11454045-1827149 176.418564 -18.454161    10.2    12.869        0.033           0    12.154        0.040           0    11.648        0.059           0     0.9    70  0.680      65   30.48  12.758      0.064  11.793      0.057  11.369      0.079      0 
           33        0.464878      131.100214      180.241250        6.806389  12005792+0648226 180.241348   6.806304    15.7    12.329        0.035           0    11.610        0.043           0    11.217        0.064           0     0.6    40  0.560      40   27.00  12.154      0.037  11.472      0.043  11.098      0.057      0 
           34        0.267603      -76.605404      187.905000      -47.967222  12313717-4758019 187.904892 -47.967205    15.2    12.360        0.036           3    11.586        0.044           3    11.148        0.060           3     0.6   -35  0.940      70   27.15  12.224      0.049  11.520      0.049  11.029      0.054      0 
           35        0.762877       74.957043      188.464167      -21.062500  12335145-2103448 188.464386 -21.062445     7.2    13.626        0.037           3    12.876        0.040           3    12.425        0.062           3     0.7   -50  0.880     -35   21.69  13.334      0.052  12.727      0.065  12.356      0.099      0 
           36        0.339240       85.130045      191.990833      -58.500000  12475784-5829599 191.991013 -58.499992     9.9    12.967        0.059           3    12.138        0.055           3    11.724        0.068           3     0.6   -70  0.600     -85   19.22  12.933      0.075  12.004      0.061  11.677      0.072      0 
           37        0.416106      -45.357029      205.303750      -14.644722  13411287-1438407 205.303665 -14.644641    18.4    12.250        0.029           0    11.463        0.037           0    10.771        0.048           0     0.6   -50  0.600     -65   32.74  12.121      0.033  11.412      0.042  10.648      0.043      0 
           38        0.479479       68.312085      207.872917      -18.229722  13512953-1813468 207.873047 -18.229673     7.4    12.890        0.025           0    12.138        0.039           0    11.663        0.045           0     0.8    15  0.780     -10   14.56  12.719      0.028  11.944      0.040  11.570      0.044      0 
           39        0.807329      -68.736261      212.028333      -30.398333  14080674-3023537 212.028091 -30.398252     6.8    13.879        0.050           0    13.107        0.055           0    12.500        0.069           0     0.9   -40  0.940     -30   12.27  13.731      0.065  13.040      0.078  12.419      0.084      0 
           40        0.616604      109.676038      223.282917       25.909167  14530794+2554327 223.283096  25.909109     8.6    13.823        0.047           0    12.988        0.049           0    12.457        0.061           0     0.6   -15  0.700     -20   16.63  13.807      0.071  12.978      0.073  12.357      0.072      0 
           41        0.579074       33.081934      226.683750        3.862222  15064412+0351444 226.683838   3.862357    10.5    13.412        0.042           1    12.689        0.042           1    12.428        0.090           1     0.6     0  0.640       5   20.28  13.128      0.047  12.410      0.047  12.283      0.104      0 
           42        0.411636       -2.661731      227.999167      -21.317222  15115979-2119015 227.999161 -21.317108    12.2    12.271        0.023           1    11.434        0.026           3    10.678        0.026           3     0.9   -30  0.780      90   22.25  12.206      0.027  11.339      0.027  10.620      0.024      0 
           43        0.395442      -49.120631      236.601250       69.486111  15462424+6929102 236.601013  69.486183    12.9    12.775        0.027           0    12.022        0.032           0    11.739        0.053           0     0.4    85  0.360      85   29.30  12.665      0.036  11.776      0.039  11.673      0.062      0 
           44        0.829614      -74.537385      252.063750      -30.584444  16481523-3035037 252.063492 -30.584383    10.8    12.656        0.050           3    11.879        0.051           3    11.398        0.059           3     0.8   -55  0.720     -65   23.48  12.561      0.066  11.606      0.053  11.337      0.069      0 
           45        0.453534     -129.421226      284.282500      -78.472500  18570768-7828212 284.282013 -78.472580    14.5    12.397        0.038           0    11.536        0.052           0    10.896        0.050           0     0.8   -40  0.560     -45   31.75  12.079      0.044  11.329      0.059  10.880      0.058      0 
           46        0.307622      -12.087709      294.387500       -6.218056  19373299-0613046 294.387482  -6.217972    19.8    11.014        0.020           1    10.230        0.025           1     9.740        0.026           1     0.9    10  0.860      85   32.06  10.880      0.020  10.141      0.024   9.666      0.025      0 
           47        0.381064      -42.621352      294.518333      -51.163889  19380437-5109497 294.518219 -51.163811    12.3    13.271        0.063           0    12.563        0.085           0    12.023        0.086           0     0.8   -10  0.620     -10   36.45  12.762      0.093  12.103      0.126  11.633      0.118      0 
           48        0.842622      118.401332      300.232083      -18.174167  20005575-1810274 300.232300 -18.174278    12.1    12.302        0.024           0    11.243        0.024           0    10.272        0.022           0     0.8     0  0.680       0   25.73  12.177      0.030  11.111      0.026  10.245      0.025      0 
           49        0.463838        2.976563      302.572500       48.005833  20101740+4800214 302.572510  48.005962    15.9    12.762        0.043           3    11.993        0.053           3    11.477        0.060           3     0.6    40  0.520      55   28.06  12.600      0.049  11.883      0.059  11.332      0.056      0 
           50        0.427442       24.930877      304.661250       40.683333  20183871+4041003 304.661316  40.683441    18.6    13.004        0.108           3    11.492        0.076           3    10.709        0.074           3     0.8    40  0.740      50   30.72  12.988      0.150  11.402      0.081  10.594      0.065      0 
           51        0.637915      -64.840921      317.291667       -9.670833  21090996-0940147 317.291504  -9.670758    18.3    12.140        0.036           4    11.346        0.045           4    10.583        0.040           4     0.6   -65  0.680     -55   36.84  12.117      0.050  11.325      0.055  10.460      0.039      0 
           52        0.264925     -167.264856      323.975000       47.472778  21355399+4728217 323.974976  47.472706    13.1    12.873        0.046           3    11.987        0.050           3    11.458        0.053           3     0.5    65  0.420      65   23.57  12.792      0.056  11.873      0.054  11.401      0.052      0 
           53        0.876419      -54.543900      351.841667       15.410278  23272195+1524375 351.841461  15.410419    13.9    12.334        0.028           0    11.594        0.033           0    11.096        0.054           0     0.8    -5  0.740       5   25.68  12.081      0.039  11.382      0.032  10.975      0.049      0 
           54        0.281077     -177.455153       42.677500       54.705000  02504259+5442177  42.677494  54.704922    28.5    12.021        0.029           3    11.036        0.032           3    10.595        0.035           3     0.3   -35  0.280     -35   43.62  11.932      0.038  10.927      0.029  10.510      0.030      0 
           55        0.771416     -103.953203       64.588750       38.026667  04182123+3801358  64.588486  38.026615    10.3    13.805        0.069           0    12.573        0.061           0    11.650        0.050           0     0.9    85  0.800      20   30.82  13.633      0.142  12.540      0.129  11.383      0.066      0 
           56        0.926496     -149.806292       68.296250        5.354444  04331106+0521151  68.296120   5.354222    16.8    11.930        0.029           0    11.087        0.030           0    10.241        0.029           0     0.6   -60  0.640     -60   35.13  11.692      0.032  10.943      0.032  10.194      0.031      0 
