|     cntr_01|	dist_x|	pang_x|	ra_01|	dec_01|	designation|	ra|	dec|	r_k20fe|	j_m_k20fe|	j_msig_k20fe|	j_flg_k20fe|	h_m_k20fe|	h_msig_k20fe|	h_flg_k20fe|	k_m_k20fe|	k_msig_k20fe|	k_flg_k20fe|	k_ba|	k_phi|	sup_ba|	sup_phi|	r_ext|	j_m_ext|	j_msig_ext|	h_m_ext|	h_msig_ext|	k_m_ext|	k_msig_ext|	cc_flg|
|         int|	double|	double|	double|	double|	char|	double|	double|	double|	double|	double|	int|	double|	double|	int|	double|	double|	int|	double|	int|	double|	int|	double|	double|	double|	double|	double|	double|	double|	char|
|            |	arcsec|	deg|	degree|	degree|	|	deg|	deg|	arcsec|	mag|	mag|	|	mag|	mag|	|	mag|	mag|	|	|	deg|	|	deg|	arcsec|	mag|	mag|	mag|	mag|	mag|	mag|	|
|        null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|
1	0.213881	-83.449088	70.475417	-8.442778	04415408-0826339	70.475357	-8.442771	6.7	14.128	0.05	0	13.36	0.057	0	12.7	0.07	0	0.8	-20	0.78	-20	14.4	14.042	0.077	13.331	0.094	12.635	0.096	0
2	2.059152	-100.305527	73.020833	49.545833	04520479+4932446	73.019966	49.545731	12.7	12.54	0.031	0	11.563	0.033	0	10.782	0.03	0	0.7	15	0.72	20	33.02	12.264	0.043	11.354	0.042	10.704	0.037	0
3	null	null	265.480417	-12.199167	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
4	null	null	119.92375	-38.7325	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
5	null	null	267.229583	-32.914444	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
6	null	null	270.697083	-14.915278	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
7	0.335237	27.258798	6.387083	68.362222	00253292+6821442	6.387199	68.362305	33.9	11.412	0.027	3	10.447	0.028	1	10.045	0.034	3	0.5	-80	0.62	-85	50.43	11.336	0.031	10.361	0.026	9.928	0.033	0
8	1.03722	-113.500584	16.68875	6.633889	01064523+0638015	16.688484	6.633774	9.6	13.221	0.036	0	12.477	0.039	0	12.306	0.072	0	0.8	-55	0.96	-30	26.52	12.876	0.048	12.036	0.047	11.993	0.092	0
9	0.565948	65.445153	16.915	-11.653333	01073963-1139117	16.915146	-11.653268	14.8	12.94	0.029	0	12.146	0.034	0	11.761	0.051	0	0.4	25	0.34	30	26.4	12.829	0.036	11.982	0.037	11.678	0.052	0
10	0.691672	-160.010244	52.7175	5.640556	03305218+0538253	52.717434	5.640375	6.5	13.914	0.069	0	13.181	0.073	0	12.477	0.076	0	1	15	0.7	15	19.53	13.782	0.118	12.943	0.119	12.074	0.088	0
11	0.608684	112.689534	53.602083	-15.227778	03342453-1513402	53.602245	-15.227843	8.6	13.126	0.027	0	12.352	0.035	0	11.933	0.045	0	0.7	-85	0.74	-75	17.74	12.987	0.032	12.316	0.044	11.876	0.049	0
