name,ra,dec,objid,distance,Column1,run,rerun,camcol,field,type,petroRad_u,petroMag_u,petroMagErr_u,petroRad_g,petroMag_g,petroMagErr_g,petroRad_r,petroMag_r,petroMagErr_r,petroRad_i,petroMag_i,petroMagErr_i,petroRad_z,petroMag_z,petroMagErr_z
2MASXJ01064523+0638015,16.68875,6.633889,1.23767E+18,0.00919859,1.23767E+18,5656,301,2,126,3,7.17863,17.59337,0.06213571,11.81971,15.50938,0.004337016,13.41296,14.82905,0.003633302,14.6872,14.35234,0.003477438,11.07181,14.20604,0.01070348
2MASXJ03305218+0538253,52.7175,5.640555,1.23767E+18,0.010739958,1.23767E+18,6485,301,2,44,3,2.01249,16.98841,0.009117907,1.882728,16.21383,0.003751197,2.385046,15.92638,0.004682307,1.877005,15.50098,0.004439933,2.26675,15.31783,0.007391623
2MASXJ03534246+3714077,58.42708,37.23528,1.23766E+18,0.008481804,1.23766E+18,3629,301,2,119,3,258.4055,17.7054,0.0436537,8.42419,16.06512,0.01078425,8.506751,14.95366,0.01174752,8.385477,14.43145,0.01029171,7.613851,13.96677,0.01001455
2MASXJ07595347+2323241,119.9729,23.39,1.23766E+18,0.004739864,1.23766E+18,3605,301,4,72,3,15.02242,15.93174,0.01652441,15.73299,14.36484,0.008822118,15.23019,13.59007,0.008117223,15.16609,13.14968,0.009291257,14.27099,12.80782,0.01037502
2MASXJ08032736+0841523,120.8642,8.697778,1.23767E+18,0.006717662,1.23767E+18,6004,301,5,33,3,11.32643,17.55718,0.03712728,11.78106,15.85809,0.004756986,11.08789,15.09377,0.02150632,10.8522,14.65821,0.004401835,10.62999,14.41618,0.008023912
2MASXJ09043699+5536025,136.1537,55.60083,1.23765E+18,0.008714116,1.23765E+18,1345,301,5,194,3,1.763497,17.03825,0.01110761,2.458671,16.39806,0.01514781,2.706291,15.92432,0.02059067,2.880152,15.62039,0.02283758,2.991483,15.42371,0.02633541
2MASXJ12005792+0648226,180.2413,6.806389,1.23767E+18,0.008776162,1.23767E+18,5976,301,3,239,3,8.295497,16.64954,0.03012267,11.83968,15.02748,0.01066885,12.19678,14.23996,0.01081983,13.42287,13.77151,0.01433903,11.41965,13.5121,0.01503969
2MASXJ14530794+2554327,223.2829,25.90917,1.23767E+18,0.006389632,1.23767E+18,4588,301,2,114,3,2.013354,17.77557,0.02352587,3.194198,16.71043,0.02364978,3.481064,15.99222,0.02281971,3.3607,15.55361,0.02216255,3.685828,15.28775,0.02289423
2MASXJ15064412+0351444,226.6837,3.862222,1.23765E+18,0.010508747,1.23765E+18,1478,301,4,124,3,1.807169,19.55453,0.1441021,2.298686,17.63754,0.04496438,2.896488,16.2771,0.01908839,3.051865,15.82502,0.01645697,2.309541,15.9462,0.04037749
2MASXJ21090996-0940147,317.2917,-9.670834,1.23767E+18,0.007825119,1.23767E+18,4822,301,3,126,3,1.610714,14.77931,0.01302553,1.754831,14.52579,0.01904298,1.696625,13.92189,0.01145747,1.922091,13.97483,0.01795494,2.099962,13.76294,0.08134283
2MASXJ23272195+1524375,351.8417,15.41028,1.23765E+18,0.010143362,1.23765E+18,1739,301,5,250,3,2.552132,16.80138,0.02638296,11.68354,15.20696,0.005976012,10.86249,14.35169,0.005638775,10.83673,13.8732,0.005401064,6.490829,13.72278,0.007830801
Ark120,79.0475,-0.1497222,1.23765E+18,0.003853832,1.23765E+18,259,301,3,484,3,1.216315,14.07898,0.002637989,2.736561,12.66215,0.001448276,4.171494,11.96523,0.001463354,6.493383,13.64026,0.01059708,1.948664,12.97147,0.007174921
ARK347,181.1237,20.31611,1.23767E+18,0.013692012,1.23767E+18,5225,301,4,111,3,11.91466,16.38469,0.03471468,11.4946,14.67539,0.01916998,10.92218,13.87441,0.01789455,11.05929,13.46561,0.01794471,9.358276,13.18867,0.01320947
ARP151,171.4008,54.3825,1.23766E+18,0.007032012,1.23766E+18,3103,301,4,104,3,2.466822,17.38261,0.02396147,3.799041,16.00958,0.01284286,3.981624,15.22742,0.01162816,4.153516,14.92423,0.01167916,3.740712,14.64041,0.01061371
CGCG102-048,206.0654,19.56667,1.23767E+18,0.008756762,1.23767E+18,5308,301,5,94,3,2.970016,17.02875,0.1109578,13.18797,15.31389,0.06561223,11.12538,14.42441,0.05843532,10.97483,13.94922,0.05816985,9.746245,13.66463,0.0398796
CGCG122-055,145.52,23.68528,1.23767E+18,0.002585842,1.23767E+18,5061,301,3,211,3,1.942903,16.30512,0.02262062,7.943651,14.99879,0.0373227,8.182837,14.31954,0.03695113,8.707172,13.99018,0.03680662,7.89436,13.7278,0.03382321
CGCG300-062,265.8225,62.83917,1.23766E+18,0.00169529,1.23766E+18,2582,301,4,176,3,15.36839,16.73616,0.0308833,14.09642,15.39571,0.1171826,13.03532,14.78201,0.06470431,13.2773,14.39862,0.02737523,11.25503,14.31892,0.2338652
CGCG312-012,142.4079,62.54417,1.23766E+18,0.006885474,1.23766E+18,4208,301,1,234,3,8.947453,16.69041,0.01585865,8.781691,14.88811,0.003104931,8.319614,14.03576,0.002880234,8.690872,13.66043,0.002914926,8.344538,13.3599,0.004431556
CGCG319-007,229.8904,65.59972,1.23767E+18,0.00891135,1.23767E+18,4682,301,3,23,3,11.23447,16.89092,0.03289711,15.12953,15.06788,0.01705919,12.03318,14.40332,0.01150176,14.91235,13.83625,0.01491356,11.19143,13.63209,0.01054603
Fairall272,125.7546,-4.934722,1.23767E+18,0.011993657,1.23767E+18,6574,301,5,52,3,11.67303,16.70285,0.08613596,16.42383,14.9922,0.08683988,15.75933,14.21891,0.05914119,15.35702,13.80994,0.04441698,13.51287,13.49889,0.03567832
IC0486,120.0875,26.61361,1.23766E+18,0.0039283,1.23766E+18,2888,301,3,73,3,12.77354,15.83455,0.02048223,16.25567,14.16297,0.003872764,15.53645,13.38221,0.003011947,15.6575,13.01459,0.002859854,12.80449,12.81191,0.003565529
