cntr_01	dist_x	pang_x	ra_01	dec_01	designation	ra	dec	w1mpro	w1sigmpro	w1snr	w1rchi2	w2mpro	w2sigmpro	w2snr	w2rchi2	w3mpro	w3sigmpro	w3snr	w3rchi2	w4mpro	w4sigmpro	w4snr	w4rchi2	ext_flg	w1rsemi	w1ba	w1pa	w1gmag	w1gerr	w1gflg	w2rsemi	w2ba	w2pa	w2gmag	w2gerr	w2gflg	w3rsemi	w3ba	w3pa	w3gmag	w3gerr	w3gflg	w4rsemi	w4ba	w4pa	w4gmag	w4gerr	w4gflg
1	0.463405	-76.944493	70.475417	-8.442778	J044154.06-082633.8	70.4752899	-8.4427487	11.516	0.023	46.7	1.056	10.756	0.021	52.6	0.9848	7.873	0.018	58.7	1.006	5.344	0.032	33.5	1.008	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
2	2.266507	-93.18009	73.020833	49.545833	J045204.76+493244.8	73.0198645	49.5457984	10.356	0.022	49.3	4.094	9.413	0.021	52.1	1.353	6.412	0.015	70.9	1.694	4.129	0.018	60.3	0.8271	5	13.7	0.79	20	10.44	0.006	1	13.7	0.79	20	9.526	0.006	1	13.7	0.79	20	6.835	0.007	1	18.65	0.89	20	4.596	0.013	1
3	0.736967	-50.624505	265.480417	-12.199167	J174155.26-121156.5	265.4802548	-12.1990368	9.853	0.02	55.7	5.614	8.916	0.019	57.2	1.867	6.115	0.014	75.1	1.127	3.785	0.017	62.3	0.8481	1	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
4	1.722874	56.434637	119.92375	-38.7325	J075941.82-384356.0	119.9242612	-38.7322354	9.8	0.023	46.5	1.16	8.836	0.021	52.7	2.016	6.292	0.015	74.2	1.111	4.158	0.024	45.6	0.8352	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
5	0.561158	123.071599	267.229583	-32.914444	J174855.13-325452.3	267.2297389	-32.9145295	12.105	0.112	9.7	1.683	11.472	0.073	14.9	1.254	8.417	0.035	30.8	1.228	6.087	0.059	18.5	1.16	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
6	1.297865	76.317132	270.697083	-14.915278	J180247.38-145454.6	270.6974458	-14.9151925	9.622	0.022	48.3	11.67	8.91	0.021	51.8	2.677	6.261	0.017	63.7	1.601	4.046	0.026	42.2	1.365	1	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
7	3.047003	-72.52271	6.387083	68.362222	J002532.37+682144.9	6.3848939	68.3624764	10.259	0.022	49.7	49.060001	9.541	0.019	57.3	10.42	6.498	0.017	64.2	5.26	4.159	0.025	43.4	1.426	5	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
8	0.573132	-84.734219	16.68875	6.633889	J010645.26+063802.0	16.6885904	6.6339035	11.919	0.024	45.3	11.42	10.971	0.022	50.2	2.028	7.161	0.017	65.5	1.65	4.526	0.02	53.8	1.005	1	10.88	0.97	-30	11.886	0.007	0	10.88	0.97	-30	11.101	0.008	0	10.88	0.97	-30	7.687	0.011	0	15.16	0.99	-30	5.181	0.016	1
9	1.072434	28.728238	16.915	-11.653333	J010739.63-113911.0	16.9151462	-11.6530721	11.523	0.022	49.4	17.52	10.572	0.021	51.9	3.269	7.044	0.02	53.9	2.927	4.331	0.025	42.6	1.134	5	15.48	0.49	30	11.511	0.006	0	15.48	0.49	30	10.722	0.009	0	15.48	0.49	30	7.671	0.01	0	23.65	0.7	30	4.715	0.017	1
10	0.525644	-133.742736	52.7175	5.640556	J033052.17+053825.6	52.717394	5.6404546	11.543	0.023	46.7	1.072	10.361	0.021	50.6	1.096	6.64	0.016	68.6	1.34	3.809	0.019	55.8	0.8416	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
