#Name	cntr_01	dist_x	pang_x	ra_01	dec_01	designation	ra	dec	w1mpro	w1sigmpro	w1rchi2	w2mpro	w2sigmpro	w2rchi2	w3mpro	w3sigmpro	w3rchi2	w4mpro	w4sigmpro	w4rchi2	cc_flags	ext_flg	ph_qual	w1mag	w1sigm	w1flg	w1mcor	w2mag	w2sigm	w2flg	w2mcor	w3mag	w3sigm	w3flg	w3mcor	w4mag	w4sigm	w4flg	w4mcor	w1mag_1	w1sigm_1	w1flg_1	w2mag_1	w2sigm_1	w2flg_1	w3mag_1	w3sigm_1	w3flg_1	w4mag_1	w4sigm_1	w4flg_1	w1mag_2	w1sigm_2	w1flg_2	w2mag_2	w2sigm_2	w2flg_2	w3mag_2	w3sigm_2	w3flg_2	w4mag_2	w4sigm_2	w4flg_2	w1mag_3	w1sigm_3	w1flg_3	w2mag_3	w2sigm_3	w2flg_3	w3mag_3	w3sigm_3	w3flg_3	w4mag_3	w4sigm_3	w4flg_3	w1mag_4	w1sigm_4	w1flg_4	w2mag_4	w2sigm_4	w2flg_4	w3mag_4	w3sigm_4	w3flg_4	w4mag_4	w4sigm_4	w4flg_4	w1mag_5	w1sigm_5	w1flg_5	w2mag_5	w2sigm_5	w2flg_5	w3mag_5	w3sigm_5	w3flg_5	w4mag_5	w4sigm_5	w4flg_5	w1mag_6	w1sigm_6	w1flg_6	w2mag_6	w2sigm_6	w2flg_6	w3mag_6	w3sigm_6	w3flg_6	w4mag_6	w4sigm_6	w4flg_6	w1mag_7	w1sigm_7	w1flg_7	w2mag_7	w2sigm_7	w2flg_7	w3mag_7	w3sigm_7	w3flg_7	w4mag_7	w4sigm_7	w4flg_7	w1mag_8	w1sigm_8	w1flg_8	w2mag_8	w2sigm_8	w2flg_8	w3mag_8	w3sigm_8	w3flg_8	w4mag_8	w4sigm_8	w4flg_8	xscprox	w1rsemi	w1ba	w1pa	w1gmag	w1gerr	w1gflg	w2rsemi	w2ba	w2pa	w2gmag	w2gerr	w2gflg	w3rsemi	w3ba	w3pa	w3gmag	w3gerr	w3gflg	w4rsemi	w4ba	w4pa	w4gmag	w4gerr	w4gflg
1RXSJ044154.5-082639	1	0.425436	-85.302545	70.475417	-8.442778	J044154.07-082633.9	70.4752976	-8.4427681	11.612	0.023	2.198	10.827	0.021	1.297	7.884	0.022	0.7648	5.364	0.039	0.8771	0	0	AAAA	11.626	0.006	0	0.261	10.841	0.007	0	0.319	7.867	0.013	0	0.825	5.331	0.029	1	0.576	12.268	0.006	0	11.603	0.007	0	9.284	0.016	0	6.401	0.031	1	11.887	0.006	0	11.16	0.007	0	8.692	0.013	0	5.907	0.029	1	11.748	0.006	0	10.991	0.007	0	8.371	0.013	0	5.614	0.03	1	11.691	0.006	0	10.924	0.007	0	8.195	0.013	0	5.459	0.034	1	11.659	0.006	1	10.889	0.008	17	8.1	0.014	1	5.384	0.039	1	11.633	0.007	1	10.864	0.009	17	8.048	0.016	1	5.343	0.046	1	11.597	0.007	1	10.836	0.009	17	8.019	0.018	1	5.321	0.055	1	11.533	0.007	1	10.796	0.01	17	8.002	0.02	1	5.295	0.064	1	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
1RXSJ045205.0+493248	2	2.280512	-93.658877	73.020833	49.545833	J045204.76+493244.8	73.019859	49.5457929	10.419	0.022	4.949	9.465	0.021	2.027	6.405	0.015	1.755	4.116	0.018	0.7541	0d00	5	AAAA	10.456	0.006	0	0.261	9.481	0.006	0	0.319	6.416	0.007	0	0.825	4.075	0.013	1	0.576	11.135	0.006	0	10.259	0.006	0	7.851	0.008	0	5.151	0.014	1	10.717	0.006	0	9.8	0.006	0	7.241	0.007	0	4.651	0.013	1	10.54	0.006	1	9.615	0.006	1	6.902	0.007	1	4.362	0.013	1	10.451	0.006	1	9.534	0.006	1	6.708	0.007	1	4.215	0.015	1	10.395	0.006	1	9.491	0.006	1	6.596	0.007	1	4.151	0.018	17	10.35	0.006	1	9.461	0.006	1	6.531	0.007	1	4.119	0.021	17	10.306	0.006	1	9.437	0.006	1	6.493	0.008	1	4.104	0.025	17	10.258	0.006	1	9.414	0.006	17	6.469	0.008	1	4.096	0.03	17	0.33	13.7	0.79	20	10.499	0.006	1	13.7	0.79	20	9.576	0.006	1	13.7	0.79	20	6.813	0.007	1	18.65	0.89	20	4.584	0.013	1
2E1739.1-1210	3	0.772955	-54.438581	265.480417	-12.199167	J174155.25-121156.5	265.480238	-12.1990418	9.79	0.02	5.851	8.894	0.019	2.12	6.113	0.015	1.06	3.779	0.019	0.7432	h000	1	AAAA	9.88	0.006	1	0.261	8.945	0.006	1	0.319	6.122	0.007	1	0.825	3.811	0.013	1	0.576	10.574	0.006	0	9.734	0.006	0	7.553	0.008	0	4.899	0.013	1	10.141	0.006	1	9.264	0.006	1	6.947	0.007	1	4.387	0.013	1	9.921	0.006	1	9.058	0.006	1	6.613	0.007	1	4.085	0.013	1	9.741	0.006	1	8.939	0.006	1	6.422	0.007	1	3.925	0.014	17	9.578	0.006	1	8.848	0.006	1	6.312	0.008	1	3.854	0.017	17	9.457	0.006	1	8.779	0.006	1	6.246	0.008	1	3.825	0.02	17	9.384	0.006	1	8.735	0.006	1	6.205	0.008	1	3.815	0.024	17	9.34	0.007	1	8.708	0.007	1	6.179	0.009	1	3.812	0.028	17	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
2MASSJ07594181-3843560	4	1.703139	55.465384	119.92375	-38.7325	J075941.81-384356.0	119.9242496	-38.7322318	9.747	0.023	2.341	8.802	0.02	2.121	6.283	0.014	1.017	4.145	0.026	0.676	0h00	0	AAAA	9.77	0.006	0	0.261	8.834	0.006	0	0.319	6.276	0.006	0	0.825	4.146	0.01	1	0.576	10.413	0.006	0	9.599	0.006	0	7.688	0.006	0	5.208	0.011	1	10.031	0.006	0	9.153	0.006	0	7.101	0.006	0	4.722	0.01	1	9.889	0.006	0	8.982	0.006	0	6.779	0.006	0	4.436	0.011	1	9.83	0.006	1	8.914	0.006	1	6.601	0.006	1	4.289	0.012	1	9.798	0.006	1	8.883	0.006	1	6.504	0.006	1	4.226	0.014	1	9.776	0.006	1	8.864	0.006	1	6.451	0.006	1	4.195	0.016	1	9.756	0.006	1	8.851	0.006	1	6.422	0.007	1	4.183	0.019	1	9.737	0.006	1	8.84	0.006	1	6.406	0.007	1	4.178	0.023	1	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
2MASSJ17485512-3254521	5	0.755208	140.366499	267.229583	-32.914444	J174855.13-325452.5	267.2297427	-32.914606	11.817	0.119	1.223	11.598	0.074	1.733	8.379	0.033	1.119	6.11	0.067	0.8638	0	0	BAAA	11.061	null	32	0.261	11.064	null	32	0.319	8.493	0.167	1	0.825	6.09	0.105	1	0.576	11.703	null	32	11.582	null	32	9.861	0.198	0	7.141	0.11	1	11.322	null	32	11.383	null	32	9.318	0.167	1	6.666	0.105	1	10.867	null	32	14.219	null	32	9.052	0.17	1	6.389	0.112	1	10.772	0.362	1	10.658	null	32	8.92	0.186	1	6.249	0.129	1	9.824	0.182	1	10.68	0.509	1	8.84	0.208	1	6.172	0.153	1	9.09	0.109	1	9.743	0.254	1	8.759	0.228	1	6.08	0.174	1	8.554	0.078	1	9.118	0.166	1	8.667	0.244	1	5.955	0.19	1	8.163	0.062	1	8.68	0.128	1	8.571	0.257	1	5.758	0.19	1	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
2MASXiJ1802473-145454	6	1.215142	83.12927	270.697083	-14.915278	J180247.38-145454.8	270.6974301	-14.9152374	9.728	0.041	1.504	8.92	0.025	2.016	6.249	0.017	5.41	4.047	0.027	0.6555	dd00	1	AAAA	9.454	0.006	1	0.261	8.825	0.01	1	0.319	6.264	0.016	1	0.825	3.997	0.013	1	0.576	10.254	0.006	0	9.671	0.011	0	7.707	0.02	0	5.071	0.014	1	9.715	0.006	1	9.144	0.01	1	7.089	0.016	1	4.573	0.013	1	9.316	0.006	1	8.83	0.01	1	6.745	0.015	1	4.282	0.014	1	8.887	0.006	1	8.548	0.009	1	6.542	0.016	1	4.128	0.015	1	8.484	0.006	1	8.281	0.009	1	6.415	0.017	1	4.057	0.018	1	8.209	0.006	1	8.079	0.009	1	6.334	0.018	1	4.02	0.021	1	8.067	0.006	1	7.963	0.009	1	6.283	0.02	1	4.001	0.025	1	7.995	0.006	1	7.905	0.01	1	6.251	0.022	1	3.989	0.029	1	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
2MASXJ00253292+6821442	7	2.835357	-73.992366	6.387083	68.362222	J002532.40+682144.7	6.3850302	68.3624394	10.237	0.023	38.900002	9.56	0.019	10.69	6.475	0.016	8.021	4.144	0.025	1.758	0h00	5	AAAA	10.274	0.007	0	0.261	9.59	0.006	0	0.319	6.504	0.009	0	0.825	4.122	0.012	1	0.576	11.069	0.007	0	10.424	0.007	0	7.928	0.011	0	5.186	0.012	0	10.535	0.007	0	9.909	0.006	0	7.329	0.009	0	4.698	0.012	1	10.257	0.007	0	9.665	0.006	0	7	0.009	0	4.415	0.012	1	10.087	0.007	0	9.533	0.007	0	6.812	0.009	0	4.269	0.014	1	9.971	0.007	0	9.449	0.007	16	6.707	0.01	0	4.208	0.016	1	9.886	0.007	16	9.39	0.007	16	6.648	0.011	0	4.179	0.019	17	9.825	0.007	16	9.347	0.008	16	6.617	0.012	0	4.168	0.023	17	9.78	0.008	17	9.317	0.008	17	6.6	0.013	1	4.163	0.028	17	2.92	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
2MASXJ01064523+0638015	8	0.554677	-105.042719	16.68875	6.633889	J010645.26+063801.8	16.6886002	6.6338489	11.957	0.023	11.74	11.032	0.021	2.292	7.163	0.018	1.502	4.532	0.026	0.801	hh00	5	AAAA	11.892	0.006	1	0.261	11.021	0.007	1	0.319	7.17	0.014	0	0.825	4.502	0.019	1	0.576	12.654	0.007	0	11.827	0.007	0	8.599	0.017	0	5.574	0.02	1	12.153	0.006	1	11.34	0.007	1	7.995	0.014	0	5.078	0.019	1	11.905	0.006	1	11.126	0.007	1	7.664	0.013	1	4.794	0.02	1	11.759	0.006	1	11.022	0.007	1	7.478	0.014	1	4.649	0.023	1	11.661	0.006	1	10.962	0.007	1	7.374	0.015	1	4.58	0.027	1	11.586	0.006	1	10.921	0.007	1	7.317	0.016	1	4.544	0.033	1	11.524	0.006	1	10.891	0.008	1	7.287	0.018	1	4.53	0.039	1	11.472	0.007	1	10.868	0.008	1	7.271	0.021	1	4.523	0.047	1	0.5	10.88	0.97	-30	11.922	0.006	1	10.88	0.97	-30	11.139	0.007	1	10.88	0.97	-30	7.687	0.013	1	15.16	0.99	-30	5.173	0.019	1
2MASXJ01073963-1139117	9	1.000801	39.591256	16.915	-11.653333	J010739.64-113911.2	16.9151809	-11.6531191	11.542	0.022	16.809999	10.609	0.02	3.746	7.062	0.02	2.695	4.342	0.034	1.038	0	5	AAAA	11.47	0.006	0	0.261	10.584	0.006	0	0.319	7.079	0.01	0	0.825	4.304	0.017	1	0.576	12.2	0.006	0	11.379	0.007	0	8.523	0.012	0	5.374	0.018	1	11.731	0.006	0	10.903	0.006	0	7.904	0.01	0	4.88	0.017	1	11.516	0.006	0	10.699	0.006	0	7.553	0.01	0	4.587	0.017	1	11.41	0.006	0	10.608	0.007	0	7.349	0.01	0	4.432	0.02	1	11.354	0.006	0	10.564	0.007	0	7.234	0.011	0	4.36	0.023	1	11.324	0.006	1	10.54	0.007	1	7.17	0.011	0	4.322	0.027	1	11.306	0.006	1	10.525	0.008	1	7.136	0.013	1	4.303	0.032	1	11.295	0.006	1	10.515	0.008	1	7.116	0.014	1	4.295	0.039	1	0.55	15.48	0.49	30	11.528	0.006	0	15.48	0.49	30	10.74	0.006	0	15.48	0.49	30	7.624	0.01	0	23.65	0.7	30	4.701	0.017	1
2MASXJ03305218+0538253	10	0.583501	-146.497957	52.7175	5.640556	J033052.17+053825.5	52.7174101	5.6404204	11.501	0.023	2.256	10.337	0.021	1.443	6.643	0.017	1.215	3.813	0.023	0.7783	0	0	AAAA	11.525	0.006	17	0.261	10.333	0.006	1	0.319	6.646	0.007	1	0.825	3.816	0.009	1	0.576	12.172	0.007	1	11.098	0.006	1	8.062	0.007	0	4.884	0.009	1	11.786	0.006	17	10.652	0.006	1	7.471	0.007	1	4.392	0.009	1	11.641	0.006	17	10.479	0.006	1	7.146	0.007	1	4.103	0.009	17	11.579	0.007	17	10.41	0.006	1	6.962	0.007	1	3.954	0.01	17	11.549	0.007	17	10.378	0.006	17	6.859	0.007	1	3.891	0.011	17	11.531	0.008	17	10.358	0.006	17	6.802	0.007	1	3.861	0.013	17	11.517	0.008	17	10.344	0.007	17	6.77	0.008	1	3.849	0.015	17	11.503	0.009	17	10.331	0.007	17	6.751	0.008	1	3.844	0.017	17	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
