Name	W1	W1_err	W2	W2_err	W3	W3_err	W4	W4_err	Point/Extended
1RXSJ044154.5-082639	0.007661552	0.000162301	0.008566434	0.00016569	0.022464818	0.000372436	0.060920309	0.00179551	Point
1RXSJ045205.0+493248	0.020640337	0.000114063	0.026595005	0.000146969	0.058439018	0.00037677	0.121328296	0.001452717	Extended
1RXSJ153552.8-575055	0.621036003	0.016587864	0.554115217	0.01020718	0.338144955	0.004671645	0.283897846	0.004968112	Point
2E1739.1-1210	0.035441882	0.000652864	0.046644461	0.000816262	0.113423465	0.001462536	0.256072002	0.004009468	Point
2MASSJ07594181-3843560	0.037214893	0.000788352	0.050211139	0.00097117	0.096361358	0.001331281	0.181619342	0.004014662	Point
2MASSJ17485512-3254521	0.004453657	0.000459421	0.004429963	0.000297851	0.013611404	0.00043878	0.030729967	0.001669897	Point
2MASXiJ1802473-145454	0.043844667	0.000888413	0.046902941	0.000907183	0.099152327	0.001552485	0.201354851	0.004821821	Point
2MASXJ00253292+6821442	0.024384664	0.0004941	0.026230108	0.000459018	0.079708184	0.001248037	0.181452141	0.00417809	Point
2MASXJ00343284-0424117	0.001445163	3.46E-05	0.003594182	7.61E-05	0.010287336	0.0002274	0.028731751	0.001164369	Point
2MASXJ01064523+0638015	0.005449	3.51E-05	0.006234478	4.59E-05	0.026662625	0.000270129	0.0707884	0.001043176	Extended
2MASXJ01073963-1139117	0.007696917	4.25E-05	0.008838938	7.33E-05	0.02705845	0.000249218	0.108733182	0.001702498	Extended
2MASXJ03305218+0538253	0.007473375	0.000158314	0.012325373	0.000238394	0.069936342	0.00103062	0.25047368	0.004383201	Point
2MASXJ03342453-1513402	0.008431732	0.000201914	0.008822671	0.000195024	0.042530737	0.000744273	0.103935066	0.003829109	Point
2MASXJ03502377-5018354	0.00370098	2.05E-05	0.002507264	1.85E-05	0.008739829	6.44E-05	0.029975201	0.000441731	Extended
2MASXJ03534246+3714077	0.011910138	6.58E-05	0.009281113	6.84E-05	0.02705845	0.000323983	0.059863499	0.001212999	Extended
2MASXj03540948+0249307	0.009253729	0.000187506	0.013539421	0.000236935	0.046676998	0.000687858	0.128340018	0.002955138	Point
2MASXJ04234080+0408017	0.012586842	6.96E-05	0.021066873	0.00011642	0.047720272	0.000263712	0.133156416	0.001471699	Extended
2MASXJ04440903+2813003	0.061138781	0.000337865	0.045081678	0.000249131	0.092534336	0.000852273	0.141632231	0.002608962	Extended
2MASXJ05020903+0331499	0.008439501	4.66E-05	0.006120686	4.51E-05	0.008525167	0.000149187	0.016856294	0.001164392	Extended
2MASXJ05054575-2351139	0.006753311	0.000149281	0.012405094	0.00022851	0.0530033	0.000732268	0.12449792	0.00252267	Point
2MASXJ05580206-3820043	0.090514213	0.000416833	0.14641989	0.000674289	0.202256698	0.000931427	0.320008929	0.001768435	Extended
2MASXJ06411806+3249313	0.006974559	0.000147748	0.010656144	0.000206108	0.036703114	0.000540877	0.088871415	0.002537462	Point
2MASXJ06561197-4919499	0.009627572	5.32E-05	0.013982991	7.73E-05	0.057214079	0.000316177	0.183299845	0.001350603	Extended
2MASXJ07262635-3554214	0.046549688	0.000257243	0.05505542	0.000304247	0.223410156	0.00123461	0.659419972	0.004858786	Extended
2MASXJ07595347+2323241	0.042258763	0.000233531	0.044915897	0.000248214	0.100902729	0.000557609	0.154868145	0.001569027	Extended
2MASXJ08032736+0841523	0.006461253	3.57E-05	0.005812997	4.28E-05	0.006096814	0.000134769	0.013315642	0.000907548	Extended
2MASXJ09023729-4813339	0.012691612	0.000163652	0.014034601	0.00014219	0.019710739	0.00110741	0.030308336	0.008988633	Extended
2MASXJ09043699+5536025	0.005151299	0.000104379	0.005161787	9.98E-05	0.012368098	0.00023922	0.040509986	0.001455132	Point
2MASXJ09112999+4528060	0.005015529	3.23E-05	0.004759925	3.07E-05	0.014883426	0.000123373	0.036877553	0.000849137	Extended
2MASXJ09235371-3141305	0.005737422	3.70E-05	0.00449159	3.72E-05	0.005354303	0.000113424	0.010288738	0.000947628	Extended
2MASXJ09254750+6927532	0.015063184	8.32E-05	0.019160202	0.000105883	0.025486072	0.000164315	0.045536757	0.000712995	Extended
2MASXJ09360622-6548336	0.002947927	4.62E-05	0.002445683	3.15E-05	0.002886044	5.32E-05	0.004897361	0.000401447	Extended
2MASXJ09594263-3112581	0.042025876	0.000232244	0.053456445	0.000295411	0.071170974	0.000393305	0.154868145	0.001426388	Extended
2MASXJ10402231-4625264	0.02361113	0.00013048	0.021657089	0.000119681	0.070648495	0.000455488	0.177648726	0.001636205	Extended
2MASXJ11454045-1827149	0.021024069	0.000116183	0.025281339	0.00013971	0.039364334	0.000253791	0.076341747	0.001406267	Extended
2MASXJ12005792+0648226	0.013167908	7.28E-05	0.012462354	6.89E-05	0.033535355	0.00021621	0.072838685	0.001140477	Extended
2MASXJ12313717-4758019	0.02333011	0.000128927	0.024569713	0.000135777	0.080002381	0.000442109	0.17879777	0.001152752	Extended
2MASXJ12335145-2103448	0.006974559	3.85E-05	0.008574328	4.74E-05	0.021572621	0.000139084	0.065157153	0.000960191	Extended
2MASXJ12475784-5829599	0.007782458	7.88E-05	0.006064571	6.14E-05	0.006740668	0.000434587	0.019371449	0.000856405	Extended
2MASXJ13411287-1438407	0.026565426	0.000146806	0.032568674	0.000179981	0.071170974	0.000458856	0.128695125	0.001185326	Extended
2MASXJ13512953-1813468	0.014464945	7.99E-05	0.014414516	7.97E-05	0.011145586	0.00011292	0.016548632	0.000884027	Extended
2MASXJ14080674-3023537	0.00852544	0.000180601	0.012370865	0.00022788	0.033227901	0.000489664	0.06642967	0.00183552	Point
2MASXJ14530794+2554327	0.006097008	0.000123542	0.006510286	0.000119924	0.009279037	0.000170926	0.011333449	0.000678502	Point
2MASXJ15064412+0351444	0.010183962	5.63E-05	0.00617732	3.98E-05	0.004300341	0.000110901	0.008969373	0.000710454	Extended
2MASXJ15115979-2119015	0.038398723	0.000212199	0.047774932	0.000264014	0.096272647	0.000532022	0.269377983	0.00198485	Extended
2MASXJ15462424+6929102	0.006052249	3.34E-05	0.003869012	2.49E-05	0.007077875	5.87E-05	0.0372874	0.000515144	Extended
