|    cntr_01|	dist_x|	pang_x|	ra_01|	dec_01|	ra|	dec|	sigra|	sigdec|	sigradec|	w1mpro|	w1sigmpro|	w1snr|	w1rchi2|	w2mpro|	w2sigmpro|	w2snr|	w2rchi2|	w3mpro|	w3sigmpro|	w3snr|	w3rchi2|	w4mpro|	w4sigmpro|	w4snr|	w4rchi2|	cc_flags|	ext_flg|	var_flg|	ph_qual|	w1mag|	w1sigm|	w1flg|	w2mag|	w2sigm|	w2flg|	w3mag|	w3sigm|	w3flg|	w4mag|	w4sigm|	w4flg|	w1mag_1|	w1sigm_1|	w1flg_1|	w2mag_1|	w2sigm_1|	w2flg_1|	w3mag_1|	w3sigm_1|	w3flg_1|	w4mag_1|	w4sigm_1|	w4flg_1|	w1mag_2|	w1sigm_2|	w1flg_2|	w2mag_2|	w2sigm_2|	w2flg_2|	w3mag_2|	w3sigm_2|	w3flg_2|	w4mag_2|	w4sigm_2|	w4flg_2|	w1mag_3|	w1sigm_3|	w1flg_3|	w2mag_3|	w2sigm_3|	w2flg_3|	w3mag_3|	w3sigm_3|	w3flg_3|	w4mag_3|	w4sigm_3|	w4flg_3|	w1mag_4|	w1sigm_4|	w1flg_4|	w2mag_4|	w2sigm_4|	w2flg_4|	w3mag_4|	w3sigm_4|	w3flg_4|	w4mag_4|	w4sigm_4|	w4flg_4|	w1mag_5|	w1sigm_5|	w1flg_5|	w2mag_5|	w2sigm_5|	w2flg_5|	w3mag_5|	w3sigm_5|	w3flg_5|	w4mag_5|	w4sigm_5|	w4flg_5|	w1mag_6|	w1sigm_6|	w1flg_6|	w2mag_6|	w2sigm_6|	w2flg_6|	w3mag_6|	w3sigm_6|	w3flg_6|	w4mag_6|	w4sigm_6|	w4flg_6|	w1mag_7|	w1sigm_7|	w1flg_7|	w2mag_7|	w2sigm_7|	w2flg_7|	w3mag_7|	w3sigm_7|	w3flg_7|	w4mag_7|	w4sigm_7|	w4flg_7|	w1mag_8|	w1sigm_8|	w1flg_8|	w2mag_8|	w2sigm_8|	w2flg_8|	w3mag_8|	w3sigm_8|	w3flg_8|	w4mag_8|	w4sigm_8|	w4flg_8|	w1rsemi|	w1ba|	w1pa|	w1gmag|	w1gerr|	w1gflg|	w2rsemi|	w2ba|	w2pa|	w2gmag|	w2gerr|	w2gflg|	w3rsemi|	w3ba|	w3pa|	w3gmag|	w3gerr|	w3gflg|	w4rsemi|	w4ba|	w4pa|	w4gmag|	w4gerr|	w4gflg|
1	0.463393	-76.944251	70.475417	-8.442778	70.4752899	-8.4427487	0.0628	0.0609	0.006	11.516	0.023	46.7	1.056	10.756	0.021	52.6	0.9848	7.873	0.018	58.7	1.006	5.344	0.032	33.5	1.008	0	0	0	AAAA	11.521	0.006	0	10.759	0.007	0	7.876	0.013	0	5.31	0.029	1	12.157	0.006	0	11.517	0.008	0	9.291	0.015	0	6.375	0.03	1	11.782	0.006	0	11.078	0.007	0	8.701	0.013	0	5.886	0.029	1	11.646	0.006	0	10.911	0.008	0	8.382	0.012	0	5.596	0.03	1	11.591	0.006	0	10.844	0.008	0	8.207	0.013	0	5.443	0.033	1	11.561	0.007	1	10.81	0.009	1	8.113	0.014	1	5.368	0.039	1	11.536	0.007	1	10.786	0.01	1	8.062	0.015	1	5.326	0.046	1	11.503	0.007	1	10.76	0.011	1	8.034	0.017	1	5.298	0.054	1	11.445	0.008	1	10.724	0.012	1	8.017	0.019	1	5.264	0.063	1	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
2	2.266515	-93.180379	73.020833	49.545833	73.0198645	49.5457984	0.0546	0.0518	-0.013	10.356	0.022	49.3	4.094	9.413	0.021	52.1	1.353	6.412	0.015	70.9	1.694	4.129	0.018	60.3	0.8271	0	5	0	AAAA	10.388	0.006	0	9.426	0.006	0	6.438	0.007	0	4.086	0.013	1	11.058	0.006	0	10.197	0.006	0	7.871	0.008	0	5.158	0.014	1	10.649	0.006	0	9.745	0.006	0	7.263	0.007	0	4.662	0.013	1	10.479	0.006	1	9.563	0.006	1	6.924	0.007	0	4.377	0.014	1	10.396	0.007	1	9.485	0.006	1	6.729	0.007	1	4.234	0.016	1	10.347	0.007	1	9.443	0.006	1	6.617	0.007	1	4.174	0.018	17	10.309	0.007	1	9.414	0.006	1	6.554	0.007	1	4.146	0.022	17	10.272	0.008	1	9.39	0.006	1	6.518	0.008	1	4.136	0.026	17	10.233	0.008	1	9.367	0.006	1	6.496	0.008	1	4.133	0.032	17	13.7	0.79	20	10.44	0.006	1	13.7	0.79	20	9.526	0.006	1	13.7	0.79	20	6.835	0.007	1	18.65	0.89	20	4.596	0.013	1
3	5.359629	41.652939	233.97	-57.848611	-233.9718593	57.8474987	0.0543	0.0537	-0.0096	6.744	0.029	37.4	1.871	6.229	0.02	53.9	1.393	4.929	0.015	71.7	0.8036	3.673	0.019	58.4	1.009	0	0	113	AAAA	7.534	0.006	16	6.446	0.006	16	4.942	0.006	0	3.633	0.022	1	8.31	0.006	16	7.246	0.006	16	6.365	0.007	0	4.71	0.023	1	7.795	0.006	16	6.765	0.006	16	5.767	0.006	0	4.209	0.022	1	7.573	0.006	16	6.569	0.006	16	5.443	0.006	0	3.91	0.023	1	7.458	0.006	17	6.482	0.006	17	5.264	0.007	1	3.748	0.025	1	7.391	0.006	17	6.436	0.006	17	5.165	0.007	1	3.661	0.029	1	7.346	0.007	17	6.408	0.006	17	5.105	0.007	1	3.603	0.034	1	7.312	0.007	17	6.386	0.006	17	5.064	0.007	1	3.559	0.04	17	7.283	0.007	17	6.369	0.006	17	5.032	0.008	1	3.516	0.046	17	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
4	0.736869	-50.619439	265.480417	-12.199167	-265.4802548	12.1990368	0.0496	0.0489	0.0042	9.853	0.02	55.7	5.614	8.916	0.019	57.2	1.867	6.115	0.014	75.1	1.127	3.785	0.017	62.3	0.8481	0	1	3111	AAAA	9.964	0.006	1	8.972	0.006	1	6.143	0.007	1	3.809	0.013	1	10.659	0.006	0	9.759	0.006	0	7.573	0.009	0	4.895	0.013	1	10.225	0.006	1	9.291	0.006	1	6.968	0.007	1	4.385	0.013	1	9.997	0.006	1	9.084	0.006	1	6.635	0.007	1	4.085	0.013	1	9.805	0.006	1	8.96	0.006	1	6.445	0.007	1	3.926	0.014	17	9.629	0.006	1	8.863	0.006	1	6.336	0.008	1	3.855	0.017	17	9.5	0.006	1	8.789	0.006	1	6.273	0.008	1	3.824	0.02	17	9.422	0.007	1	8.74	0.006	1	6.235	0.009	1	3.812	0.024	17	9.376	0.007	1	8.709	0.006	1	6.212	0.009	1	3.806	0.028	17	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
5	1.722874	56.434637	119.92375	-38.7325	-119.9242612	38.7322354	0.0546	0.0564	-0.0031	9.8	0.023	46.5	1.16	8.836	0.021	52.7	2.016	6.292	0.015	74.2	1.111	4.158	0.024	45.6	0.8352	0	0	1122	AAAA	9.804	0.006	0	8.862	0.006	0	6.274	0.006	0	4.163	0.016	1	10.439	0.006	0	9.621	0.006	0	7.685	0.006	0	5.221	0.016	1	10.065	0.006	0	9.181	0.006	0	7.099	0.006	0	4.739	0.016	1	9.927	0.006	0	9.012	0.006	0	6.778	0.006	0	4.458	0.017	1	9.868	0.006	1	8.945	0.006	1	6.6	0.006	0	4.316	0.019	1	9.837	0.006	1	8.913	0.006	1	6.502	0.006	1	4.259	0.022	1	9.814	0.006	1	8.893	0.006	1	6.449	0.006	1	4.235	0.027	1	9.794	0.006	1	8.879	0.006	1	6.419	0.006	1	4.232	0.033	1	9.775	0.007	1	8.867	0.006	1	6.4	0.007	1	4.237	0.039	1	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
6	0.561065	123.075851	267.229583	-32.914444	-267.2297389	32.9145295	0.1796	0.2005	-0.0095	12.105	0.112	9.7	1.683	11.472	0.073	14.9	1.254	8.417	0.035	30.8	1.228	6.087	0.059	18.5	1.16	0	0	9912	BAAA	11.048	null	32	10.66	null	32	8.449	0.15	1	5.589	0.069	1	11.712	null	32	11.392	null	32	9.832	0.174	0	6.774	0.082	1	11.309	null	32	10.979	null	32	9.274	0.15	1	6.165	0.069	1	10.858	null	32	10.605	null	32	8.988	0.149	1	5.747	0.065	1	10.781	0.374	1	10.657	0.378	1	8.829	0.158	1	5.443	0.064	1	9.817	0.186	1	9.841	0.215	1	8.712	0.171	1	5.189	0.065	1	9.081	0.111	1	9.176	0.137	1	8.594	0.181	1	4.949	0.064	1	8.551	0.079	1	8.677	0.101	1	8.468	0.187	1	4.718	0.063	1	8.171	0.065	1	8.305	0.083	1	8.344	0.192	1	4.484	0.061	1	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
7	1.297751	76.316262	270.697083	-14.915278	-270.6974458	14.9151925	0.061	0.0583	-0.0092	9.622	0.022	48.3	11.67	8.91	0.021	51.8	2.677	6.261	0.017	63.7	1.601	4.046	0.026	42.2	1.365	dd00	1	1111	AAAA	9.473	0.006	1	8.82	0.006	1	6.276	0.016	1	3.965	0.014	1	10.278	0.006	0	9.672	0.007	0	7.719	0.019	0	5.045	0.015	1	9.734	0.006	1	9.139	0.006	1	7.101	0.016	1	4.541	0.014	1	9.332	0.006	1	8.82	0.006	1	6.755	0.015	1	4.243	0.014	1	8.9	0.006	1	8.534	0.006	1	6.55	0.015	1	4.081	0.016	1	8.482	0.006	1	8.258	0.006	1	6.421	0.016	1	3.997	0.019	1	8.195	0.006	1	8.044	0.006	1	6.338	0.017	1	3.944	0.022	1	8.047	0.006	1	7.914	0.006	1	6.285	0.019	1	3.906	0.025	1	7.973	0.006	1	7.843	0.006	1	6.251	0.021	1	3.872	0.029	1	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
8	3.047001	-72.522854	6.387083	68.362222	6.3848939	68.3624764	0.0557	0.0538	0.0077	10.259	0.022	49.7	49.060001	9.541	0.019	57.3	10.42	6.498	0.017	64.2	5.26	4.159	0.025	43.4	1.426	0	5	9020	AAAA	10.253	0.006	0	9.561	0.007	0	6.503	0.009	0	4.123	0.01	1	11.052	0.006	0	10.392	0.007	0	7.927	0.01	0	5.187	0.01	1	10.514	0.006	0	9.88	0.007	0	7.328	0.009	0	4.699	0.01	1	10.235	0.006	0	9.64	0.007	0	7.003	0.009	0	4.415	0.01	1	10.062	0.006	0	9.508	0.007	0	6.818	0.009	0	4.267	0.011	1	9.942	0.006	0	9.424	0.007	0	6.716	0.009	0	4.201	0.013	1	9.855	0.006	1	9.364	0.007	1	6.66	0.01	1	4.164	0.015	17	9.79	0.006	1	9.32	0.008	1	6.631	0.011	1	4.144	0.017	17	9.742	0.006	1	9.289	0.008	1	6.617	0.012	1	4.129	0.02	17	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
9	0.135183	46.531513	8.636667	-4.403333	8.636694	-4.4033075	0.0751	0.0768	0.0081	13.327	0.026	41.2	3.447	11.699	0.023	48.1	1.521	8.721	0.024	45	0.9883	6.16	0.044	24.4	0.9088	0	1	0	AAAA	13.155	0.01	0	11.683	0.014	0	8.696	0.02	0	6.061	0.052	1	13.884	0.012	0	12.468	0.015	0	10.124	0.025	0	7.158	0.057	1	13.416	0.01	0	12.002	0.014	0	9.521	0.02	0	6.637	0.052	1	13.196	0.01	0	11.812	0.014	0	9.204	0.019	0	6.323	0.053	1	13.068	0.011	0	11.728	0.016	0	9.038	0.02	0	6.149	0.058	1	12.971	0.012	1	11.682	0.018	1	8.949	0.022	1	6.052	0.066	1	12.873	0.012	1	11.648	0.021	1	8.899	0.025	1	5.968	0.075	1	12.748	0.013	1	11.61	0.023	1	8.867	0.027	1	5.895	0.084	1	12.58	0.012	1	11.563	0.025	1	8.842	0.03	1	5.84	0.095	1	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
10	0.573132	-84.734183	16.68875	6.633889	16.6885904	6.6339035	0.0591	0.0572	-0.0081	11.919	0.024	45.3	11.42	10.971	0.022	50.2	2.028	7.161	0.017	65.5	1.65	4.526	0.02	53.8	1.005	h000	1	110	AAAA	11.854	0.007	0	10.98	0.008	0	7.169	0.012	0	4.512	0.016	1	12.612	0.008	0	11.78	0.009	0	8.598	0.014	0	5.581	0.017	1	12.115	0.007	0	11.299	0.008	0	7.994	0.012	0	5.088	0.016	1	11.869	0.007	0	11.088	0.008	0	7.665	0.011	0	4.805	0.017	1	11.725	0.007	1	10.983	0.009	1	7.482	0.012	1	4.658	0.018	1	11.628	0.007	1	10.92	0.009	1	7.381	0.012	1	4.588	0.021	1	11.555	0.007	1	10.876	0.01	1	7.326	0.014	1	4.55	0.025	1	11.496	0.008	1	10.842	0.011	1	7.299	0.015	1	4.532	0.03	1	11.445	0.008	1	10.816	0.012	1	7.285	0.017	1	4.522	0.035	1	10.88	0.97	-30	11.886	0.007	0	10.88	0.97	-30	11.101	0.008	0	10.88	0.97	-30	7.687	0.011	0	15.16	0.99	-30	5.181	0.016	1
