"uploadID","uploadRA","uploadDEC","uploadSearchID","objID","survey","specObjID","distance_arcmin","fov_radius","IAUName","ra","dec","band","nuv_exptime","fuv_exptime","fuv_mag","fuv_magerr","nuv_mag","nuv_magerr","fuv_flux","fuv_fluxerr","nuv_flux","nuv_fluxerr","e_bv","spectra","fuv_fwhm_world","nuv_fwhm_world","ra_cent","dec_cent","minObsDate","meanObsDate","maxObsDate","minObsMJD","meanObsMJD","maxObsMJD","tilename","tilenum","img","subvis","photoextractid","nuv_flux_auto","nuv_flux_aper_7","nuv_artifact","fuv_flux_auto","fuv_flux_aper_7","fuv_artifact"
"1RXSJ044154.5-082639","70.47541667","-8.442777778","1","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---"
"1RXSJ045205.0+493248","73.02083333","49.54583333","2","6372921286172084766","AIS","0","0.017897875192417478","0.3692328929901123","GALEX J045204.9+493245","73.020406489653908","49.545944145255142","1","64","0","-999","-999","21.8109741","0.5677592","-999","-999","6.848734","3.580508","0.735794663","false","-99","0.00246690284","73.54634","49.40612","2012-01-04","2012-01-04","2012-01-04","55930.363287037042","55930.363287037042","55930.364027777781","AIS_57","50057","1","20","6372921286171033600","0.20305360853672028","0.018203528597950935","0","-99","-99","-999"
"2E1739.1-1210","265.4804167","-12.19916667","3","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---"
"2MASSJ07594181-3843560","119.92375","-38.7325","4","6385271058757321633","AIS","0","0.030904217158646254","0.43433627486228943","GALEX J075941.8-384355","119.9242033338015","-38.732125514647137","1","172.05","0","-999","-999","20.3940353","0.264107823","-999","-999","25.2572041","6.142381","0.8122151","false","-99","0.00357530429","119.47366","-38.47780","2011-12-24","2012-01-06","2012-01-20","55919.145868055552","55932.895868055559","55946.659999999996","AIS_408","50408","1","74","6385271058756272128","0.74883425235748291","0.24710434675216675","17","-99","-99","-999"
"2MASSJ17485512-3254521","267.2295833","-32.91444444","5","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---"
"2MASXiJ1802473-145454","270.6970833","-14.91527778","6","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---"
"2MASXJ00253292+6821442","6.387083333","68.36222222","7","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---"
"2MASXJ01064523+0638015","16.68875","6.633888889","8","6380204502736176035","AIS","0","0.0316169578270057","0.55342024564743042","GALEX J010645.2+063803","16.688537177145921","6.6343715757763828","3","217","217","19.244339","0.08804499","19.0148029","0.0589374527","72.82266","5.90393257","89.96599","4.88247347","0.0371103659","false","0.00413983129","0.00518332049","17.17014","6.91286","2007-09-16","2007-09-17","2007-09-18","54359.887557870374","54360.679224537045","54361.463379629633","AIS_264","50264","1","68","6380204502733029376","2.6673424243927","2.6056201457977295","1","0.6764950156211853","0.642906665802002","0"
"2MASXJ01064523+0638015","16.68875","6.633888889","8","6380239618388788962","AIS","0","0.021490649920098116","0.55060470104217529","GALEX J010645.2+063803","16.688606263429278","6.63421738049525","3","221","221","19.5641861","0.119441271","19.18173","0.06269863","54.24095","5.965569","77.1449356","4.45385075","0.0371103659","false","0.00163714471","0.00336158718","16.14230","6.72779","2007-09-16","2007-09-17","2007-09-18","54359.889201388891","54360.680868055548","54361.465057870366","AIS_265","50265","1","4","6380239618385641472","2.2872195243835449","2.3375699520111084","1","0.50387793779373169","0.56976038217544556","256"
"2MASXJ01073963-1139117","16.915","-11.65333333","9","6380450749317383830","AIS","0","0.022026707456490095","0.39022925496101379","GALEX J010739.6-113910","16.915078975443439","-11.6529744589757","3","185","185","19.763279","0.122009829","19.3740311","0.0765682757","45.1534042","5.07289028","64.6229553","4.55623245","0.02987064","false","0.00722552137","0.00742577156","17.27745","-11.49096","2006-11-06","2006-11-14","2006-11-23","54045.172696759255","54053.797696759262","54062.496458333328","AIS_271","50271","1","27","6380450749314236416","1.9159635305404663","1.9140897989273071","0","0.4194580614566803","0.4359813928604126","0"
"2MASXJ03305218+0538253","52.7175","5.640555556","10","6377108243632621392","AIS","0","0.011854115875145413","0.18023158609867096","GALEX J033052.1+053826","52.717324203605273","5.6406473575897076","3","128","128","18.9523582","0.107492089","18.4725914","0.0588568822","95.29249","9.432034","148.239182","8.033974","0.254832357","false","0.00216832431","0.00145853171","52.85275","5.52099","2006-12-09","2006-12-09","2006-12-09","54078.396736111114","54078.396736111114","54078.398217592585","AIS_176","50176","1","36","6377108243629473792","4.3950457572937012","4.5460848808288574","0","0.88523119688034058","0.87540006637573242","0"
"2MASXJ03342453-1513402","53.60208333","-15.22777778","11","6377319405699727888","AIS","0","0.0022307047823694618","0.36176764965057373","GALEX J033424.4-151340","53.602050771467162","-15.227797662365459","3","185","185","17.3705","0.04637118","17.0665436","0.0231734123","409.0736","17.4670582","541.230164","11.5489416","0.07630709","false","0.00170552311","0.00155249168","53.62586","-14.86676","2006-11-13","2006-11-24","2006-12-05","54052.769606481481","54063.561273148145","54074.345775462956","AIS_182","50182","1","88","6377319405696581632","16.046577453613281","16.391550064086914","0","3.8001394271850586","3.8880534172058105","0"
"2MASXJ03502377-5018354","57.59916667","-50.31","12","6385869147987773031","AIS","0","0.0081298690311272515","0.3131120502948761","GALEX J035023.8-501835","57.5992898678423","-50.309889685116048","3","205.05","205.05","18.7351151","0.0695697144","18.39966","0.04236994","116.400833","7.456696","158.538925","6.185344","0.0150877992","false","0.0018653248","0.00203121733","57.95211","-50.09301","2006-10-25","2007-05-29","2007-12-30","54033.472546296296","54249.055879629625","54464.662835648152","AIS_425","50425","1","32","6385869147984625664","4.700416088104248","4.6791462898254395","0","1.0813196897506714","1.1123576164245606","0"
"2MASXJ03534246+3714077","58.42708333","37.23527778","13","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---"
"2MASXj03540948+0249307","58.53958333","2.825277778","14","6377108302686323236","AIS","0","0.0061049891424049558","0.42009669542312622","GALEX J035409.5+024930","58.539621189254532","2.8251833153897841","1","112","112","-999","-999","20.6024914","0.199535787","-999","-999","20.8450623","3.82995939","0.322670251","false","-99","0.00261756964","58.26175","3.14058","2003-11-29","2003-11-29","2003-11-29","52972.797291666669","52972.797291666669","52972.798587962956","AIS_176","50176","1","91","6377108302685274112","0.618021547794342","0.75389772653579712","0","-99","-99","0"
"2MASXJ04234080+0408017","65.92","4.133888889","15","6377002707696222699","AIS","0","0.0026126512450737097","0.40338584780693054","GALEX J042340.8+040801","65.920033942098712","4.133861502562282","3","218","218","20.7473869","0.2865862","19.9146557","0.119375311","18.2409344","4.81362772","39.27689","4.31739473","0.304485083","false","0.00341484067","0.00361222867","65.68144","4.45961","2005-12-21","2006-06-23","2006-12-25","53725.307372685187","53909.932372685187","54094.548888888887","AIS_173","50173","1","52","6377002707693076480","1.1644946336746216","1.1210472583770752","0","0.16945138573646545","0.13143758475780487","0"
"2MASXJ04234080+0408017","65.92","4.133888889","15","6377002717359902177","AIS","0","0.0061646585037612419","0.5897979736328125","GALEX J042340.7+040802","65.919901036942875","4.1339174126809342","3","297","407","19.7009716","0.128423885","19.8477421","0.113877557","47.82039","5.65495443","41.7736778","4.38037252","0.304485083","false","0.005936965","0.00581170944","66.24488","3.64123","2005-12-10","2006-06-26","2007-01-09","53714.422719907408","53912.08938657408","54109.809212962959","AIS_173","50173","1","61","6377002717356752896","1.2385202646255493","1.2797168493270874","0","0.44423335790634155","0.47732827067375183","32"
"2MASXJ04234080+0408017","65.92","4.133888889","15","3949272181838447529","MIS","0","0.0097292493354280349","0.39940720796585083","GALEX J042340.7+040801","65.9199780564542","4.1337282186756266","1","1641.55","0","-999","-999","19.8961964","0.0511332825","-999","-999","39.95036","1.881025","0.304485083","false","-99","0.00212392677","65.68893","4.45998","2010-12-23","2010-12-23","2010-12-23","55553.181921296295","55553.26525462963","55553.389409722222","MISGCSS1_26550_0174","46709","7","-999","3949272181837398016","1.1844619512557983","1.1824376583099365","0","-99","-99","-999"
