SWIFT Name	R.A.	Decl.	Flux (15-55 keV)	S/N	ID	Type^a	Redshift	Ph. Index	log(N_H)	Reference
J1144.7+7939	176.19	79.662	2.13 +or- 0.18	11.9	SWIFT J1143.7+7942	Sy1.2	0.02	2.26^+0.24_-0.23	20.6	-1
J0603.1+6523	90.799	65.399	1.38 +or- 0.20	6.8	UGC 3386	GALAXY	0.02	2.10^+0.36_-0.33	23.2	-3
J1145.3+5859	176.349	59	0.81 +or- 0.15	5.3	Ark 320	GALAXY	0.01	2.23^+0.74_-0.55	22.2	-2
J1436.5+5847	219.149	58.798	1.37 +or- 0.16	8.3	QSO J1436+5847 (Mrk 817)	Sy1	0.03	1.68^+0.27_-0.22	23.5	-2
J0904.9+5537	136.25	55.632	1.04 +or- 0.17	6	SWIFT J0904.3+5538	Sy1.5	0.04	1.92^+0.42_-0.39	21	-1
J1158.0+5526	179.502	55.449	1.04 +or- 0.15	6.9	NGC 3998	Sy1	0.003	2.05^+0.40_-0.41	20.1	-8
J1246.6+5434	191.661	54.575	1.34 +or- 0.15	9	NGC 4686	LINER	0.02	1.75^+0.25_-0.20	23.8	-2
J1132.7+5259	173.188	52.988	1.01 +or- 0.15	6.6	UGC 6527	Sy1	0.03	1.85^+0.36_-0.34	20	-3
J0925.2+5217	141.316	52.285	3.03 +or- 0.17	18.1	Mrk 110	Sy1	0.04	2.00^+0.14_-0.13	20.6	-1
J1628.3+5147	247.082	51.793	2.45 +or- 0.20	12.4	SWIFT J1628.1+5145	Sy1.9	0.05	2.13^+0.19_-0.18	23.3	-1
J0911.5+4528	137.898	45.471	1.23 +or- 0.18	7	SWIFT J0911.2+4533	Sy2	0.03	2.45^+0.54_-0.44	23.5	-1
J1315.4+4424	198.852	44.404	1.28 +or- 0.15	8.4	IGR J13149+4422 (UGC08327NED02)	Sy	0.04	2.28^+0.31_-0.28	22.8	-2
