AGN	Redshift	R.A.	Decl.	l	b	Instrument	ObsID	Obs. Date	Source Counts	Obs. Time (ks)	Usable % of obs.	Optical Type	BAT Flux (SNR)
NGC 4395	0.0011	186.455	33.546	162.095	81.534	XMM	112521901	5/31/02	11194	15.9	97	Sy1.9	26.08 (14.28)
NGC 4258	0.0015	184.74	47.304	138.319	68.842	XMM	59140101	5/6/01	10415	12.7	100	Sy1.9/LINER	23.92 (11.71)
NGC 4051	0.0023	180.791	44.531	148.882	70.085	XMM	157560101	11/22/02	147191	51.9*	86	Sy1.5	37.62 (24.17)
NGC 4102	0.0028	181.596	52.711	138.079	63.072	XMM	601780701	10/30/09	2085	31.8	41	LINER	28.55 (14.07)
NGC 5033	0.0029	198.365	36.594	98.06	79.448	XMM	94360501	12/18/02	34064	11.9	100	Sy1.9	6.95 (5.27)
NGC 4138	0.003	182.374	43.685	147.305	71.404	XMM	112551201	11/26/01	7674	15	100	Sy1.9	30.67 (14.92)
NGC 4151	0.0033	182.637	39.406	155.074	75.064	XMM	112310101	12/21/00	247586	33	100	Sy1.5	533.09 (275.00)
NGC 3998	0.0035	179.484	55.453	138.172	60.064	XMM	90020101	5/9/01	37289	13.2*	94	Sy1/LINER	16.89 (9.83)
NGC 5273	0.0035	205.535	35.654	74.348	76.246	XMM	112551701	6/14/02	25885	17.1	100	Sy1.9	14.15 (5.41)
NGC 4941	0.0037	196.055	-5.552	308.806	57.174	ASCA	74040000	7/19/96	567	17.1	-	Sy2	19.41 (7.41)
NGC 3227	0.0039	155.878	19.865	216.992	55.446	XMM	101040301	11/28/00	53612	40.1	99	Sy1.5	112.78 (56.21)
NGC 4579	0.0051	189.432	11.818	290.398	74.355	XMM	112840101	6/12/03	79300	23.7	100	LINER	10.41 (4.93)
NGC 5506	0.0062	213.313	-3.208	339.15	53.809	XMM	201830201	7/11/04	122599	21.6	100	Sy1.9	242.76 (95.00)
NGC 4180	0.007	183.262	7.038	276.792	67.94	XRT	36654002	11/30/07	7	3	-	AGN	14.44 (6.04)
NGC 4235	0.008	184.292	7.191	279.183	68.468	XMM	204650201	6/9/04	13865	13.1	100	Sy1	31.39 (14.07)
NGC 4388	0.0084	186.445	12.662	279.123	74.335	XMM	110930301	7/7/02	3629	18.8	78	Sy2	275.78 (110.73)
NGC 5899	0.0085	228.763	42.05	69.398	57.216	XMM	651850501	2/13/11	14459	22.9	100	Sy2	20.95 (9.67)
NGC 5290	0.0086	206.33	41.713	89.276	71.714	XRT	38067001	9/5/08	589	5.6	-	Sy2	19.14 (8.05)
Mrk 744	0.0089	174.928	31.909	191.584	73.704	XMM	204650301	5/24/04	10239	29.5	42	Sy1.8	20.49 (8.70)
NGC 4593	0.009	189.914	-5.344	297.483	57.403	XMM	109970101	7/2/00	278937	28.1	80	Sy1	88.68 (33.45)
MCG+10-17-061	0.0099	176.387	58.977	138.147	56.162	XRT	38346001	2/17/09	435	8.9	-	galaxy	15.99 (9.36)
NGC 4500	0.0104	187.842	57.965	128.094	58.962	XRT	40965001	4/25/10	24	4.5	-	starburst galaxy?	8.69 (5.78)
NGC 4939	0.0104	196.059	-10.338	308.096	52.405	XRT	31153005	3/7/08	65	6.6	-	Sy2	25.43 (8.38)
Mrk 766	0.0129	184.611	29.813	190.681	82.271	XMM	304030101	5/23/05	454079	95.5	91	Sy1.5	21.42 (14.64)
NGC 4686	0.0167	191.669	54.534	124.432	62.581	XMM	554500101	6/28/08	1350	30.3	62	XBONG	27.88 (13.12)
NGC 5610	0.0169	216.095	24.615	31.299	68.973	XRT	90180002	11/18/09	232	5.8	-	Sy2	19.30 (9.15)
NGC 5548	0.0172	214.499	25.137	31.96	70.495	XMM	89960301	7/9/01	1875711	95.8	97	Sy1.5	73.57 (32.55)
MCG -01-30-041	0.0188	178.16	-5.208	277.014	54.678	XRT	37373002	8/4/09	44	6	-	Sy1.8	13.69 (5.64)
MRK 1310	0.0194	180.31	-3.678	279.54	56.896	XRT	35361001	12/25/05	1789	6.3	-	Sy1	13.23 (6.11)
UGC 05881	0.0206	161.679	25.932	208.222	62.148	XRT	37314002	7/3/08	217	8.8	-	Sy2	20.94 (10.42)
Mrk 202	0.021	184.479	58.66	131.14	57.931	ASCA	77076000	9/11/99	4519	20	-	Sy1	8.07 (4.82)
ARP 151	0.0211	171.401	54.383	147.029	58.546	XRT	37369002	2/15/09	3076	8.1	-	Sy1	17.81 (11.05)
NGC 5231	0.0218	203.951	2.999	328.569	63.64	XMM	601781201	1/30/10	13934	17.9	100	Sy2	17.24 (7.46)
Ark 347	0.0224	181.124	20.316	242.83	77.289	XRT	35599002	7/4/06	141	10.4	-	Sy2	29.15 (11.73)
KUG 1208+386	0.0228	182.686	38.336	157.646	75.92	XMM	601780901	6/14/09	3691	15.8	71	Sy1	21.63 (12.63)
MCG +05-28-032	0.023	177.19	29.642	198.919	75.999	XRT	90176001	10/20/09	139	2.7	-	LINER	23.79 (10.20)
NGC 5252	0.023	204.567	4.543	331.299	64.803	XMM	152940101	7/18/03	84375	67.3	78	Sy1.9	111.13 (42.40)
NGC 4619	0.0231	190.436	35.063	136.975	81.799	ASCA	75081000	6/3/97	3179	33.4	-	Sy1	6.64 (5.59)
Mrk 50	0.0234	185.851	2.679	286.395	64.647	XMM	601781001	7/9/09	64116	11.9*	100	Sy1	23.95 (10.18)
Mrk 198	0.0242	182.309	47.059	142.75	68.413	XMM	601780801	11/7/09	15537	26.9	92	Sy2	21.94 (12.32)
NGC 5674	0.0249	218.469	5.459	355.897	57.383	XRT	40977001	9/10/10	320	6	-	Sy1.9	13.61 (5.71)
UGC 7064	0.025	181.18	31.177	188.499	79.034	XMM	601780601	12/26/09	15499	39.5	88	Sy1.9	13.64 (5.28)
SWIFT J1309.2+1139	0.0251	197.274	11.633	318.766	73.96	XMM	312192101	6/27/06	2365	16.4	98	XBONG	55.64 (21.63)
MCG +06-24-008	0.0259	161.203	38.181	182.222	61.326	XRT	40955004	10/31/10	133	4.4	-	galaxy	13.69 (5.04)
MCG -01-33-063	0.0263	195.08	-8.086	306.739	54.72	XRT	41773002	12/8/10	10	2.6	-	galaxy	10.32 (4.92)
CGCG 102-048	0.0269	206.065	19.567	3.747	75.726	XRT	37319001	6/25/08	3	0.3	-	Sy1.9	20.01 (7.62)
UGC 06527	0.0274	173.17	52.949	147.136	60.32	XMM	200430501	5/2/04	976	12.7	95	Sy2	8.09 (7.32)
IC 2637	0.0292	168.457	9.586	245.603	61.057	XMM	601780201	12/20/09	31401	15.1	100	Sy1.5	15.16 (6.40)
NGC 3758	0.0299	174.123	21.596	226.837	72.08	XMM	601780401	6/14/09	30020	11.9*	100	Sy1	11.46 (8.16)
SWIFT J1303.9+5345	0.0299	196	53.791	118.811	63.237	XMM	312192001	6/23/06	64141	11.9*	100	Sy1	34.56 (18.53)
Mrk 817	0.0315	219.093	58.794	100.299	53.478	XMM	601781401	12/13/09	61638	14.2*	75	Sy1.5	27.39 (15.65)
NGC 5106	0.0319	200.246	8.98	325.355	70.554	XRT	38063001	11/23/09	73	6.9	-	AGN	13.97 (5.51)
UM 614	0.0327	207.47	2.079	334.6	61.305	XMM	601781301	1/31/10	3132	19.8	34	Sy1	16.18 (6.77)
Mrk 417	0.0328	162.379	22.964	214.722	62.143	XMM	312191501	6/15/06	1788	14.3	75	Sy2	33.63 (15.22)
II SZ 010	0.0343	198.274	-11.128	311.463	51.384	XRT	37378001	2/25/09	1855	4.8	-	Sy1	14.55 (5.71)
Mrk 728	0.0356	165.258	11.047	239.366	59.481	XMM	103861801	5/23/02	21479	9.7	100	Sy1.9	11.90 (5.17)
CGCG 041-020	0.036	180.242	6.806	270.116	66.407	XMM	312191701	6/26/06	7098	12.9	100	Sy2	21.18 (9.61)
MRK 1392	0.0361	226.485	3.708	2.754	50.264	XRT	37323001	12/23/08	764	5.8	-	Sy1	18.81 (7.70)
NGC 5683	0.0362	218.719	48.662	86.979	60.615	XRT	38070002	11/12/10	175	10.4	-	Sy1	13.39 (7.99)
Mrk 841	0.0364	226.006	10.437	11.209	54.631	XMM	112910201	1/13/01	128688	10.1	100	Sy1	36.08 (14.55)
UGC 08327 NED02	0.0366	198.823	44.407	108.983	72.069	XRT	37093003	9/20/07	152	2.4	-	Sy2	16.79 (10.92)
Mrk 477	0.0377	220.159	53.504	93.037	56.819	ASCA	73028000	12/4/95	871	21.4	-	Sy1	13.44 (7.71)
2MASX J15064412+0351444	0.0377	226.682	3.863	3.137	50.211	XRT	36622001	12/19/07	472	9.4	-	Sy2	16.77 (7.70)
KUG 1141+371	0.0381	176.125	36.886	174.169	72.821	XMM	601780501	5/23/09	17251	19.8	66	Sy1	15.47 (5.93)
Mrk 268	0.0399	205.297	30.378	52.466	78.63	XMM	554500701	7/20/08	6135	28.5	76	Sy2/gal. pair	18.97 (10.14)
IC 2921	0.0437	173.205	10.296	251.453	64.978	XRT	38055002	7/23/10	781	8.6	-	Sy1	17.51 (7.12)
SDSS J104326.47+110524.2	0.0476	160.86	11.089	234.761	55.932	XRT	40954001	10/29/10	2085	9.8	-	Sy1	14.85 (4.84)
CGCG 291-028	0.0477	166.496	58.946	145.481	53.32	XRT	40957001	8/30/10	46	11.2	-	Sy2	4.37 (4.97)
