AGN	"Model (chi^2/dof, P(Null Hyp.))"	N^Gal_H	N_H (Covering Fraction)	Gamma	F_0.5-2 keV	F_2-10 keV	L^int_0.5-2 keV	L^int_2-10 keV	L_14-195 keV	RL = L_5 GHz/L^int_2-10 keV
1RXS J1127+1909	"S7 (781.23/796, 0.639)"	1.4	<19.90	1.50*	15.67	46.75	43.7	44.09^+0.01_-0.01	44.7 (44.6dagger)	-4.6
2E 1139.7+1040	"C1+BAT (10.23/7, 0.176)"	3.72	23.87^+0.77_-0.58 (0.91^+0.07_-0.35)	1.95*	2.95	14.47	44.35	44.44^+0.42_-44.44	45.0 (44.7dagger)	< - 5.392
2MASX J10523297+1036205	"C1+BAT (10.65/12, 0.559)"	2.29	24.41^+0.23_-0.18 (0.89^+0.07_-0.09)	1.63^+0.40_-1.63	6.89	19.25	44.08	44.38^+0.62_-0.56	44.5 (45.0dagger)	-5.277
2MASX J11053754+5851206	"C1+BAT (17.93/39, 0.998)"	0.61	22.26^+0.19_-0.29 (0.61^+0.07_-0.15)	2.19^+0.01_-0.31	10.35	16.65	44.33	44.27^+0.22_-0.18	44.8 (44.5)	< - 4.961
2MASX J11053754+5851206	"S2+BAT (25.06/40, 0.969)"	0.61	<20.86	1.71^+0.15_-0.08	10.22	18.76	44.01	44.27^+0.11_-0.12	44.8 (44.5)	< - 4.930
2MASX J11475508+0902284	"S5 (80.10/52, 0.007)"	1.97	-	1.78^+0.08_-0.08	18.6	40.09	43.45	43.65^+0.08_-0.08	44.1 (44.1)	-5.132
2MASX J11491868-0416512	"C1+BAT (34.15/30, 0.275)"	2.18	24.23^+0.52_-0.20 (0.90^+0.04_-0.07)	2.01^+0.13_-0.12	18.03	35.92	44.5	44.56^+0.30_-0.31	44.3 (44.7dagger)	< - 5.851
2MASX J12055599+4959561	"S5 (3.35/5, 0.646)"	1.98	<21.26	1.64^+0.53_-1.64	3.29	8.96	42.62	42.92^+0.24_-0.45	44.1 (41.6dagger)	-4.597
2MASX J12135456-0530193	"S2+BAT (32.90/27, 0.200)"	3.54	<21.01	1.96^+0.24_-0.18	18.64	26.25	43.34	43.43^+0.20_-0.06	44.1 (44.1)	-4.911
2MASX J13000533+1632151	"C1+BAT (67.97/84, 0.898)"	1.98	22.51^+0.10_-0.07 (0.95^+0.03_-0.02)	1.50^+0.17	1.49	20.43	43.14	43.53^+0.12_-0.16	44.4 (44.3)	-4.023
